"timeframe","anc2012","anc2012_nf","start_date","end_date","PctHshldPhone","PctHshldCar","PctBroadband","PctNocomputer","Pctcellularonly","Pctnointernet","PctHshldPhone_m","PctHshldCar_m","PctBroadband_m","PctNocomputer_m","Pctcellularonly_m","Pctnointernet_m","indc"
"2013-17","ANC 1A","1A","01JAN2012","31DEC2016",95,52,68,12.1928,6.01231,19.4911,3.3,3.9,0.0,0.022791,0.016930,0.029110,1
"2013-17","ANC 1B","1B","01JAN2012","31DEC2016",97,57,77,10.8656,4.23518,13.1465,3.4,4.3,0.0,0.023612,0.015666,0.026019,1
"2013-17","ANC 1C","1C","01JAN2012","31DEC2016",98,56,83,4.2404,7.78373,6.3195,3.6,4.2,0.0,0.017157,0.018494,0.019154,1
"2013-17","ANC 1D","1D","01JAN2012","31DEC2016",97,54,77,10.8786,4.32379,15.3603,5.6,6.7,0.0,0.043400,0.023828,0.041672,1
"2013-17","ANC 2A","2A","01JAN2012","31DEC2016",97,39,81,4.0792,5.38289,7.8029,4.5,5.3,0.0,0.017456,0.021592,0.021808,1
"2013-17","ANC 2B","2B","01JAN2012","31DEC2016",97,47,83,3.3890,4.93966,4.9105,3.5,4.1,0.0,0.013101,0.015888,0.015298,1
"2013-17","ANC 2C","2C","01JAN2012","31DEC2016",97,47,80,5.2741,4.99630,10.4781,4.0,5.6,0.0,0.026231,0.021400,0.033831,1
"2013-17","ANC 2D","2D","01JAN2012","31DEC2016",97,68,87,0.8590,4.79599,3.2212,6.8,8.7,0.0,0.012150,0.035588,0.022763,1
"2013-17","ANC 2E","2E","01JAN2012","31DEC2016",97,80,88,1.2768,5.22829,2.2565,5.2,6.7,0.0,0.010037,0.021262,0.013394,1
"2013-17","ANC 2F","2F","01JAN2012","31DEC2016",98,48,80,5.8955,5.08100,11.2562,4.0,4.4,0.0,0.017159,0.017755,0.023559,1
"2013-17","ANC 3B","3B","01JAN2012","31DEC2016",97,72,83,3.8846,4.64356,5.4127,5.2,6.5,0.0,0.020776,0.023716,0.022599,1
"2013-17","ANC 3C","3C","01JAN2012","31DEC2016",99,75,87,2.9693,4.94181,4.8354,3.3,4.8,0.0,0.012165,0.017685,0.015748,1
"2013-17","ANC 3D","3D","01JAN2012","31DEC2016",99,92,89,2.0098,4.07829,3.2213,3.2,5.1,0.0,0.010324,0.015720,0.014983,1
"2013-17","ANC 3E","3E","01JAN2012","31DEC2016",99,85,87,5.5613,2.53763,6.1277,5.5,8.3,0.0,0.026720,0.018526,0.027547,1
"2013-17","ANC 3F","3F","01JAN2012","31DEC2016",97,75,86,2.5807,3.84307,4.8317,4.1,6.6,0.0,0.013332,0.023530,0.019944,1
"2013-17","ANC 3G","3G","01JAN2012","31DEC2016",99,83,81,10.7906,3.48237,10.5160,3.6,5.8,0.0,0.026752,0.017143,0.025948,1
"2013-17","ANC 4A","4A","01JAN2012","31DEC2016",97,79,71,12.2811,7.13882,17.1456,3.3,5.2,0.0,0.026557,0.021007,0.031256,1
"2013-17","ANC 4B","4B","01JAN2012","31DEC2016",98,81,76,11.8667,4.87564,14.6920,3.7,5.1,0.0,0.023140,0.017051,0.023883,1
"2013-17","ANC 4C","4C","01JAN2012","31DEC2016",97,73,70,13.9885,4.54826,19.8595,4.1,5.4,0.0,0.028507,0.014820,0.031698,1
"2013-17","ANC 4D","4D","01JAN2012","31DEC2016",97,72,67,15.0553,6.91120,21.7953,5.5,7.4,0.0,0.036630,0.029708,0.041548,1
"2013-17","ANC 5A","5A","01JAN2012","31DEC2016",93,75,61,21.1086,7.00814,26.3402,3.8,5.4,0.0,0.033762,0.022722,0.034269,1
