"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD"
"WORK","CONNECTION_CITY",,,"City",2,1,2,"Washington, D.C.","$CITY",0,0,,0,0,0,71,2,"V9","09JAN18:12:24:44","09JAN18:12:24:44",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","CONNECTION_CITY",,,"PctHshldCar",1,8,7,"% HHs with a car",,0,0,,0,0,1,24,2,"V9","09JAN18:12:24:44","09JAN18:12:24:44",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","CONNECTION_CITY",,,"PctHshldCar_m",1,8,9,"% HHs with a car MOE",,0,0,,0,0,1,40,2,"V9","09JAN18:12:24:44","09JAN18:12:24:44",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","CONNECTION_CITY",,,"PctHshldPhone",1,8,6,"% HHs with a phone",,0,0,,0,0,1,16,2,"V9","09JAN18:12:24:44","09JAN18:12:24:44",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","CONNECTION_CITY",,,"PctHshldPhone_m",1,8,8,"% HHs with a phone MOE",,0,0,,0,0,1,32,2,"V9","09JAN18:12:24:44","09JAN18:12:24:44",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","CONNECTION_CITY",,,"city_nf",2,1,3,,,0,0,,0,0,0,72,2,"V9","09JAN18:12:24:44","09JAN18:12:24:44",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","CONNECTION_CITY",,,"end_date",1,8,5,,"DATE",9,0,,0,0,1,8,2,"V9","09JAN18:12:24:44","09JAN18:12:24:44",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","CONNECTION_CITY",,,"indc",1,8,10,,,0,0,,0,0,1,48,2,"V9","09JAN18:12:24:44","09JAN18:12:24:44",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","CONNECTION_CITY",,,"start_date",1,8,4,,"DATE",9,0,,0,0,1,0,2,"V9","09JAN18:12:24:44","09JAN18:12:24:44",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","CONNECTION_CITY",,,"timeframe",2,15,1,,,0,0,,0,0,0,56,2,"V9","09JAN18:12:24:44","09JAN18:12:24:44",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"

