"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","CONNECTION_CL17",,,"PctBroadband",1,8,8,"% HHs with broadband internet subscription","PROFNUM",0,0,,0,0,0,32,132,"V9","27JAN21:15:29:18","27JAN21:15:29:18",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",5
"WORK","CONNECTION_CL17",,,"PctBroadband_m",1,8,14,"% HHs with broadband internet subscription MOE","PROFNUM",0,0,,0,0,0,80,132,"V9","27JAN21:15:29:18","27JAN21:15:29:18",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",6
"WORK","CONNECTION_CL17",,,"PctHshldCar",1,8,7,"% HHs with a car","PROFNUM",0,0,,0,0,0,24,132,"V9","27JAN21:15:29:18","27JAN21:15:29:18",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","CONNECTION_CL17",,,"PctHshldCar_m",1,8,13,"% HHs with a car MOE","PROFNUM",0,0,,0,0,0,72,132,"V9","27JAN21:15:29:18","27JAN21:15:29:18",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","CONNECTION_CL17",,,"PctHshldPhone",1,8,6,"% HHs with a phone","PROFNUM",0,0,,0,0,0,16,132,"V9","27JAN21:15:29:18","27JAN21:15:29:18",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",3
"WORK","CONNECTION_CL17",,,"PctHshldPhone_m",1,8,12,"% HHs with a phone MOE","PROFNUM",0,0,,0,0,0,64,132,"V9","27JAN21:15:29:18","27JAN21:15:29:18",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","CONNECTION_CL17",,,"PctNocomputer",1,8,9,"% HHs with no computing devices",,0,0,,0,0,1,40,132,"V9","27JAN21:15:29:18","27JAN21:15:29:18",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",7
"WORK","CONNECTION_CL17",,,"Pctcellularonly",1,8,10,"% HHs with cell data plan but no other internet","PROFNUM",0,0,,0,0,0,48,132,"V9","27JAN21:15:29:18","27JAN21:15:29:18",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",9
"WORK","CONNECTION_CL17",,,"Pctcellularonly_m",1,8,16,"% HHs with cell data plan but no other internet MOE","PROFNUM",0,0,,0,0,0,96,132,"V9","27JAN21:15:29:18","27JAN21:15:29:18",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",10
"WORK","CONNECTION_CL17",,,"Pctcomputer",1,8,18,"% HHs with computing devices","PROFNUM",0,0,,0,0,0,112,132,"V9","27JAN21:15:29:18","27JAN21:15:29:18",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_CL17",,,"Pctcomputer_m",1,8,20,"% HHs with computing devices MOE","PROFNUM",0,0,,0,0,0,128,132,"V9","27JAN21:15:29:18","27JAN21:15:29:18",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
