"timeframe","Cluster_tr2000","cluster_tr2000_nf","start_date","end_date","PctHshldPhone","PctHshldCar","PctHshldPhone_m","PctHshldCar_m","indc"
"2012-16","Cluster 1",01,"01JAN2011","31DEC2015",97.0688,58.5317,3.68001,4.1432,1
"2012-16","Cluster 2",02,"01JAN2011","31DEC2015",96.6144,51.5783,2.51101,2.9182,1
"2012-16","Cluster 3",03,"01JAN2011","31DEC2015",97.8414,58.8521,4.64268,6.0069,1
"2012-16","Cluster 4",04,"01JAN2011","31DEC2015",97.8743,78.3480,4.30395,6.0333,1
"2012-16","Cluster 5",05,"01JAN2011","31DEC2015",97.1257,40.7193,4.72544,6.0685,1
"2012-16","Cluster 6",06,"01JAN2011","31DEC2015",96.1038,45.1460,3.42898,4.3161,1
"2012-16","Cluster 7",07,"01JAN2011","31DEC2015",97.9035,50.1145,3.19534,3.5527,1
"2012-16","Cluster 8",08,"01JAN2011","31DEC2015",98.0560,46.1849,2.64245,4.0376,1
"2012-16","Cluster 9",09,"01JAN2011","31DEC2015",96.3904,60.2388,4.40727,5.1800,1
"2012-16","Cluster 10",10,"01JAN2011","31DEC2015",99.3029,85.6209,3.97535,6.3456,1
"2012-16","Cluster 11",11,"01JAN2011","31DEC2015",99.4558,86.0305,4.19481,7.0182,1
"2012-16","Cluster 12",12,"01JAN2011","31DEC2015",97.4793,71.0578,3.77277,5.4130,1
"2012-16","Cluster 13",13,"01JAN2011","31DEC2015",98.8431,93.7591,3.70853,5.9449,1
"2012-16","Cluster 14",14,"01JAN2011","31DEC2015",96.1510,74.3857,4.73866,5.9911,1
"2012-16","Cluster 15",15,"01JAN2011","31DEC2015",99.1662,72.9202,4.37153,5.7790,1
"2012-16","Cluster 16",16,"01JAN2011","31DEC2015",98.8387,99.0968,3.40293,11.2245,1
"2012-16","Cluster 17",17,"01JAN2011","31DEC2015",97.1504,76.8320,3.32964,4.8271,1
"2012-16","Cluster 18",18,"01JAN2011","31DEC2015",97.6088,72.3333,2.77114,3.5278,1
"2012-16","Cluster 19",19,"01JAN2011","31DEC2015",96.7314,74.8125,3.75985,5.6891,1
"2012-16","Cluster 20",20,"01JAN2011","31DEC2015",98.5488,86.7323,5.32099,7.9862,1
"2012-16","Cluster 21",21,"01JAN2011","31DEC2015",97.1166,66.5229,3.41075,4.3565,1
"2012-16","Cluster 22",22,"01JAN2011","31DEC2015",97.7836,71.3168,4.78753,7.4549,1
"2012-16","Cluster 23",23,"01JAN2011","31DEC2015",95.3278,55.1320,3.58198,4.5870,1
"2012-16","Cluster 24",24,"01JAN2011","31DEC2015",96.6371,77.2964,4.15489,5.9005,1
"2012-16","Cluster 25",25,"01JAN2011","31DEC2015",97.2522,73.5260,2.35867,2.9653,1
"2012-16","Cluster 26",26,"01JAN2011","31DEC2015",98.1431,78.6645,2.98680,3.8921,1
"2012-16","Cluster 27",27,"01JAN2011","31DEC2015",97.4987,63.6269,4.10630,5.6707,1
"2012-16","Cluster 28",28,"01JAN2011","31DEC2015",97.3930,54.0089,5.98871,8.1174,1
"2012-16","Cluster 29",29,"01JAN2011","31DEC2015",99.0588,62.2353,9.29738,11.3414,1
"2012-16","Cluster 30",30,"01JAN2011","31DEC2015",97.8743,48.5829,5.29815,7.0109,1
"2012-16","Cluster 31",31,"01JAN2011","31DEC2015",96.2672,57.9746,4.83902,5.5913,1
"2012-16","Cluster 32",32,"01JAN2011","31DEC2015",96.2705,50.6216,4.11285,5.9086,1
"2012-16","Cluster 33",33,"01JAN2011","31DEC2015",95.9394,56.6226,3.58761,4.9121,1
"2012-16","Cluster 34",34,"01JAN2011","31DEC2015",98.3650,63.3967,3.45001,4.7871,1
"2012-16","Cluster 35",35,"01JAN2011","31DEC2015",98.1363,71.6875,6.96201,8.4790,1
"2012-16","Cluster 36",36,"01JAN2011","31DEC2015",97.5941,47.0528,5.51408,7.3271,1
"2012-16","Cluster 37",37,"01JAN2011","31DEC2015",95.7466,49.4424,3.90771,6.5528,1
"2012-16","Cluster 38",38,"01JAN2011","31DEC2015",97.5843,50.1548,6.41572,7.3211,1
"2012-16","Cluster 39",39,"01JAN2011","31DEC2015",94.3423,50.1392,2.77927,3.4770,1
"2012-16","Non-cluster area",99,"01JAN2011","31DEC2015",88.7374,71.7012,3.15348,7.8207,1
2000,"Cluster 1",01,"01JAN2000","31DEC2000",99.1711,61.3535,".",".",1
2000,"Cluster 2",02,"01JAN2000","31DEC2000",94.3751,47.8062,".",".",1
2000,"Cluster 3",03,"01JAN2000","31DEC2000",96.5883,47.5866,".",".",1
2000,"Cluster 4",04,"01JAN2000","31DEC2000",99.8523,82.9707,".",".",1
2000,"Cluster 5",05,"01JAN2000","31DEC2000",99.7603,44.1239,".",".",1
2000,"Cluster 6",06,"01JAN2000","31DEC2000",99.1034,47.2556,".",".",1
2000,"Cluster 7",07,"01JAN2000","31DEC2000",96.5468,48.4779,".",".",1
2000,"Cluster 8",08,"01JAN2000","31DEC2000",95.9802,38.5017,".",".",1
2000,"Cluster 9",09,"01JAN2000","31DEC2000",98.2197,60.4307,".",".",1
2000,"Cluster 10",10,"01JAN2000","31DEC2000",99.3081,83.1298,".",".",1
2000,"Cluster 11",11,"01JAN2000","31DEC2000",99.6592,87.2104,".",".",1
2000,"Cluster 12",12,"01JAN2000","31DEC2000",99.2983,72.9785,".",".",1
2000,"Cluster 13",13,"01JAN2000","31DEC2000",99.7547,90.5051,".",".",1
2000,"Cluster 14",14,"01JAN2000","31DEC2000",99.5065,73.5529,".",".",1
2000,"Cluster 15",15,"01JAN2000","31DEC2000",99.4154,78.2430,".",".",1
2000,"Cluster 16",16,"01JAN2000","31DEC2000",99.1427,90.2021,".",".",1
2000,"Cluster 17",17,"01JAN2000","31DEC2000",98.4531,73.8941,".",".",1
2000,"Cluster 18",18,"01JAN2000","31DEC2000",98.1209,67.1569,".",".",1
2000,"Cluster 19",19,"01JAN2000","31DEC2000",98.5472,76.0794,".",".",1
2000,"Cluster 20",20,"01JAN2000","31DEC2000",99.4678,86.4290,".",".",1
2000,"Cluster 21",21,"01JAN2000","31DEC2000",96.2667,56.9963,".",".",1
2000,"Cluster 22",22,"01JAN2000","31DEC2000",98.3692,66.8615,".",".",1
2000,"Cluster 23",23,"01JAN2000","31DEC2000",94.0637,48.6598,".",".",1
2000,"Cluster 24",24,"01JAN2000","31DEC2000",99.1161,74.2652,".",".",1
2000,"Cluster 25",25,"01JAN2000","31DEC2000",97.6270,68.6893,".",".",1
2000,"Cluster 26",26,"01JAN2000","31DEC2000",98.0659,74.5651,".",".",1
2000,"Cluster 27",27,"01JAN2000","31DEC2000",91.5400,30.2432,".",".",1
2000,"Cluster 28",28,"01JAN2000","31DEC2000",95.8285,48.8992,".",".",1
2000,"Cluster 29",29,"01JAN2000","31DEC2000",95.8449,65.0970,".",".",1
2000,"Cluster 30",30,"01JAN2000","31DEC2000",97.9779,57.6498,".",".",1
2000,"Cluster 31",31,"01JAN2000","31DEC2000",93.6580,57.9086,".",".",1
2000,"Cluster 32",32,"01JAN2000","31DEC2000",95.9797,56.7910,".",".",1
2000,"Cluster 33",33,"01JAN2000","31DEC2000",94.9092,55.4726,".",".",1
2000,"Cluster 34",34,"01JAN2000","31DEC2000",97.3806,68.9388,".",".",1
2000,"Cluster 35",35,"01JAN2000","31DEC2000",97.1671,68.4265,".",".",1
2000,"Cluster 36",36,"01JAN2000","31DEC2000",94.8871,45.7179,".",".",1
2000,"Cluster 37",37,"01JAN2000","31DEC2000",97.2313,44.1894,".",".",1
2000,"Cluster 38",38,"01JAN2000","31DEC2000",96.6834,42.8035,".",".",1
2000,"Cluster 39",39,"01JAN2000","31DEC2000",94.3250,53.9000,".",".",1
2000,"Non-cluster area",99,"01JAN2000","31DEC2000",98.5159,93.9611,".",".",1

