"timeframe","county","county_nf","start_date","end_date","PctHshldPhone","PctHshldCar","PctHshldPhone_m","PctHshldCar_m"
"2012-16","District of Columbia, DC",11001,"01JAN2012","31DEC2016",97,64,0.7,0.8
"2012-16","Calvert County, MD",24009,"01JAN2012","31DEC2016",99,96,1.9,3.1
"2012-16","Charles County, MD",24017,"01JAN2012","31DEC2016",98,97,1.2,2.6
"2012-16","Frederick County, MD",24021,"01JAN2012","31DEC2016",98,95,1.1,1.7
"2012-16","Montgomery County, MD",24031,"01JAN2012","31DEC2016",98,92,0.5,0.8
"2012-16","Prince George's County, MD",24033,"01JAN2012","31DEC2016",98,91,0.6,0.9
"2012-16","Arlington County, VA",51013,"01JAN2012","31DEC2016",97,88,1.2,1.6
"2012-16","Clarke County, VA",51043,"01JAN2012","31DEC2016",98,94,5.1,7.0
"2012-16","Culpeper County, VA",51047,"01JAN2012","31DEC2016",98,95,2.3,4.2
"2012-16","Fairfax County, VA",51059,"01JAN2012","31DEC2016",98,96,0.6,0.8
"2012-16","Fauquier County, VA",51061,"01JAN2012","31DEC2016",98,97,2.3,3.3
"2012-16","Loudoun County, VA",51107,"01JAN2012","31DEC2016",99,98,1.0,1.4
"2012-16","Prince William County, VA",51153,"01JAN2012","31DEC2016",96,97,1.1,1.5
"2012-16","Rappahannock County, VA",51157,"01JAN2012","31DEC2016",99,97,4.9,7.7
"2012-16","Spotsylvania County, VA",51177,"01JAN2012","31DEC2016",99,97,1.3,2.3
"2012-16","Stafford County, VA",51179,"01JAN2012","31DEC2016",99,98,1.7,2.6
"2012-16","Warren County, VA",51187,"01JAN2012","31DEC2016",98,95,3.0,4.7
"2012-16","Alexandria city, VA",51510,"01JAN2012","31DEC2016",97,90,1.1,1.8
"2012-16","Fairfax city, VA",51600,"01JAN2012","31DEC2016",98,95,3.2,5.2
"2012-16","Falls Church city, VA",51610,"01JAN2012","31DEC2016",99,94,4.5,7.4
"2012-16","Fredericksburg city, VA",51630,"01JAN2012","31DEC2016",98,90,3.1,5.1
"2012-16","Manassas city, VA",51683,"01JAN2012","31DEC2016",96,96,3.7,5.4
"2012-16","Manassas Park city, VA",51685,"01JAN2012","31DEC2016",96,95,6.9,8.7
"2012-16","Jefferson County, WV",54037,"01JAN2012","31DEC2016",98,97,2.2,3.1
2000,"District of Columbia, DC",11001,"01JAN2000","31DEC2000",97,63,".","."
2000,"Calvert County, MD",24009,"01JAN2000","31DEC2000",99,96,".","."
2000,"Charles County, MD",24017,"01JAN2000","31DEC2000",99,95,".","."
2000,"Frederick County, MD",24021,"01JAN2000","31DEC2000",99,95,".","."
2000,"Montgomery County, MD",24031,"01JAN2000","31DEC2000",100,93,".","."
2000,"Prince George's County, MD",24033,"01JAN2000","31DEC2000",99,90,".","."
2000,"Arlington County, VA",51013,"01JAN2000","31DEC2000",99,88,".","."
2000,"Clarke County, VA",51043,"01JAN2000","31DEC2000",99,94,".","."
2000,"Culpeper County, VA",51047,"01JAN2000","31DEC2000",97,94,".","."
2000,"Fairfax County, VA",51059,"01JAN2000","31DEC2000",100,96,".","."
2000,"Fauquier County, VA",51061,"01JAN2000","31DEC2000",99,96,".","."
2000,"Loudoun County, VA",51107,"01JAN2000","31DEC2000",99,97,".","."
2000,"Prince William County, VA",51153,"01JAN2000","31DEC2000",99,96,".","."
2000,"Rappahannock County, VA",51157,"01JAN2000","31DEC2000",97,95,".","."
2000,"Spotsylvania County, VA",51177,"01JAN2000","31DEC2000",99,97,".","."
2000,"Stafford County, VA",51179,"01JAN2000","31DEC2000",99,98,".","."
2000,"Warren County, VA",51187,"01JAN2000","31DEC2000",96,94,".","."
2000,"Alexandria city, VA",51510,"01JAN2000","31DEC2000",99,89,".","."
2000,"Fairfax city, VA",51600,"01JAN2000","31DEC2000",99,96,".","."
2000,"Falls Church city, VA",51610,"01JAN2000","31DEC2000",100,92,".","."
2000,"Fredericksburg city, VA",51630,"01JAN2000","31DEC2000",97,87,".","."
2000,"Manassas city, VA",51683,"01JAN2000","31DEC2000",99,95,".","."
2000,"Manassas Park city, VA",51685,"01JAN2000","31DEC2000",100,96,".","."
2000,"Jefferson County, WV",54037,"01JAN2000","31DEC2000",97,93,".","."

