"timeframe","Zip","zip_nf","start_date","end_date","PctHshldPhone","PctHshldCar","PctHshldPhone_m","PctHshldCar_m","indc"
"2012-16","ZIP 20001",20001,"01JAN2012","31DEC2016",97.989,57.192,2.129,2.80,1
"2012-16","ZIP 20002",20002,"01JAN2012","31DEC2016",96.802,67.772,1.832,2.36,1
"2012-16","ZIP 20003",20003,"01JAN2012","31DEC2016",97.910,73.637,2.412,3.22,1
"2012-16","ZIP 20004",20004,"01JAN2012","31DEC2016",98.051,51.504,6.943,10.28,1
"2012-16","ZIP 20005",20005,"01JAN2012","31DEC2016",97.972,43.772,4.405,4.80,1
"2012-16","ZIP 20006",20006,"01JAN2012","31DEC2016",98.397,15.190,5.880,11.27,1
"2012-16","ZIP 20007",20007,"01JAN2012","31DEC2016",97.460,78.501,3.210,4.42,1
"2012-16","ZIP 20008",20008,"01JAN2012","31DEC2016",98.021,70.118,2.833,3.91,1
"2012-16","ZIP 20009",20009,"01JAN2012","31DEC2016",96.627,53.014,2.310,2.68,1
"2012-16","ZIP 20010",20010,"01JAN2012","31DEC2016",96.331,51.800,3.173,3.73,1
"2012-16","ZIP 20011",20011,"01JAN2012","31DEC2016",96.789,73.761,2.044,2.77,1
"2012-16","ZIP 20012",20012,"01JAN2012","31DEC2016",98.354,82.689,3.994,5.96,1
"2012-16","ZIP 20015",20015,"01JAN2012","31DEC2016",99.290,85.135,3.556,5.70,1
"2012-16","ZIP 20016",20016,"01JAN2012","31DEC2016",98.374,85.382,2.923,4.26,1
"2012-16","ZIP 20017",20017,"01JAN2012","31DEC2016",97.306,76.044,3.988,5.59,1
"2012-16","ZIP 20018",20018,"01JAN2012","31DEC2016",97.097,73.196,3.231,4.93,1
"2012-16","ZIP 20019",20019,"01JAN2012","31DEC2016",96.594,55.099,2.059,2.73,1
"2012-16","ZIP 20020",20020,"01JAN2012","31DEC2016",97.638,57.165,2.297,2.97,1
"2012-16","ZIP 20024",20024,"01JAN2012","31DEC2016",96.422,60.478,4.441,5.23,1
"2012-16","ZIP 20032",20032,"01JAN2012","31DEC2016",94.401,49.843,2.673,3.38,1
"2012-16","ZIP 20036",20036,"01JAN2012","31DEC2016",96.745,41.725,6.397,7.99,1
"2012-16","ZIP 20037",20037,"01JAN2012","31DEC2016",97.146,44.352,4.605,6.01,1
"2012-16","ZIP 20052",20052,"01JAN2012","31DEC2016",98.377,13.420,8.672,16.62,1
"2012-16","ZIP 20057",20057,"01JAN2012","31DEC2016",100.000,100.000,401.438,1204.31,1
"2012-16","ZIP 20059",20059,"01JAN2012","31DEC2016",98.796,58.813,44.553,49.71,1
"2012-16","ZIP 20064",20064,"01JAN2012","31DEC2016",88.156,69.004,4.100,10.44,1
"2012-16","ZIP 20332",20332,"01JAN2012","31DEC2016",96.614,93.559,6.280,22.18,1
"2012-16","ZIP 20336",20336,"01JAN2012","31DEC2016",96.614,93.559,4.880,17.24,1
2000,"ZIP 20001",20001,"01JAN2000","31DEC2000",95.752,49.544,".",".",1
2000,"ZIP 20002",20002,"01JAN2000","31DEC2000",96.460,61.963,".",".",1
2000,"ZIP 20003",20003,"01JAN2000","31DEC2000",96.807,65.725,".",".",1
2000,"ZIP 20004",20004,"01JAN2000","31DEC2000",99.190,46.875,".",".",1
2000,"ZIP 20005",20005,"01JAN2000","31DEC2000",96.722,43.513,".",".",1
2000,"ZIP 20006",20006,"01JAN2000","31DEC2000",99.428,23.693,".",".",1
2000,"ZIP 20007",20007,"01JAN2000","31DEC2000",99.789,81.636,".",".",1
2000,"ZIP 20008",20008,"01JAN2000","31DEC2000",99.381,73.367,".",".",1
2000,"ZIP 20009",20009,"01JAN2000","31DEC2000",97.843,51.358,".",".",1
2000,"ZIP 20010",20010,"01JAN2000","31DEC2000",94.173,51.747,".",".",1
2000,"ZIP 20011",20011,"01JAN2000","31DEC2000",98.324,70.065,".",".",1
2000,"ZIP 20012",20012,"01JAN2000","31DEC2000",98.551,81.295,".",".",1
2000,"ZIP 20015",20015,"01JAN2000","31DEC2000",99.302,84.246,".",".",1
2000,"ZIP 20016",20016,"01JAN2000","31DEC2000",99.577,83.570,".",".",1
2000,"ZIP 20017",20017,"01JAN2000","31DEC2000",99.024,76.788,".",".",1
2000,"ZIP 20018",20018,"01JAN2000","31DEC2000",98.879,69.517,".",".",1
2000,"ZIP 20019",20019,"01JAN2000","31DEC2000",95.406,58.033,".",".",1
2000,"ZIP 20020",20020,"01JAN2000","31DEC2000",96.782,56.246,".",".",1
2000,"ZIP 20024",20024,"01JAN2000","31DEC2000",98.228,60.758,".",".",1
2000,"ZIP 20032",20032,"01JAN2000","31DEC2000",94.365,53.809,".",".",1
2000,"ZIP 20036",20036,"01JAN2000","31DEC2000",98.954,46.320,".",".",1
2000,"ZIP 20037",20037,"01JAN2000","31DEC2000",99.666,47.055,".",".",1
2000,"ZIP 20052",20052,"01JAN2000","31DEC2000",99.428,23.693,".",".",1
2000,"ZIP 20057",20057,"01JAN2000","31DEC2000",100.000,66.667,".",".",1
2000,"ZIP 20059",20059,"01JAN2000","31DEC2000",94.802,38.374,".",".",1
2000,"ZIP 20064",20064,"01JAN2000","31DEC2000",98.225,73.045,".",".",1
2000,"ZIP 20332",20332,"01JAN2000","31DEC2000",98.530,96.400,".",".",1
2000,"ZIP 20336",20336,"01JAN2000","31DEC2000",98.530,96.400,".",".",1

