"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","CONNECTION_ZIP",,,"PctHshldCar",1,8,7,"% HHs with a car","PROFNUM",0,0,,0,0,0,24,56,"V9","23MAR18:09:46:09","23MAR18:09:46:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","CONNECTION_ZIP",,,"PctHshldCar_m",1,8,9,"% HHs with a car MOE","PROFNUM",0,0,,0,0,0,40,56,"V9","23MAR18:09:46:09","23MAR18:09:46:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","CONNECTION_ZIP",,,"PctHshldPhone",1,8,6,"% HHs with a phone","PROFNUM",0,0,,0,0,0,16,56,"V9","23MAR18:09:46:09","23MAR18:09:46:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",3
"WORK","CONNECTION_ZIP",,,"PctHshldPhone_m",1,8,8,"% HHs with a phone MOE","PROFNUM",0,0,,0,0,0,32,56,"V9","23MAR18:09:46:09","23MAR18:09:46:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","CONNECTION_ZIP",,,"end_date",1,8,5,,"DATE",9,0,,0,0,1,8,56,"V9","23MAR18:09:46:09","23MAR18:09:46:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_ZIP",,,"indc",1,8,10,,,0,0,,0,0,1,48,56,"V9","23MAR18:09:46:09","23MAR18:09:46:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_ZIP",,,"start_date",1,8,4,,"DATE",9,0,,0,0,1,0,56,"V9","23MAR18:09:46:09","23MAR18:09:46:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_ZIP",,,"timeframe",2,15,1,,,0,0,,0,0,0,56,56,"V9","23MAR18:09:46:09","23MAR18:09:46:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_ZIP",,,"zip",2,5,2,"ZIP code (5-digit)","$ZIPA",0,0,,0,0,0,71,56,"V9","23MAR18:09:46:09","23MAR18:09:46:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","CONNECTION_ZIP",,,"zip_nf",2,5,3,,,0,0,,0,0,0,76,56,"V9","23MAR18:09:46:09","23MAR18:09:46:09",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

