"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","EDUCATION_CITY",,,"CITY",2,1,3,"2000 - City total","$CITY",0,0,,0,0,0,80,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CITY",,,"CITY_nf",2,1,11,"Unformatted geography",,0,0,,0,0,0,85,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CITY",,,"Pct25andOverWoutHS",1,8,12,"% persons without HS diploma","PROFNUM",0,0,,0,0,0,64,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","EDUCATION_CITY",,,"Pct25andOverWoutHS_m",1,8,13,"% persons without HS diploma MOE","PROFNUM",0,0,,0,0,0,72,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","EDUCATION_CITY",,,"aud",1,8,4,"Total school enrollment","PROFNUM",0,0,,0,0,0,16,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",3
"WORK","EDUCATION_CITY",,,"aud_charter",1,8,6,"Charter school enrollment","PROFNUM",0,0,,0,0,0,24,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","EDUCATION_CITY",,,"aud_dcps",1,8,7,"DCPS school enrollment","PROFNUM",0,0,,0,0,0,32,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",5
"WORK","EDUCATION_CITY",,,"charter_present",1,8,8,"Number of charter schools","PROFNUM",0,0,,0,0,0,40,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",7
"WORK","EDUCATION_CITY",,,"dcps_present",1,8,9,"Number of DCPS schools","PROFNUM",0,0,,0,0,0,48,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",8
"WORK","EDUCATION_CITY",,,"end_date",1,8,2,"End Date","DATE",9,0,,0,0,1,8,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CITY",,,"school_present",1,8,10,"Number of schools","PROFNUM",0,0,,0,0,0,56,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",6
"WORK","EDUCATION_CITY",,,"start_date",1,8,1,"Start Date","DATE",9,0,,0,0,1,0,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CITY",,,"timeframe",2,4,5,"Year of Data",,0,0,,0,0,0,81,16,"V9","20MAR18:19:57:17","20MAR18:19:57:17",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

