timeframe,cluster2017,cluster2017_nf,start_date,end_date,Pct25andOverWoutHS,Pct25andOverWoutHS_m,aud,aud_charter,aud_dcps,charter_present,dcps_present,school_present
2012-16,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-12,31-Dec-16,5.1,1.5,X,X,X,X,X,X
2012-16,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,1-Jan-12,31-Dec-16,15,1.6,X,X,X,X,X,X
2012-16,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,1-Jan-12,31-Dec-16,6.4,1.8,X,X,X,X,X,X
2012-16,"Georgetown, Burleith/Hillandale",Cluster 4,1-Jan-12,31-Dec-16,0.7,1.5,X,X,X,X,X,X
2012-16,"West End, Foggy Bottom, GWU",Cluster 5,1-Jan-12,31-Dec-16,3.1,2.2,X,X,X,X,X,X
2012-16,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,1-Jan-12,31-Dec-16,2.3,1.2,X,X,X,X,X,X
2012-16,"Shaw, Logan Circle",Cluster 7,1-Jan-12,31-Dec-16,9.5,2.1,X,X,X,X,X,X
2012-16,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,1-Jan-12,31-Dec-16,11,2.1,X,X,X,X,X,X
2012-16,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,1-Jan-12,31-Dec-16,6.9,1.7,X,X,X,X,X,X
2012-16,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,1-Jan-12,31-Dec-16,2.5,1.4,X,X,X,X,X,X
2012-16,"Friendship Heights, American University Park, Tenleytown",Cluster 11,1-Jan-12,31-Dec-16,1,1.1,X,X,X,X,X,X
2012-16,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1-Jan-12,31-Dec-16,1.1,1.1,X,X,X,X,X,X
2012-16,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1-Jan-12,31-Dec-16,2.2,1.4,X,X,X,X,X,X
2012-16,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,1-Jan-12,31-Dec-16,3,1.5,X,X,X,X,X,X
2012-16,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1-Jan-12,31-Dec-16,1.8,1,X,X,X,X,X,X
2012-16,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,1-Jan-12,31-Dec-16,0.7,1.5,X,X,X,X,X,X
2012-16,"Takoma, Brightwood, Manor Park",Cluster 17,1-Jan-12,31-Dec-16,13,2,X,X,X,X,X,X
2012-16,"Brightwood Park, Crestwood, Petworth",Cluster 18,1-Jan-12,31-Dec-16,16,1.9,X,X,X,X,X,X
2012-16,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,1-Jan-12,31-Dec-16,11,2.4,X,X,X,X,X,X
2012-16,"North Michigan Park, Michigan Park, University Heights",Cluster 20,1-Jan-12,31-Dec-16,9.8,2.5,X,X,X,X,X,X
2012-16,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Cluster 21,1-Jan-12,31-Dec-16,11,1.8,X,X,X,X,X,X
2012-16,"Brookland, Brentwood, Langdon",Cluster 22,1-Jan-12,31-Dec-16,13,2.2,X,X,X,X,X,X
