"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","EDUCATION_CL17",,,"Pct25andOverWoutHS",1,8,12,"% persons without HS diploma","PROFNUM",0,0,,0,0,0,64,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","EDUCATION_CL17",,,"Pct25andOverWoutHS_m",1,8,13,"% persons without HS diploma MOE","PROFNUM",0,0,,0,0,0,72,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","EDUCATION_CL17",,,"aud",1,8,4,"Total school enrollment","PROFNUM",0,0,,0,0,0,16,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",3
"WORK","EDUCATION_CL17",,,"aud_charter",1,8,6,"Charter school enrollment","PROFNUM",0,0,,0,0,0,24,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","EDUCATION_CL17",,,"aud_dcps",1,8,7,"DCPS school enrollment","PROFNUM",0,0,,0,0,0,32,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",5
"WORK","EDUCATION_CL17",,,"charter_present",1,8,8,"Number of charter schools","PROFNUM",0,0,,0,0,0,40,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",7
"WORK","EDUCATION_CL17",,,"cluster2017",2,2,3,"Neighborhood Cluster (2017)","$CLUS17A",0,0,,0,0,0,80,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CL17",,,"cluster2017_nf",2,2,11,"Unformatted geography",,0,0,,0,0,0,86,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CL17",,,"dcps_present",1,8,9,"Number of DCPS schools","PROFNUM",0,0,,0,0,0,48,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",8
"WORK","EDUCATION_CL17",,,"end_date",1,8,2,"End Date","DATE",9,0,,0,0,1,8,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CL17",,,"school_present",1,8,10,"Number of schools","PROFNUM",0,0,,0,0,0,56,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",6
"WORK","EDUCATION_CL17",,,"start_date",1,8,1,"Start Date","DATE",9,0,,0,0,1,0,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CL17",,,"timeframe",2,4,5,"Year of Data",,0,0,,0,0,0,82,704,"V9","23MAR18:09:47:14","23MAR18:09:47:14",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

