"timeframe","Cluster_tr2000","cluster_tr2000_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
"2012-16","Cluster 1",01,"01JAN2011","31DEC2015",5.1226,1.52620,".",".",".",".",".","."
"2012-16","Cluster 2",02,"01JAN2011","31DEC2015",15.1356,1.61644,".",".",".",".",".","."
"2012-16","Cluster 3",03,"01JAN2011","31DEC2015",5.3070,1.61690,".",".",".",".",".","."
"2012-16","Cluster 4",04,"01JAN2011","31DEC2015",0.7793,1.20497,".",".",".",".",".","."
"2012-16","Cluster 5",05,"01JAN2011","31DEC2015",3.2528,2.33941,".",".",".",".",".","."
"2012-16","Cluster 6",06,"01JAN2011","31DEC2015",1.7363,1.08164,".",".",".",".",".","."
"2012-16","Cluster 7",07,"01JAN2011","31DEC2015",9.7889,1.90932,".",".",".",".",".","."
"2012-16","Cluster 8",08,"01JAN2011","31DEC2015",10.0272,2.24474,".",".",".",".",".","."
"2012-16","Cluster 9",09,"01JAN2011","31DEC2015",6.8986,1.70250,".",".",".",".",".","."
"2012-16","Cluster 10",10,"01JAN2011","31DEC2015",2.8882,1.59026,".",".",".",".",".","."
"2012-16","Cluster 11",11,"01JAN2011","31DEC2015",0.8030,1.12753,".",".",".",".",".","."
"2012-16","Cluster 12",12,"01JAN2011","31DEC2015",1.0354,0.91429,".",".",".",".",".","."
"2012-16","Cluster 13",13,"01JAN2011","31DEC2015",2.0560,1.23840,".",".",".",".",".","."
"2012-16","Cluster 14",14,"01JAN2011","31DEC2015",3.7637,2.04878,".",".",".",".",".","."
"2012-16","Cluster 15",15,"01JAN2011","31DEC2015",2.3985,1.19225,".",".",".",".",".","."
"2012-16","Cluster 16",16,"01JAN2011","31DEC2015",0.6955,1.49456,".",".",".",".",".","."
"2012-16","Cluster 17",17,"01JAN2011","31DEC2015",13.4956,2.06965,".",".",".",".",".","."
"2012-16","Cluster 18",18,"01JAN2011","31DEC2015",15.7555,1.78096,".",".",".",".",".","."
"2012-16","Cluster 19",19,"01JAN2011","31DEC2015",11.7287,2.52282,".",".",".",".",".","."
"2012-16","Cluster 20",20,"01JAN2011","31DEC2015",7.6617,2.40938,".",".",".",".",".","."
"2012-16","Cluster 21",21,"01JAN2011","31DEC2015",11.1573,1.87235,".",".",".",".",".","."
"2012-16","Cluster 22",22,"01JAN2011","31DEC2015",11.5220,2.59586,".",".",".",".",".","."
"2012-16","Cluster 23",23,"01JAN2011","31DEC2015",18.4238,2.60047,".",".",".",".",".","."
"2012-16","Cluster 24",24,"01JAN2011","31DEC2015",15.2488,2.39658,".",".",".",".",".","."
"2012-16","Cluster 25",25,"01JAN2011","31DEC2015",5.3791,0.97655,".",".",".",".",".","."
"2012-16","Cluster 26",26,"01JAN2011","31DEC2015",5.9436,1.25392,".",".",".",".",".","."
"2012-16","Cluster 27",27,"01JAN2011","31DEC2015",6.4558,2.19615,".",".",".",".",".","."
"2012-16","Cluster 28",28,"01JAN2011","31DEC2015",15.2778,4.31065,".",".",".",".",".","."
"2012-16","Cluster 29",29,"01JAN2011","31DEC2015",19.4696,6.32285,".",".",".",".",".","."
"2012-16","Cluster 30",30,"01JAN2011","31DEC2015",16.7726,3.97080,".",".",".",".",".","."
"2012-16","Cluster 31",31,"01JAN2011","31DEC2015",15.6649,2.70709,".",".",".",".",".","."
"2012-16","Cluster 32",32,"01JAN2011","31DEC2015",20.0045,3.34306,".",".",".",".",".","."
"2012-16","Cluster 33",33,"01JAN2011","31DEC2015",14.8687,2.29385,".",".",".",".",".","."
"2012-16","Cluster 34",34,"01JAN2011","31DEC2015",12.1187,2.04948,".",".",".",".",".","."
"2012-16","Cluster 35",35,"01JAN2011","31DEC2015",14.9107,4.10883,".",".",".",".",".","."
"2012-16","Cluster 36",36,"01JAN2011","31DEC2015",19.3239,3.78540,".",".",".",".",".","."
"2012-16","Cluster 37",37,"01JAN2011","31DEC2015",19.9936,3.97825,".",".",".",".",".","."
"2012-16","Cluster 38",38,"01JAN2011","31DEC2015",17.7964,4.04651,".",".",".",".",".","."
"2012-16","Cluster 39",39,"01JAN2011","31DEC2015",16.8876,1.89887,".",".",".",".",".","."
"2012-16","Non-cluster area",99,"01JAN2011","31DEC2015",6.8376,3.15850,".",".",".",".",".","."
2000,"Cluster 1",01,"01JAN2000","31DEC2000",11.2200,".",".",".",".",".",".","."
2000,"Cluster 2",02,"01JAN2000","31DEC2000",41.5576,".",".",".",".",".",".","."
2000,"Cluster 3",03,"01JAN2000","31DEC2000",29.5093,".",".",".",".",".",".","."
2000,"Cluster 4",04,"01JAN2000","31DEC2000",2.0215,".",".",".",".",".",".","."
2000,"Cluster 5",05,"01JAN2000","31DEC2000",5.5833,".",".",".",".",".",".","."
2000,"Cluster 6",06,"01JAN2000","31DEC2000",6.4436,".",".",".",".",".",".","."
2000,"Cluster 7",07,"01JAN2000","31DEC2000",28.3286,".",".",".",".",".",".","."
2000,"Cluster 8",08,"01JAN2000","31DEC2000",34.1141,".",".",".",".",".",".","."
2000,"Cluster 9",09,"01JAN2000","31DEC2000",18.8861,".",".",".",".",".",".","."
2000,"Cluster 10",10,"01JAN2000","31DEC2000",7.5704,".",".",".",".",".",".","."
2000,"Cluster 11",11,"01JAN2000","31DEC2000",3.8249,".",".",".",".",".",".","."
2000,"Cluster 12",12,"01JAN2000","31DEC2000",2.6037,".",".",".",".",".",".","."
2000,"Cluster 13",13,"01JAN2000","31DEC2000",1.9988,".",".",".",".",".",".","."
2000,"Cluster 14",14,"01JAN2000","31DEC2000",3.4668,".",".",".",".",".",".","."
2000,"Cluster 15",15,"01JAN2000","31DEC2000",7.6072,".",".",".",".",".",".","."
2000,"Cluster 16",16,"01JAN2000","31DEC2000",3.7874,".",".",".",".",".",".","."
2000,"Cluster 17",17,"01JAN2000","31DEC2000",22.6708,".",".",".",".",".",".","."
2000,"Cluster 18",18,"01JAN2000","31DEC2000",28.7679,".",".",".",".",".",".","."
2000,"Cluster 19",19,"01JAN2000","31DEC2000",17.6912,".",".",".",".",".",".","."
2000,"Cluster 20",20,"01JAN2000","31DEC2000",18.6116,".",".",".",".",".",".","."
2000,"Cluster 21",21,"01JAN2000","31DEC2000",31.2928,".",".",".",".",".",".","."
2000,"Cluster 22",22,"01JAN2000","31DEC2000",25.7555,".",".",".",".",".",".","."
2000,"Cluster 23",23,"01JAN2000","31DEC2000",38.5181,".",".",".",".",".",".","."
2000,"Cluster 24",24,"01JAN2000","31DEC2000",26.6139,".",".",".",".",".",".","."
2000,"Cluster 25",25,"01JAN2000","31DEC2000",20.9767,".",".",".",".",".",".","."
2000,"Cluster 26",26,"01JAN2000","31DEC2000",14.0510,".",".",".",".",".",".","."
2000,"Cluster 27",27,"01JAN2000","31DEC2000",43.9727,".",".",".",".",".",".","."
2000,"Cluster 28",28,"01JAN2000","31DEC2000",32.6336,".",".",".",".",".",".","."
2000,"Cluster 29",29,"01JAN2000","31DEC2000",30.9392,".",".",".",".",".",".","."
2000,"Cluster 30",30,"01JAN2000","31DEC2000",32.7273,".",".",".",".",".",".","."
2000,"Cluster 31",31,"01JAN2000","31DEC2000",34.6543,".",".",".",".",".",".","."
2000,"Cluster 32",32,"01JAN2000","31DEC2000",29.5082,".",".",".",".",".",".","."
2000,"Cluster 33",33,"01JAN2000","31DEC2000",33.1400,".",".",".",".",".",".","."
2000,"Cluster 34",34,"01JAN2000","31DEC2000",24.7361,".",".",".",".",".",".","."
2000,"Cluster 35",35,"01JAN2000","31DEC2000",18.4446,".",".",".",".",".",".","."
2000,"Cluster 36",36,"01JAN2000","31DEC2000",34.7153,".",".",".",".",".",".","."
2000,"Cluster 37",37,"01JAN2000","31DEC2000",39.8192,".",".",".",".",".",".","."
2000,"Cluster 38",38,"01JAN2000","31DEC2000",43.9878,".",".",".",".",".",".","."
2000,"Cluster 39",39,"01JAN2000","31DEC2000",33.0033,".",".",".",".",".",".","."
2000,"Non-cluster area",99,"01JAN2000","31DEC2000",15.0797,".",".",".",".",".",".","."
1990,"Cluster 1",01,"01JAN1990","31DEC1990",15.4504,".",".",".",".",".",".","."
1990,"Cluster 2",02,"01JAN1990","31DEC1990",41.9670,".",".",".",".",".",".","."
1990,"Cluster 3",03,"01JAN1990","31DEC1990",36.0773,".",".",".",".",".",".","."
1990,"Cluster 4",04,"01JAN1990","31DEC1990",4.4341,".",".",".",".",".",".","."
1990,"Cluster 5",05,"01JAN1990","31DEC1990",5.0048,".",".",".",".",".",".","."
1990,"Cluster 6",06,"01JAN1990","31DEC1990",11.2253,".",".",".",".",".",".","."
1990,"Cluster 7",07,"01JAN1990","31DEC1990",32.3652,".",".",".",".",".",".","."
1990,"Cluster 8",08,"01JAN1990","31DEC1990",44.1849,".",".",".",".",".",".","."
1990,"Cluster 9",09,"01JAN1990","31DEC1990",14.6493,".",".",".",".",".",".","."
1990,"Cluster 10",10,"01JAN1990","31DEC1990",5.1339,".",".",".",".",".",".","."
1990,"Cluster 11",11,"01JAN1990","31DEC1990",5.2268,".",".",".",".",".",".","."
1990,"Cluster 12",12,"01JAN1990","31DEC1990",6.2146,".",".",".",".",".",".","."
1990,"Cluster 13",13,"01JAN1990","31DEC1990",4.5681,".",".",".",".",".",".","."
1990,"Cluster 14",14,"01JAN1990","31DEC1990",5.8740,".",".",".",".",".",".","."
1990,"Cluster 15",15,"01JAN1990","31DEC1990",7.5924,".",".",".",".",".",".","."
1990,"Cluster 16",16,"01JAN1990","31DEC1990",6.9830,".",".",".",".",".",".","."
1990,"Cluster 17",17,"01JAN1990","31DEC1990",23.4431,".",".",".",".",".",".","."
1990,"Cluster 18",18,"01JAN1990","31DEC1990",31.7458,".",".",".",".",".",".","."
1990,"Cluster 19",19,"01JAN1990","31DEC1990",19.4128,".",".",".",".",".",".","."
1990,"Cluster 20",20,"01JAN1990","31DEC1990",21.0626,".",".",".",".",".",".","."
1990,"Cluster 21",21,"01JAN1990","31DEC1990",37.6234,".",".",".",".",".",".","."
1990,"Cluster 22",22,"01JAN1990","31DEC1990",34.1182,".",".",".",".",".",".","."
1990,"Cluster 23",23,"01JAN1990","31DEC1990",47.8369,".",".",".",".",".",".","."
1990,"Cluster 24",24,"01JAN1990","31DEC1990",31.2959,".",".",".",".",".",".","."
1990,"Cluster 25",25,"01JAN1990","31DEC1990",29.0397,".",".",".",".",".",".","."
1990,"Cluster 26",26,"01JAN1990","31DEC1990",21.4340,".",".",".",".",".",".","."
1990,"Cluster 27",27,"01JAN1990","31DEC1990",45.9627,".",".",".",".",".",".","."
1990,"Cluster 28",28,"01JAN1990","31DEC1990",47.6235,".",".",".",".",".",".","."
1990,"Cluster 29",29,"01JAN1990","31DEC1990",32.0337,".",".",".",".",".",".","."
1990,"Cluster 30",30,"01JAN1990","31DEC1990",44.3946,".",".",".",".",".",".","."
1990,"Cluster 31",31,"01JAN1990","31DEC1990",43.7717,".",".",".",".",".",".","."
1990,"Cluster 32",32,"01JAN1990","31DEC1990",37.5244,".",".",".",".",".",".","."
1990,"Cluster 33",33,"01JAN1990","31DEC1990",39.0420,".",".",".",".",".",".","."
1990,"Cluster 34",34,"01JAN1990","31DEC1990",28.1104,".",".",".",".",".",".","."
