"timeframe","county","county_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present","CITY_nf"
"2014-18","District of Columbia, DC",11001,"01JAN2014","31DEC2018",9.4,0.3,"X","X","X","X","X","X",
"2014-18","Calvert County, MD",24009,"01JAN2014","31DEC2018",6.1,0.7,"X","X","X","X","X","X",
"2014-18","Charles County, MD",24017,"01JAN2014","31DEC2018",6.9,0.6,"X","X","X","X","X","X",
"2014-18","Frederick County, MD",24021,"01JAN2014","31DEC2018",7.6,0.5,"X","X","X","X","X","X",
"2014-18","Montgomery County, MD",24031,"01JAN2014","31DEC2018",8.7,0.3,"X","X","X","X","X","X",
"2014-18","Prince George's County, MD",24033,"01JAN2014","31DEC2018",13,0.3,"X","X","X","X","X","X",
"2014-18","Arlington County, VA",51013,"01JAN2014","31DEC2018",5.9,0.5,"X","X","X","X","X","X",
"2014-18","Clarke County, VA",51043,"01JAN2014","31DEC2018",11,2.2,"X","X","X","X","X","X",
"2014-18","Culpeper County, VA",51047,"01JAN2014","31DEC2018",15,1.5,"X","X","X","X","X","X",
"2014-18","Fairfax County, VA",51059,"01JAN2014","31DEC2018",7.9,0.3,"X","X","X","X","X","X",
"2014-18","Fauquier County, VA",51061,"01JAN2014","31DEC2018",7.8,0.8,"X","X","X","X","X","X",
"2014-18","Loudoun County, VA",51107,"01JAN2014","31DEC2018",6.5,0.4,"X","X","X","X","X","X",
"2014-18","Prince William County, VA",51153,"01JAN2014","31DEC2018",11,0.5,"X","X","X","X","X","X",
"2014-18","Rappahannock County, VA",51157,"01JAN2014","31DEC2018",11,2.8,"X","X","X","X","X","X",
"2014-18","Spotsylvania County, VA",51177,"01JAN2014","31DEC2018",9.8,0.7,"X","X","X","X","X","X",
"2014-18","Stafford County, VA",51179,"01JAN2014","31DEC2018",6.3,0.6,"X","X","X","X","X","X",
"2014-18","Warren County, VA",51187,"01JAN2014","31DEC2018",14,1.5,"X","X","X","X","X","X",
"2014-18","Alexandria city, VA",51510,"01JAN2014","31DEC2018",7.5,0.7,"X","X","X","X","X","X",
"2014-18","Fairfax city, VA",51600,"01JAN2014","31DEC2018",7.0,1.4,"X","X","X","X","X","X",
"2014-18","Falls Church city, VA",51610,"01JAN2014","31DEC2018",1.2,1.1,"X","X","X","X","X","X",
"2014-18","Fredericksburg city, VA",51630,"01JAN2014","31DEC2018",10,2.2,"X","X","X","X","X","X",
