"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","EDUCATION_CNTY",,,"CITY_nf",2,1,10,"Unformatted geography",,0,0,,0,0,0,84,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CNTY",,,"Pct25andOverWoutHS",1,8,13,"% persons without HS diploma","PROFNUM",0,0,,0,0,0,64,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","EDUCATION_CNTY",,,"Pct25andOverWoutHS_m",1,8,14,"% persons without HS diploma MOE","PROFNUM",0,0,,0,0,0,72,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","EDUCATION_CNTY",,,"aud",1,8,3,"Total school enrollment","PROFNUM",0,0,,0,0,0,16,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",3
"WORK","EDUCATION_CNTY",,,"aud_charter",1,8,5,"Charter school enrollment","PROFNUM",0,0,,0,0,0,24,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","EDUCATION_CNTY",,,"aud_dcps",1,8,6,"DCPS school enrollment","PROFNUM",0,0,,0,0,0,32,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",5
"WORK","EDUCATION_CNTY",,,"charter_present",1,8,7,"Number of charter schools","PROFNUM",0,0,,0,0,0,40,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",7
"WORK","EDUCATION_CNTY",,,"county",2,5,11,"Regional county (2017)","$CNTY15F",0,0,,0,0,0,85,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CNTY",,,"county_nf",2,5,12,,,0,0,,0,0,0,90,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CNTY",,,"dcps_present",1,8,8,"Number of DCPS schools","PROFNUM",0,0,,0,0,0,48,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",8
"WORK","EDUCATION_CNTY",,,"end_date",1,8,2,"End Date","DATE",9,0,,0,0,1,8,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CNTY",,,"school_present",1,8,9,"Number of schools","PROFNUM",0,0,,0,0,0,56,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",6
"WORK","EDUCATION_CNTY",,,"start_date",1,8,1,"Start Date","DATE",9,0,,0,0,1,0,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_CNTY",,,"timeframe",2,4,4,"Year of Data",,0,0,,0,0,0,80,85,"V9","21MAR18:21:08:52","21MAR18:21:08:52",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

