"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD"
"WORK","EDUCATION_PSA12",,,"Pct25andOverWoutHS",1,8,6,"% persons without HS diploma",,0,0,,0,0,1,16,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"Pct25andOverWoutHS_m",1,8,7,"% persons without HS diploma MOE",,0,0,,0,0,1,24,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"Psa2012",2,3,2,"MPD Police Service Area (2012)","$PSA12A",0,0,,0,0,0,103,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"aud",1,8,8,"Total school enrollment",,0,0,,0,0,1,32,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"aud_charter",1,8,9,"Charter school enrollment",,0,0,,0,0,1,40,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"aud_dcps",1,8,10,"DCPS school enrollment",,0,0,,0,0,1,48,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"charter_present",1,8,11,"Number of charter schools",,0,0,,0,0,1,56,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"dcps_present",1,8,12,"Number of DCPS schools",,0,0,,0,0,1,64,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"end_date",1,8,5,"End Date","DATE",9,0,,0,0,1,8,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"indc",1,8,14,,,0,0,,0,0,1,80,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"psa2012_nf",2,3,3,"Unformatted geography",,0,0,,0,0,0,106,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"school_present",1,8,13,"Number of schools",,0,0,,0,0,1,72,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"start_date",1,8,4,"Start Date","DATE",9,0,,0,0,1,0,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","EDUCATION_PSA12",,,"timeframe",2,15,1,"Year of Data",,0,0,,0,0,0,88,896,"V9","09JAN18:16:03:00","09JAN18:16:03:00",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"

