"timeframe","geo2010","geo2010_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present","ucounty"
"2013-17","DC Tract 1",11001000100,"01JAN2012","31DEC2016",1.3,2.2,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 2.01",11001000201,"01JAN2012","31DEC2016",0.0,600,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 2.02",11001000202,"01JAN2012","31DEC2016",0.4,2.0,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 3",11001000300,"01JAN2012","31DEC2016",0.6,1.6,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 4",11001000400,"01JAN2012","31DEC2016",5.8,5.7,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 5.01",11001000501,"01JAN2012","31DEC2016",0.5,1.7,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 5.02",11001000502,"01JAN2012","31DEC2016",2.4,2.4,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 6",11001000600,"01JAN2012","31DEC2016",1.9,1.7,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 7.01",11001000701,"01JAN2012","31DEC2016",1.9,2.0,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 7.02",11001000702,"01JAN2012","31DEC2016",5.6,4.8,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 8.01",11001000801,"01JAN2012","31DEC2016",1.1,1.9,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 8.02",11001000802,"01JAN2012","31DEC2016",3.0,2.8,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 9.01",11001000901,"01JAN2012","31DEC2016",3.3,2.3,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 9.02",11001000902,"01JAN2012","31DEC2016",0.6,2.6,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 10.01",11001001001,"01JAN2012","31DEC2016",1.2,1.6,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 10.02",11001001002,"01JAN2012","31DEC2016",6.5,5.8,"X","X","X","X","X","X","District of Columbia"
"2013-17","DC Tract 11",11001001100,"01JAN2012","31DEC2016",0.3,1.2,"X","X","X","X","X","X","District of Columbia"
