"timeframe","ward2012","ward2012_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
"2012-16","Ward 1",1,"01JAN2012","31DEC2016",11,1.1,"X","X","X","X","X","X"
"2012-16","Ward 2",2,"01JAN2012","31DEC2016",4.5,0.9,"X","X","X","X","X","X"
"2012-16","Ward 3",3,"01JAN2012","31DEC2016",2.0,0.6,"X","X","X","X","X","X"
"2012-16","Ward 4",4,"01JAN2012","31DEC2016",13,1.1,"X","X","X","X","X","X"
"2012-16","Ward 5",5,"01JAN2012","31DEC2016",13,1.0,"X","X","X","X","X","X"
"2012-16","Ward 6",6,"01JAN2012","31DEC2016",6.4,0.7,"X","X","X","X","X","X"
"2012-16","Ward 7",7,"01JAN2012","31DEC2016",16,1.2,"X","X","X","X","X","X"
"2012-16","Ward 8",8,"01JAN2012","31DEC2016",16,1.2,"X","X","X","X","X","X"
2000,"Ward 1",1,"01JAN2000","31DEC2000",32,".","X","X","X","X","X","X"
2000,"Ward 2",2,"01JAN2000","31DEC2000",11,".","X","X","X","X","X","X"
2000,"Ward 3",3,"01JAN2000","31DEC2000",4.0,".","X","X","X","X","X","X"
2000,"Ward 4",4,"01JAN2000","31DEC2000",22,".","X","X","X","X","X","X"
2000,"Ward 5",5,"01JAN2000","31DEC2000",28,".","X","X","X","X","X","X"
2000,"Ward 6",6,"01JAN2000","31DEC2000",22,".","X","X","X","X","X","X"
2000,"Ward 7",7,"01JAN2000","31DEC2000",30,".","X","X","X","X","X","X"
2000,"Ward 8",8,"01JAN2000","31DEC2000",33,".","X","X","X","X","X","X"
1990,"Ward 1",1,"01JAN1990","31DEC1990",35,".","X","X","X","X","X","X"
1990,"Ward 2",2,"01JAN1990","31DEC1990",13,".","X","X","X","X","X","X"
1990,"Ward 3",3,"01JAN1990","31DEC1990",5.9,".","X","X","X","X","X","X"
1990,"Ward 4",4,"01JAN1990","31DEC1990",25,".","X","X","X","X","X","X"
1990,"Ward 5",5,"01JAN1990","31DEC1990",33,".","X","X","X","X","X","X"
1990,"Ward 6",6,"01JAN1990","31DEC1990",28,".","X","X","X","X","X","X"
1990,"Ward 7",7,"01JAN1990","31DEC1990",36,".","X","X","X","X","X","X"
1990,"Ward 8",8,"01JAN1990","31DEC1990",38,".","X","X","X","X","X","X"
2001,"Ward 1",1,"01JAN2001","31DEC2001","X","X",8881,2031,6850,9.0,15,24
2002,"Ward 1",1,"01JAN2002","31DEC2002","X","X",8509,2350,6159,9.0,15,24
2003,"Ward 1",1,"01JAN2003","31DEC2003","X","X",8875,2830,6045,10,15,25
2004,"Ward 1",1,"01JAN2004","31DEC2004","X","X",8984,3271,5713,16,15,31
2005,"Ward 1",1,"01JAN2005","31DEC2005","X","X",9045,3331,5714,19,16,35
2006,"Ward 1",1,"01JAN2006","31DEC2006","X","X",9594,3907,5687,23,15,38
2007,"Ward 1",1,"01JAN2007","31DEC2007","X","X",9809,4279,5530,24,14,38
2008,"Ward 1",1,"01JAN2008","31DEC2008","X","X",9583,4426,5157,21,11,32
2009,"Ward 1",1,"01JAN2009","31DEC2009","X","X",10142,5033,5109,17,11,28
2010,"Ward 1",1,"01JAN2010","31DEC2010","X","X",9648,5083,4565,16,11,27
2011,"Ward 1",1,"01JAN2011","31DEC2011","X","X",10910,5624,5286,17,12,29
2012,"Ward 1",1,"01JAN2012","31DEC2012","X","X",11342,5935,5407,19,12,31
2013,"Ward 1",1,"01JAN2013","31DEC2013","X","X",12132,6610,5522,20,11,31
2001,"Ward 2",2,"01JAN2001","31DEC2001","X","X",3188,265,2923,2.0,9.0,11
2002,"Ward 2",2,"01JAN2002","31DEC2002","X","X",2915,235,2680,2.0,8.0,10
2003,"Ward 2",2,"01JAN2003","31DEC2003","X","X",3126,256,2870,2.0,9.0,11
2004,"Ward 2",2,"01JAN2004","31DEC2004","X","X",3127,416,2711,3.0,9.0,12
2005,"Ward 2",2,"01JAN2005","31DEC2005","X","X",2819,581,2238,4.0,8.0,12
2006,"Ward 2",2,"01JAN2006","31DEC2006","X","X",2991,653,2338,5.0,8.0,13
2007,"Ward 2",2,"01JAN2007","31DEC2007","X","X",2175,342,1833,3.0,7.0,10
2008,"Ward 2",2,"01JAN2008","31DEC2008","X","X",2350,401,1949,3.0,7.0,10
2009,"Ward 2",2,"01JAN2009","31DEC2009","X","X",3030,451,2579,3.0,8.0,11
2010,"Ward 2",2,"01JAN2010","31DEC2010","X","X",3146,403,2743,2.0,8.0,10
2011,"Ward 2",2,"01JAN2011","31DEC2011","X","X",3143,425,2718,2.0,8.0,10
2012,"Ward 2",2,"01JAN2012","31DEC2012","X","X",3472,751,2721,2.0,8.0,10
2013,"Ward 2",2,"01JAN2013","31DEC2013","X","X",3502,657,2845,2.0,8.0,10
2001,"Ward 3",3,"01JAN2001","31DEC2001","X","X",5056,0.0,5056,0.0,11,11
2002,"Ward 3",3,"01JAN2002","31DEC2002","X","X",5017,0.0,5017,0.0,11,11
2003,"Ward 3",3,"01JAN2003","31DEC2003","X","X",4994,0.0,4994,0.0,11,11
2004,"Ward 3",3,"01JAN2004","31DEC2004","X","X",5076,213,4863,1.0,10,11
2005,"Ward 3",3,"01JAN2005","31DEC2005","X","X",5001,101,4900,1.0,10,11
2006,"Ward 3",3,"01JAN2006","31DEC2006","X","X",5069,178,4891,2.0,10,12
2007,"Ward 3",3,"01JAN2007","31DEC2007","X","X",5082,307,4775,2.0,10,12
2008,"Ward 3",3,"01JAN2008","31DEC2008","X","X",4977,205,4772,1.0,10,11
2009,"Ward 3",3,"01JAN2009","31DEC2009","X","X",5130,0.0,5130,0.0,10,10
2010,"Ward 3",3,"01JAN2010","31DEC2010","X","X",5463,0.0,5463,0.0,10,10
2011,"Ward 3",3,"01JAN2011","31DEC2011","X","X",5843,0.0,5843,0.0,10,10
2012,"Ward 3",3,"01JAN2012","31DEC2012","X","X",6144,0.0,6144,0.0,10,10
2013,"Ward 3",3,"01JAN2013","31DEC2013","X","X",6339,0.0,6339,0.0,10,10
