"timeframe","Zip","zip_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
"2012-16","ZIP 20001",20001,"01JAN2011","31DEC2015",10.6978,1.3209,".",".",".",".",".","."
"2012-16","ZIP 20002",20002,"01JAN2011","31DEC2015",10.1941,1.0490,".",".",".",".",".","."
"2012-16","ZIP 20003",20003,"01JAN2011","31DEC2015",6.1614,1.0916,".",".",".",".",".","."
"2012-16","ZIP 20004",20004,"01JAN2011","31DEC2015",8.5838,5.4172,".",".",".",".",".","."
"2012-16","ZIP 20005",20005,"01JAN2011","31DEC2015",7.4977,2.6525,".",".",".",".",".","."
"2012-16","ZIP 20006",20006,"01JAN2011","31DEC2015",5.0753,14.2125,".",".",".",".",".","."
"2012-16","ZIP 20007",20007,"01JAN2011","31DEC2015",2.1465,1.1073,".",".",".",".",".","."
"2012-16","ZIP 20008",20008,"01JAN2011","31DEC2015",1.4098,0.7228,".",".",".",".",".","."
"2012-16","ZIP 20009",20009,"01JAN2011","31DEC2015",6.7396,1.0765,".",".",".",".",".","."
"2012-16","ZIP 20010",20010,"01JAN2011","31DEC2015",16.6455,2.2432,".",".",".",".",".","."
"2012-16","ZIP 20011",20011,"01JAN2011","31DEC2015",14.3446,1.3266,".",".",".",".",".","."
"2012-16","ZIP 20012",20012,"01JAN2011","31DEC2015",8.9816,2.1678,".",".",".",".",".","."
"2012-16","ZIP 20015",20015,"01JAN2011","31DEC2015",2.2816,1.2976,".",".",".",".",".","."
"2012-16","ZIP 20016",20016,"01JAN2011","31DEC2015",1.9796,0.9265,".",".",".",".",".","."
"2012-16","ZIP 20017",20017,"01JAN2011","31DEC2015",10.2972,2.0548,".",".",".",".",".","."
"2012-16","ZIP 20018",20018,"01JAN2011","31DEC2015",14.2090,1.9484,".",".",".",".",".","."
"2012-16","ZIP 20019",20019,"01JAN2011","31DEC2015",16.6106,1.3888,".",".",".",".",".","."
"2012-16","ZIP 20020",20020,"01JAN2011","31DEC2015",15.9056,1.4791,".",".",".",".",".","."
"2012-16","ZIP 20024",20024,"01JAN2011","31DEC2015",6.7178,1.7088,".",".",".",".",".","."
"2012-16","ZIP 20032",20032,"01JAN2011","31DEC2015",17.0428,1.8616,".",".",".",".",".","."
"2012-16","ZIP 20036",20036,"01JAN2011","31DEC2015",1.0259,1.7126,".",".",".",".",".","."
"2012-16","ZIP 20037",20037,"01JAN2011","31DEC2015",2.7390,1.9553,".",".",".",".",".","."
"2012-16","ZIP 20052",20052,"01JAN2011","31DEC2015",5.4377,22.3224,".",".",".",".",".","."
"2012-16","ZIP 20057",20057,"01JAN2011","31DEC2015",0.0000,76.4643,".",".",".",".",".","."
"2012-16","ZIP 20059",20059,"01JAN2011","31DEC2015",10.3939,17.2372,".",".",".",".",".","."
"2012-16","ZIP 20064",20064,"01JAN2011","31DEC2015",15.1577,5.9190,".",".",".",".",".","."
"2012-16","ZIP 20332",20332,"01JAN2011","31DEC2015",0.0000,3.7628,".",".",".",".",".","."
"2012-16","ZIP 20336",20336,"01JAN2011","31DEC2015",0.0000,2.9239,".",".",".",".",".","."
2000,"ZIP 20001",20001,"01JAN2000","31DEC2000",34.8211,".",".",".",".",".",".","."
2000,"ZIP 20002",20002,"01JAN2000","31DEC2000",27.3791,".",".",".",".",".",".","."
2000,"ZIP 20003",20003,"01JAN2000","31DEC2000",18.8771,".",".",".",".",".",".","."
2000,"ZIP 20004",20004,"01JAN2000","31DEC2000",32.1192,".",".",".",".",".",".","."
2000,"ZIP 20005",20005,"01JAN2000","31DEC2000",23.2956,".",".",".",".",".",".","."
2000,"ZIP 20006",20006,"01JAN2000","31DEC2000",3.8199,".",".",".",".",".",".","."
2000,"ZIP 20007",20007,"01JAN2000","31DEC2000",2.2126,".",".",".",".",".",".","."
2000,"ZIP 20008",20008,"01JAN2000","31DEC2000",4.4472,".",".",".",".",".",".","."
2000,"ZIP 20009",20009,"01JAN2000","31DEC2000",21.1982,".",".",".",".",".",".","."
2000,"ZIP 20010",20010,"01JAN2000","31DEC2000",39.6734,".",".",".",".",".",".","."
2000,"ZIP 20011",20011,"01JAN2000","31DEC2000",25.7464,".",".",".",".",".",".","."
2000,"ZIP 20012",20012,"01JAN2000","31DEC2000",14.8004,".",".",".",".",".",".","."
2000,"ZIP 20015",20015,"01JAN2000","31DEC2000",6.8498,".",".",".",".",".",".","."
2000,"ZIP 20016",20016,"01JAN2000","31DEC2000",3.7112,".",".",".",".",".",".","."
2000,"ZIP 20017",20017,"01JAN2000","31DEC2000",21.5203,".",".",".",".",".",".","."
2000,"ZIP 20018",20018,"01JAN2000","31DEC2000",27.1484,".",".",".",".",".",".","."
2000,"ZIP 20019",20019,"01JAN2000","31DEC2000",31.9496,".",".",".",".",".",".","."
2000,"ZIP 20020",20020,"01JAN2000","31DEC2000",30.3450,".",".",".",".",".",".","."
2000,"ZIP 20024",20024,"01JAN2000","31DEC2000",18.5039,".",".",".",".",".",".","."
2000,"ZIP 20032",20032,"01JAN2000","31DEC2000",34.2124,".",".",".",".",".",".","."
2000,"ZIP 20036",20036,"01JAN2000","31DEC2000",5.7749,".",".",".",".",".",".","."
2000,"ZIP 20037",20037,"01JAN2000","31DEC2000",5.3502,".",".",".",".",".",".","."
2000,"ZIP 20052",20052,"01JAN2000","31DEC2000",3.8199,".",".",".",".",".",".","."
2000,"ZIP 20057",20057,"01JAN2000","31DEC2000",14.2045,".",".",".",".",".",".","."
2000,"ZIP 20059",20059,"01JAN2000","31DEC2000",37.1290,".",".",".",".",".",".","."
2000,"ZIP 20064",20064,"01JAN2000","31DEC2000",18.3895,".",".",".",".",".",".","."
2000,"ZIP 20332",20332,"01JAN2000","31DEC2000",4.6455,".",".",".",".",".",".","."
2000,"ZIP 20336",20336,"01JAN2000","31DEC2000",4.6455,".",".",".",".",".",".","."
1990,"ZIP 20001",20001,"01JAN1990","31DEC1990",43.3699,".",".",".",".",".",".","."
1990,"ZIP 20002",20002,"01JAN1990","31DEC1990",35.6744,".",".",".",".",".",".","."
1990,"ZIP 20003",20003,"01JAN1990","31DEC1990",26.0333,".",".",".",".",".",".","."
1990,"ZIP 20004",20004,"01JAN1990","31DEC1990",48.7189,".",".",".",".",".",".","."
