"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","EDUCATION_ZIP",,,"Pct25andOverWoutHS",1,8,6,"% persons without HS diploma","PROFNUM",0,0,,0,0,0,16,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","EDUCATION_ZIP",,,"Pct25andOverWoutHS_m",1,8,7,"% persons without HS diploma MOE","PROFNUM",0,0,,0,0,0,24,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","EDUCATION_ZIP",,,"aud",1,8,8,"Total school enrollment","PROFNUM",0,0,,0,0,0,32,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",3
"WORK","EDUCATION_ZIP",,,"aud_charter",1,8,9,"Charter school enrollment","PROFNUM",0,0,,0,0,0,40,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","EDUCATION_ZIP",,,"aud_dcps",1,8,10,"DCPS school enrollment","PROFNUM",0,0,,0,0,0,48,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",5
"WORK","EDUCATION_ZIP",,,"charter_present",1,8,11,"Number of charter schools","PROFNUM",0,0,,0,0,0,56,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",7
"WORK","EDUCATION_ZIP",,,"dcps_present",1,8,12,"Number of DCPS schools","PROFNUM",0,0,,0,0,0,64,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",8
"WORK","EDUCATION_ZIP",,,"end_date",1,8,5,"End Date","DATE",9,0,,0,0,1,8,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_ZIP",,,"school_present",1,8,13,"Number of schools","PROFNUM",0,0,,0,0,0,72,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",6
"WORK","EDUCATION_ZIP",,,"start_date",1,8,4,"Start Date","DATE",9,0,,0,0,1,0,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_ZIP",,,"timeframe",2,15,1,"Year of Data",,0,0,,0,0,0,80,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_ZIP",,,"zip",2,5,2,"ZIP code (5-digit)","$ZIPA",0,0,,0,0,0,95,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EDUCATION_ZIP",,,"zip_nf",2,5,3,"Unformatted geography",,0,0,,0,0,0,100,448,"V9","25MAR18:20:42:54","25MAR18:20:42:54",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

