"timeframe","Anc2012","anc2012_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
"2012-16","ANC 1A","1A","01JAN2012","31DEC2016",7.2055,73.9907,1.71659,2.58215,1
"2012-16","ANC 1B","1B","01JAN2012","31DEC2016",7.1840,68.4971,1.74031,2.84098,1
"2012-16","ANC 1C","1C","01JAN2012","31DEC2016",4.2572,81.1961,1.69712,3.79371,1
"2012-16","ANC 1D","1D","01JAN2012","31DEC2016",3.9382,74.6972,2.08269,4.29781,1
"2012-16","ANC 2A","2A","01JAN2012","31DEC2016",4.6676,56.7862,2.03746,3.73324,1
"2012-16","ANC 2B","2B","01JAN2012","31DEC2016",2.7154,80.4266,1.31346,3.81310,1
"2012-16","ANC 2C","2C","01JAN2012","31DEC2016",7.0397,76.2663,3.48045,2.98055,1
"2012-16","ANC 2D","2D","01JAN2012","31DEC2016",2.9001,73.4545,3.96518,5.61146,1
"2012-16","ANC 2E","2E","01JAN2012","31DEC2016",4.4195,60.9208,1.99563,4.01733,1
"2012-16","ANC 2F","2F","01JAN2012","31DEC2016",3.2113,82.3628,1.44297,4.36608,1
"2012-16","ANC 3B","3B","01JAN2012","31DEC2016",3.7945,74.2415,2.70985,5.44586,1
"2012-16","ANC 3C","3C","01JAN2012","31DEC2016",2.3459,74.3814,1.36681,3.82937,1
"2012-16","ANC 3D","3D","01JAN2012","31DEC2016",6.2952,56.1510,2.45318,2.68060,1
"2012-16","ANC 3E","3E","01JAN2012","31DEC2016",1.9008,66.1037,2.06779,4.38242,1
"2012-16","ANC 3F","3F","01JAN2012","31DEC2016",2.5222,77.0884,1.77673,4.65839,1
"2012-16","ANC 3G","3G","01JAN2012","31DEC2016",3.6752,65.3372,2.08560,3.47032,1
"2012-16","ANC 4A","4A","01JAN2012","31DEC2016",6.6227,63.7248,1.84777,2.90539,1
"2012-16","ANC 4B","4B","01JAN2012","31DEC2016",10.1968,61.7064,2.23997,3.10005,1
"2012-16","ANC 4C","4C","01JAN2012","31DEC2016",6.5137,68.3221,1.81591,2.75697,1
"2012-16","ANC 4D","4D","01JAN2012","31DEC2016",9.8952,63.9618,2.91755,4.21003,1
"2012-16","ANC 5A","5A","01JAN2012","31DEC2016",10.7016,52.9409,2.58486,3.29804,1
"2012-16","ANC 5B","5B","01JAN2012","31DEC2016",12.5209,56.8399,4.00805,4.03732,1
"2012-16","ANC 5C","5C","01JAN2012","31DEC2016",14.3482,49.3748,3.36318,3.07137,1
"2012-16","ANC 5D","5D","01JAN2012","31DEC2016",14.1793,52.8380,2.90540,3.24150,1
"2012-16","ANC 5E","5E","01JAN2012","31DEC2016",8.5818,67.8886,1.84398,2.21231,1
"2012-16","ANC 6A","6A","01JAN2012","31DEC2016",7.0563,72.4975,1.92593,3.09979,1
"2012-16","ANC 6B","6B","01JAN2012","31DEC2016",5.6831,73.6007,1.84615,2.80559,1
"2012-16","ANC 6C","6C","01JAN2012","31DEC2016",3.7180,77.6670,1.57534,2.83013,1
"2012-16","ANC 6D","6D","01JAN2012","31DEC2016",6.3603,71.6261,1.87949,3.63808,1
"2012-16","ANC 6E","6E","01JAN2012","31DEC2016",5.7498,69.5421,1.95044,3.15814,1
"2012-16","ANC 7B","7B","01JAN2012","31DEC2016",15.0757,52.3063,3.23782,3.82361,1
"2012-16","ANC 7C","7C","01JAN2012","31DEC2016",18.7248,50.0592,3.54783,3.84027,1
"2012-16","ANC 7D","7D","01JAN2012","31DEC2016",17.7181,49.8969,3.41219,3.61409,1
"2012-16","ANC 7E","7E","01JAN2012","31DEC2016",16.9522,50.2105,3.35192,3.31272,1
"2012-16","ANC 7F","7F","01JAN2012","31DEC2016",25.0735,34.2979,5.19898,3.85009,1
"2012-16","ANC 8A","8A","01JAN2012","31DEC2016",16.1929,50.0080,3.34279,3.48994,1
"2012-16","ANC 8B","8B","01JAN2012","31DEC2016",20.2634,40.2009,4.14575,3.61207,1
"2012-16","ANC 8C","8C","01JAN2012","31DEC2016",23.9317,45.6083,3.92084,3.54354,1
"2012-16","ANC 8D","8D","01JAN2012","31DEC2016",25.3153,49.0388,4.37123,2.73563,1
"2012-16","ANC 8E","8E","01JAN2012","31DEC2016",23.6881,43.5912,4.29799,3.47571,1
2000,"ANC 1A","1A","01JAN2000","31DEC2000",12.7578,53.9676,".",".",1
2000,"ANC 1B","1B","01JAN2000","31DEC2000",9.0223,53.6097,".",".",1
2000,"ANC 1C","1C","01JAN2000","31DEC2000",2.9264,79.7338,".",".",1
2000,"ANC 1D","1D","01JAN2000","31DEC2000",5.7566,69.2443,".",".",1
2000,"ANC 2A","2A","01JAN2000","31DEC2000",26.0065,50.7114,".",".",1
2000,"ANC 2B","2B","01JAN2000","31DEC2000",2.7520,80.9978,".",".",1
2000,"ANC 2C","2C","01JAN2000","31DEC2000",11.4266,57.5186,".",".",1
2000,"ANC 2D","2D","01JAN2000","31DEC2000",1.1989,76.4534,".",".",1
2000,"ANC 2E","2E","01JAN2000","31DEC2000",2.0543,64.7645,".",".",1
2000,"ANC 2F","2F","01JAN2000","31DEC2000",6.6580,67.7269,".",".",1
2000,"ANC 3B","3B","01JAN2000","31DEC2000",2.8302,70.9850,".",".",1
2000,"ANC 3C","3C","01JAN2000","31DEC2000",2.0572,71.1490,".",".",1
2000,"ANC 3D","3D","01JAN2000","31DEC2000",28.7344,52.8841,".",".",1
2000,"ANC 3E","3E","01JAN2000","31DEC2000",2.3510,72.5091,".",".",1
2000,"ANC 3F","3F","01JAN2000","31DEC2000",1.4970,74.6768,".",".",1
2000,"ANC 3G","3G","01JAN2000","31DEC2000",2.2664,61.0675,".",".",1
2000,"ANC 4A","4A","01JAN2000","31DEC2000",5.8701,61.0648,".",".",1
2000,"ANC 4B","4B","01JAN2000","31DEC2000",6.7584,54.9908,".",".",1
2000,"ANC 4C","4C","01JAN2000","31DEC2000",8.3447,53.6807,".",".",1
2000,"ANC 4D","4D","01JAN2000","31DEC2000",8.2863,52.5707,".",".",1
2000,"ANC 5A","5A","01JAN2000","31DEC2000",17.6701,50.0164,".",".",1
2000,"ANC 5B","5B","01JAN2000","31DEC2000",11.5672,51.8147,".",".",1
2000,"ANC 5C","5C","01JAN2000","31DEC2000",12.4439,43.6729,".",".",1
2000,"ANC 5D","5D","01JAN2000","31DEC2000",18.4312,42.8920,".",".",1
2000,"ANC 5E","5E","01JAN2000","31DEC2000",14.7915,49.2273,".",".",1
2000,"ANC 6A","6A","01JAN2000","31DEC2000",11.2867,56.9173,".",".",1
2000,"ANC 6B","6B","01JAN2000","31DEC2000",5.9434,68.9608,".",".",1
2000,"ANC 6C","6C","01JAN2000","31DEC2000",9.1099,66.7905,".",".",1
2000,"ANC 6D","6D","01JAN2000","31DEC2000",10.7587,54.2810,".",".",1
2000,"ANC 6E","6E","01JAN2000","31DEC2000",16.1847,44.9751,".",".",1
2000,"ANC 7B","7B","01JAN2000","31DEC2000",8.7254,55.0790,".",".",1
2000,"ANC 7C","7C","01JAN2000","31DEC2000",16.5203,37.7045,".",".",1
2000,"ANC 7D","7D","01JAN2000","31DEC2000",14.7185,44.6088,".",".",1
2000,"ANC 7E","7E","01JAN2000","31DEC2000",15.8118,44.9729,".",".",1
2000,"ANC 7F","7F","01JAN2000","31DEC2000",16.1076,37.8187,".",".",1
2000,"ANC 8A","8A","01JAN2000","31DEC2000",17.2091,48.8540,".",".",1
2000,"ANC 8B","8B","01JAN2000","31DEC2000",22.1933,41.8664,".",".",1
2000,"ANC 8C","8C","01JAN2000","31DEC2000",22.6104,40.9251,".",".",1
2000,"ANC 8D","8D","01JAN2000","31DEC2000",19.7031,53.7558,".",".",1
2000,"ANC 8E","8E","01JAN2000","31DEC2000",25.3819,39.3164,".",".",1
1990,"ANC 1A","1A","01JAN1990","31DEC1990",9.1484,58.0642,".",".",1
1990,"ANC 1B","1B","01JAN1990","31DEC1990",10.5818,50.2517,".",".",1
1990,"ANC 1C","1C","01JAN1990","31DEC1990",3.5910,79.2820,".",".",1
1990,"ANC 1D","1D","01JAN1990","31DEC1990",5.4882,73.5540,".",".",1
1990,"ANC 2A","2A","01JAN1990","31DEC1990",4.1955,60.4260,".",".",1
1990,"ANC 2B","2B","01JAN1990","31DEC1990",3.2572,81.2956,".",".",1
1990,"ANC 2C","2C","01JAN1990","31DEC1990",18.4632,45.1028,".",".",1
1990,"ANC 2D","2D","01JAN1990","31DEC1990",2.8220,73.9114,".",".",1
1990,"ANC 2E","2E","01JAN1990","31DEC1990",2.0647,66.8254,".",".",1
1990,"ANC 2F","2F","01JAN1990","31DEC1990",8.4821,65.1991,".",".",1
1990,"ANC 3B","3B","01JAN1990","31DEC1990",2.8476,70.9210,".",".",1
1990,"ANC 3C","3C","01JAN1990","31DEC1990",2.3252,71.6194,".",".",1
1990,"ANC 3D","3D","01JAN1990","31DEC1990",2.3052,65.5173,".",".",1
1990,"ANC 3E","3E","01JAN1990","31DEC1990",2.7525,68.5859,".",".",1
1990,"ANC 3F","3F","01JAN1990","31DEC1990",1.7809,71.9233,".",".",1
1990,"ANC 3G","3G","01JAN1990","31DEC1990",2.6431,65.4100,".",".",1
1990,"ANC 4A","4A","01JAN1990","31DEC1990",4.9126,68.9295,".",".",1
1990,"ANC 4B","4B","01JAN1990","31DEC1990",5.6712,61.0218,".",".",1
1990,"ANC 4C","4C","01JAN1990","31DEC1990",8.1917,61.5601,".",".",1
1990,"ANC 4D","4D","01JAN1990","31DEC1990",7.9275,59.1094,".",".",1
1990,"ANC 5A","5A","01JAN1990","31DEC1990",6.9648,49.5916,".",".",1
1990,"ANC 5B","5B","01JAN1990","31DEC1990",6.8087,60.5219,".",".",1
1990,"ANC 5C","5C","01JAN1990","31DEC1990",10.3716,50.3964,".",".",1
1990,"ANC 5D","5D","01JAN1990","31DEC1990",10.5567,52.6251,".",".",1
1990,"ANC 5E","5E","01JAN1990","31DEC1990",10.7265,54.6687,".",".",1
1990,"ANC 6A","6A","01JAN1990","31DEC1990",9.8892,62.2905,".",".",1
1990,"ANC 6B","6B","01JAN1990","31DEC1990",5.3934,72.9123,".",".",1
1990,"ANC 6C","6C","01JAN1990","31DEC1990",7.1225,69.5062,".",".",1
1990,"ANC 6D","6D","01JAN1990","31DEC1990",9.3542,65.4280,".",".",1
1990,"ANC 6E","6E","01JAN1990","31DEC1990",12.4357,49.2274,".",".",1
1990,"ANC 7B","7B","01JAN1990","31DEC1990",3.5735,66.0667,".",".",1
1990,"ANC 7C","7C","01JAN1990","31DEC1990",11.0542,50.1232,".",".",1
1990,"ANC 7D","7D","01JAN1990","31DEC1990",9.1491,52.6628,".",".",1
1990,"ANC 7E","7E","01JAN1990","31DEC1990",9.7439,57.0415,".",".",1
1990,"ANC 7F","7F","01JAN1990","31DEC1990",8.8197,44.7116,".",".",1
1990,"ANC 8A","8A","01JAN1990","31DEC1990",10.7946,59.8662,".",".",1
1990,"ANC 8B","8B","01JAN1990","31DEC1990",13.6243,48.6255,".",".",1
1990,"ANC 8C","8C","01JAN1990","31DEC1990",12.7813,51.1932,".",".",1
1990,"ANC 8D","8D","01JAN1990","31DEC1990",9.4384,68.2145,".",".",1
1990,"ANC 8E","8E","01JAN1990","31DEC1990",18.0593,50.5032,".",".",1

