"timeframe","cluster2017","Cluster2017_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
"2013-17","Cluster 01",01,"01JAN2012","31DEC2016",3.6,80,1.5,3.5,1
"2013-17","Cluster 02",02,"01JAN2012","31DEC2016",5.6,74,1.1,2.1,1
"2013-17","Cluster 03",03,"01JAN2012","31DEC2016",4.8,69,1.9,3.8,1
"2013-17","Cluster 04",04,"01JAN2012","31DEC2016",4.3,60,2.0,3.6,1
"2013-17","Cluster 05",05,"01JAN2012","31DEC2016",5.1,56,2.4,3.7,1
"2013-17","Cluster 06",06,"01JAN2012","31DEC2016",2.9,80,1.3,3.7,1
"2013-17","Cluster 07",07,"01JAN2012","31DEC2016",3.4,81,1.4,3.5,1
"2013-17","Cluster 08",08,"01JAN2012","31DEC2016",5.9,72,1.7,3.1,1
"2013-17","Cluster 09",09,"01JAN2012","31DEC2016",7.2,66,2.5,4.6,1
"2013-17","Cluster 10",10,"01JAN2012","31DEC2016",4.4,63,2.2,3.6,1
"2013-17","Cluster 11",11,"01JAN2012","31DEC2016",2.2,69,2.0,4.4,1
"2013-17","Cluster 12",12,"01JAN2012","31DEC2016",2.8,78,2.1,5.6,1
"2013-17","Cluster 13",13,"01JAN2012","31DEC2016",6.9,56,2.7,3.0,1
"2013-17","Cluster 14",14,"01JAN2012","31DEC2016",5.1,69,2.2,3.7,1
"2013-17","Cluster 15",15,"01JAN2012","31DEC2016",2.2,77,1.5,4.4,1
"2013-17","Cluster 16",16,"01JAN2012","31DEC2016",5.1,63,3.4,6.3,1
"2013-17","Cluster 17",17,"01JAN2012","31DEC2016",8.5,61,2.2,3.1,1
"2013-17","Cluster 18",18,"01JAN2012","31DEC2016",6.5,67,1.5,2.0,1
"2013-17","Cluster 19",19,"01JAN2012","31DEC2016",10,57,2.7,3.3,1
"2013-17","Cluster 20",20,"01JAN2012","31DEC2016",10,55,3.0,4.0,1
"2013-17","Cluster 21",21,"01JAN2012","31DEC2016",6.7,68,1.6,2.2,1
"2013-17","Cluster 22",22,"01JAN2012","31DEC2016",12,57,3.4,3.6,1
"2013-17","Cluster 23",23,"01JAN2012","31DEC2016",12,53,2.7,3.5,1
"2013-17","Cluster 24",24,"01JAN2012","31DEC2016",11,52,4.1,4.2,1
"2013-17","Cluster 25",25,"01JAN2012","31DEC2016",4.4,76,1.2,2.3,1
"2013-17","Cluster 26",26,"01JAN2012","31DEC2016",5.1,67,1.6,2.2,1
"2013-17","Cluster 27",27,"01JAN2012","31DEC2016",4.1,85,3.3,6.4,1
"2013-17","Cluster 28",28,"01JAN2012","31DEC2016",17,45,5.8,5.9,1
"2013-17","Cluster 29",29,"01JAN2012","31DEC2016",25,41,9.0,8.2,1
"2013-17","Cluster 30",30,"01JAN2012","31DEC2016",18,50,5.4,5.2,1
"2013-17","Cluster 31",31,"01JAN2012","31DEC2016",19,48,3.9,4.2,1
"2013-17","Cluster 32",32,"01JAN2012","31DEC2016",19,48,4.6,4.3,1
"2013-17","Cluster 33",33,"01JAN2012","31DEC2016",17,50,3.1,3.1,1
"2013-17","Cluster 34",34,"01JAN2012","31DEC2016",16,54,2.9,3.2,1
"2013-17","Cluster 35",35,"01JAN2012","31DEC2016",10.0,50,5.6,6.6,1
"2013-17","Cluster 36",36,"01JAN2012","31DEC2016",23,35,6.5,5.0,1
"2013-17","Cluster 37",37,"01JAN2012","31DEC2016",14,45,4.7,4.5,1
"2013-17","Cluster 38",38,"01JAN2012","31DEC2016",15,51,4.0,4.4,1
"2013-17","Cluster 39",39,"01JAN2012","31DEC2016",26,45,3.0,2.3,1
