"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","EMPLOYMENT_CL17",,,"Pct16andOverEmployed",1,8,7,"% pop. 16+ yrs. employed","PROFNUM",0,0,,0,0,0,24,176,"V9","09MAR21:11:32:53","09MAR21:11:32:53",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",3
"WORK","EMPLOYMENT_CL17",,,"Pct16andOverEmployed_m",1,8,9,"% pop. 16+ yrs. employed MOE","PROFNUM",0,0,,0,0,0,40,176,"V9","09MAR21:11:32:53","09MAR21:11:32:53",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","EMPLOYMENT_CL17",,,"PctUnemployed",1,8,6,"Unemployment rate (%)","PROFNUM",0,0,,0,0,0,16,176,"V9","09MAR21:11:32:53","09MAR21:11:32:53",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","EMPLOYMENT_CL17",,,"PctUnemployed_m",1,8,8,"Unemployment rate (%) MOE","PROFNUM",0,0,,0,0,0,32,176,"V9","09MAR21:11:32:53","09MAR21:11:32:53",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","EMPLOYMENT_CL17",,,"cluster2017",2,2,2,"Cluster (2017)","$CLUS17A",0,0,,0,0,0,71,176,"V9","09MAR21:11:32:53","09MAR21:11:32:53",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_CL17",,,"cluster2017_nf",2,10,3,,,0,0,,0,0,0,73,176,"V9","09MAR21:11:32:53","09MAR21:11:32:53",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_CL17",,,"end_date",1,8,5,,"DATE",9,0,,0,0,1,8,176,"V9","09MAR21:11:32:53","09MAR21:11:32:53",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_CL17",,,"indc",1,8,10,,,0,0,,0,0,1,48,176,"V9","09MAR21:11:32:53","09MAR21:11:32:53",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_CL17",,,"start_date",1,8,4,,"DATE",9,0,,0,0,1,0,176,"V9","09MAR21:11:32:53","09MAR21:11:32:53",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_CL17",,,"timeframe",2,15,1,,,0,0,,0,0,0,56,176,"V9","09MAR21:11:32:53","09MAR21:11:32:53",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

