"timeframe","county","county_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m"
"2014-18","District of Columbia, DC",11001,"01JAN2014","31DEC2018",7.4,65,0.3,0.5
"2014-18","Calvert County, MD",24009,"01JAN2014","31DEC2018",6.4,65,0.9,1.3
"2014-18","Charles County, MD",24017,"01JAN2014","31DEC2018",4.0,65,0.5,1.0
"2014-18","Frederick County, MD",24021,"01JAN2014","31DEC2018",4.6,67,0.4,0.7
"2014-18","Montgomery County, MD",24031,"01JAN2014","31DEC2018",4.9,68,0.2,0.4
"2014-18","Prince George's County, MD",24033,"01JAN2014","31DEC2018",6.7,67,0.2,0.4
"2014-18","Arlington County, VA",51013,"01JAN2014","31DEC2018",2.9,76,0.3,0.7
"2014-18","Clarke County, VA",51043,"01JAN2014","31DEC2018",3.8,61,1.8,3.4
"2014-18","Culpeper County, VA",51047,"01JAN2014","31DEC2018",5.3,62,1.1,2.0
"2014-18","Fairfax County, VA",51059,"01JAN2014","31DEC2018",4.2,69,0.2,0.3
"2014-18","Fauquier County, VA",51061,"01JAN2014","31DEC2018",3.4,65,0.6,1.4
"2014-18","Loudoun County, VA",51107,"01JAN2014","31DEC2018",3.5,73,0.3,0.6
"2014-18","Prince William County, VA",51153,"01JAN2014","31DEC2018",4.7,70,0.3,0.6
"2014-18","Rappahannock County, VA",51157,"01JAN2014","31DEC2018",3.9,56,2.7,4.0
"2014-18","Spotsylvania County, VA",51177,"01JAN2014","31DEC2018",5.3,64,0.6,0.9
"2014-18","Stafford County, VA",51179,"01JAN2014","31DEC2018",4.0,67,0.5,1.1
"2014-18","Warren County, VA",51187,"01JAN2014","31DEC2018",6.1,60,1.2,2.0
"2014-18","Alexandria city, VA",51510,"01JAN2014","31DEC2018",3.3,76,0.5,0.9
"2014-18","Fairfax city, VA",51600,"01JAN2014","31DEC2018",4.0,67,1.3,2.6
"2014-18","Falls Church city, VA",51610,"01JAN2014","31DEC2018",3.9,72,1.8,3.7
"2014-18","Fredericksburg city, VA",51630,"01JAN2014","31DEC2018",5.4,67,1.5,3.1
"2014-18","Manassas city, VA",51683,"01JAN2014","31DEC2018",5.7,70,1.3,2.1
"2014-18","Manassas Park city, VA",51685,"01JAN2014","31DEC2018",6.3,69,2.3,4.8
"2014-18","Jefferson County, WV",54037,"01JAN2014","31DEC2018",6.9,60,0.9,1.5
"2010-14","District of Columbia, DC",11001,"01JAN2010","31DEC2014",11,61,0.4,0.5
"2010-14","Calvert County, MD",24009,"01JAN2010","31DEC2014",8.3,65,1.0,1.4
"2010-14","Charles County, MD",24017,"01JAN2010","31DEC2014",7.1,65,0.7,0.9
"2010-14","Frederick County, MD",24021,"01JAN2010","31DEC2014",6.3,67,0.5,0.7
"2010-14","Montgomery County, MD",24031,"01JAN2010","31DEC2014",6.5,68,0.2,0.4
"2010-14","Prince George's County, MD",24033,"01JAN2010","31DEC2014",9.6,66,0.3,0.4
"2010-14","Arlington County, VA",51013,"01JAN2010","31DEC2014",3.6,76,0.4,0.8
"2010-14","Clarke County, VA",51043,"01JAN2010","31DEC2014",6.2,61,2.1,3.1
"2010-14","Culpeper County, VA",51047,"01JAN2010","31DEC2014",7.2,60,1.2,2.0
"2010-14","Fairfax County, VA",51059,"01JAN2010","31DEC2014",5.1,69,0.2,0.4
"2010-14","Fauquier County, VA",51061,"01JAN2010","31DEC2014",5.4,65,0.8,1.5
"2010-14","Loudoun County, VA",51107,"01JAN2010","31DEC2014",4.3,73,0.3,0.6
