"timeframe","Psa2012","psa2012_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m","indc"
"2012-16","PSA 101",101,"01JAN2012","31DEC2016",6.7,77,9.1,11,1
"2012-16","PSA 102",102,"01JAN2012","31DEC2016",7.6,71,3.5,4.2,1
"2012-16","PSA 103",103,"01JAN2012","31DEC2016",6.3,67,3.3,5.3,1
"2012-16","PSA 104",104,"01JAN2012","31DEC2016",4.2,79,1.7,3.2,1
"2012-16","PSA 105",105,"01JAN2012","31DEC2016",6.9,68,2.4,4.5,1
"2012-16","PSA 106",106,"01JAN2012","31DEC2016",7.4,74,2.9,4.0,1
"2012-16","PSA 107",107,"01JAN2012","31DEC2016",3.2,77,1.6,3.2,1
"2012-16","PSA 108",108,"01JAN2012","31DEC2016",6.2,60,2.0,3.0,1
"2012-16","PSA 201",201,"01JAN2012","31DEC2016",3.7,65,2.1,3.5,1
"2012-16","PSA 202",202,"01JAN2012","31DEC2016",2.0,67,2.0,4.1,1
"2012-16","PSA 203",203,"01JAN2012","31DEC2016",2.4,76,1.4,4.2,1
"2012-16","PSA 204",204,"01JAN2012","31DEC2016",3.1,74,1.5,3.3,1
"2012-16","PSA 205",205,"01JAN2012","31DEC2016",6.5,55,2.6,2.7,1
"2012-16","PSA 206",206,"01JAN2012","31DEC2016",4.4,61,2.0,4.0,1
"2012-16","PSA 207",207,"01JAN2012","31DEC2016",4.7,57,2.0,3.8,1
"2012-16","PSA 208",208,"01JAN2012","31DEC2016",2.8,79,1.4,4.3,1
"2012-16","PSA 301",301,"01JAN2012","31DEC2016",2.6,85,1.7,4.8,1
"2012-16","PSA 302",302,"01JAN2012","31DEC2016",7.3,72,2.5,3.7,1
"2012-16","PSA 303",303,"01JAN2012","31DEC2016",4.4,81,1.8,3.9,1
"2012-16","PSA 304",304,"01JAN2012","31DEC2016",8.7,70,2.8,4.4,1
"2012-16","PSA 305",305,"01JAN2012","31DEC2016",5.1,75,2.5,5.1,1
