"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","EMPLOYMENT_TR10",,,"Geo2010",2,11,2,"Census tract (2010)","$GEO10A",0,0,,0,0,0,71,4047,"V9","21MAR18:21:06:38","21MAR18:21:06:38",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_TR10",,,"Pct16andOverEmployed",1,8,7,"% pop. 16+ yrs. employed","PROFNUM",0,0,,0,0,0,24,4047,"V9","21MAR18:21:06:38","21MAR18:21:06:38",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",3
"WORK","EMPLOYMENT_TR10",,,"Pct16andOverEmployed_m",1,8,9,"% pop. 16+ yrs. employed MOE","PROFNUM",0,0,,0,0,0,40,4047,"V9","21MAR18:21:06:38","21MAR18:21:06:38",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","EMPLOYMENT_TR10",,,"PctUnemployed",1,8,6,"Unemployment rate (%)","PROFNUM",0,0,,0,0,0,16,4047,"V9","21MAR18:21:06:38","21MAR18:21:06:38",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","EMPLOYMENT_TR10",,,"PctUnemployed_m",1,8,8,"Unemployment rate (%) MOE","PROFNUM",0,0,,0,0,0,32,4047,"V9","21MAR18:21:06:38","21MAR18:21:06:38",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","EMPLOYMENT_TR10",,,"end_date",1,8,5,,"DATE",9,0,,0,0,1,8,4047,"V9","21MAR18:21:06:38","21MAR18:21:06:38",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_TR10",,,"geo2010_nf",2,11,3,,,0,0,,0,0,0,82,4047,"V9","21MAR18:21:06:38","21MAR18:21:06:38",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_TR10",,,"indc",1,8,11,"Flag for Census tract in Washington DC",,0,0,,0,0,1,48,4047,"V9","21MAR18:21:06:38","21MAR18:21:06:38",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_TR10",,,"start_date",1,8,4,,"DATE",9,0,,0,0,1,0,4047,"V9","21MAR18:21:06:38","21MAR18:21:06:38",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_TR10",,,"timeframe",2,15,1,,,0,0,,0,0,0,56,4047,"V9","21MAR18:21:06:38","21MAR18:21:06:38",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","EMPLOYMENT_TR10",,,"ucounty",2,11,10,,"$PROFILE_CNTY",0,0,,0,0,0,93,4047,"V9","21MAR18:21:06:38","21MAR18:21:06:38",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

