start_date,end_date,cluster2017,timeframe,cluster2017_nf,Pct_births_low_wt,Pct_births_teen,indc
1-Jan-98,31-Dec-98,"Kalorama Heights, Adams Morgan, Lanier Heights",1998,Cluster 1,8.4,5,1
1-Jan-99,31-Dec-99,"Kalorama Heights, Adams Morgan, Lanier Heights",1999,Cluster 1,7.6,7.1,1
1-Jan-00,31-Dec-00,"Kalorama Heights, Adams Morgan, Lanier Heights",2000,Cluster 1,12,9.5,1
1-Jan-01,31-Dec-01,"Kalorama Heights, Adams Morgan, Lanier Heights",2001,Cluster 1,8.2,5.5,1
1-Jan-02,31-Dec-02,"Kalorama Heights, Adams Morgan, Lanier Heights",2002,Cluster 1,3,6.7,1
1-Jan-03,31-Dec-03,"Kalorama Heights, Adams Morgan, Lanier Heights",2003,Cluster 1,9.5,3.6,1
1-Jan-04,31-Dec-04,"Kalorama Heights, Adams Morgan, Lanier Heights",2004,Cluster 1,7.7,3.9,1
1-Jan-05,31-Dec-05,"Kalorama Heights, Adams Morgan, Lanier Heights",2005,Cluster 1,7.2,3.3,1
1-Jan-06,31-Dec-06,"Kalorama Heights, Adams Morgan, Lanier Heights",2006,Cluster 1,5.9,4.9,1
1-Jan-07,31-Dec-07,"Kalorama Heights, Adams Morgan, Lanier Heights",2007,Cluster 1,6.7,5.8,1
1-Jan-08,31-Dec-08,"Kalorama Heights, Adams Morgan, Lanier Heights",2008,Cluster 1,8.1,5.6,1
1-Jan-09,31-Dec-09,"Kalorama Heights, Adams Morgan, Lanier Heights",2009,Cluster 1,7.7,3.2,1
1-Jan-10,31-Dec-10,"Kalorama Heights, Adams Morgan, Lanier Heights",2010,Cluster 1,6.8,1.5,1
1-Jan-11,31-Dec-11,"Kalorama Heights, Adams Morgan, Lanier Heights",2011,Cluster 1,8,2.8,1
1-Jan-98,31-Dec-98,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1998,Cluster 2,8.8,15,1
1-Jan-99,31-Dec-99,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1999,Cluster 2,12,16,1
1-Jan-00,31-Dec-00,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2000,Cluster 2,9.8,12,1
1-Jan-01,31-Dec-01,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2001,Cluster 2,9.4,14,1
1-Jan-02,31-Dec-02,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2002,Cluster 2,11,14,1
1-Jan-03,31-Dec-03,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2003,Cluster 2,8,8.8,1
1-Jan-04,31-Dec-04,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2004,Cluster 2,11,9,1
1-Jan-05,31-Dec-05,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2005,Cluster 2,8.8,11,1
1-Jan-06,31-Dec-06,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2006,Cluster 2,10,12,1
1-Jan-07,31-Dec-07,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2007,Cluster 2,8.8,14,1
1-Jan-08,31-Dec-08,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2008,Cluster 2,7.3,11,1
1-Jan-09,31-Dec-09,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2009,Cluster 2,7.6,9.1,1
1-Jan-10,31-Dec-10,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2010,Cluster 2,9.2,8.5,1
1-Jan-11,31-Dec-11,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2011,Cluster 2,8.5,6.7,1
1-Jan-98,31-Dec-98,"Howard University, Le Droit Park, Cardozo/Shaw",1998,Cluster 3,8.5,17,1
1-Jan-99,31-Dec-99,"Howard University, Le Droit Park, Cardozo/Shaw",1999,Cluster 3,14,21,1
1-Jan-00,31-Dec-00,"Howard University, Le Droit Park, Cardozo/Shaw",2000,Cluster 3,12,19,1
1-Jan-01,31-Dec-01,"Howard University, Le Droit Park, Cardozo/Shaw",2001,Cluster 3,15,13,1
1-Jan-02,31-Dec-02,"Howard University, Le Droit Park, Cardozo/Shaw",2002,Cluster 3,18,11,1
1-Jan-03,31-Dec-03,"Howard University, Le Droit Park, Cardozo/Shaw",2003,Cluster 3,8,5.3,1
1-Jan-04,31-Dec-04,"Howard University, Le Droit Park, Cardozo/Shaw",2004,Cluster 3,14,8,1
1-Jan-05,31-Dec-05,"Howard University, Le Droit Park, Cardozo/Shaw",2005,Cluster 3,7.3,8.1,1
1-Jan-06,31-Dec-06,"Howard University, Le Droit Park, Cardozo/Shaw",2006,Cluster 3,12,10,1
1-Jan-07,31-Dec-07,"Howard University, Le Droit Park, Cardozo/Shaw",2007,Cluster 3,16,8.7,1
1-Jan-08,31-Dec-08,"Howard University, Le Droit Park, Cardozo/Shaw",2008,Cluster 3,7.2,5.5,1
1-Jan-09,31-Dec-09,"Howard University, Le Droit Park, Cardozo/Shaw",2009,Cluster 3,14,10,1
1-Jan-10,31-Dec-10,"Howard University, Le Droit Park, Cardozo/Shaw",2010,Cluster 3,11,8,1
1-Jan-11,31-Dec-11,"Howard University, Le Droit Park, Cardozo/Shaw",2011,Cluster 3,9.5,2.8,1
1-Jan-98,31-Dec-98,"Georgetown, Burleith/Hillandale",1998,Cluster 4,2.6,1.1,1
1-Jan-99,31-Dec-99,"Georgetown, Burleith/Hillandale",1999,Cluster 4,3.7,0,1
1-Jan-00,31-Dec-00,"Georgetown, Burleith/Hillandale",2000,Cluster 4,5.7,0.4,1
1-Jan-01,31-Dec-01,"Georgetown, Burleith/Hillandale",2001,Cluster 4,4.1,0,1
1-Jan-02,31-Dec-02,"Georgetown, Burleith/Hillandale",2002,Cluster 4,2.7,0,1
