"start_date","end_date","Cluster_tr2000","timeframe","CLUSTER_TR2000_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN1998","31DEC1998","Cluster 1",1998,01,0.08333,0.05000,1
"01JAN1999","31DEC1999","Cluster 1",1999,01,0.07602,0.07059,1
"01JAN2000","31DEC2000","Cluster 1",2000,01,0.11834,0.09467,1
"01JAN2001","31DEC2001","Cluster 1",2001,01,0.08152,0.05435,1
"01JAN2002","31DEC2002","Cluster 1",2002,01,0.03030,0.06667,1
"01JAN2003","31DEC2003","Cluster 1",2003,01,0.09467,0.03550,1
"01JAN2004","31DEC2004","Cluster 1",2004,01,0.07778,0.03889,1
"01JAN2005","31DEC2005","Cluster 1",2005,01,0.07190,0.03268,1
"01JAN2006","31DEC2006","Cluster 1",2006,01,0.05914,0.04839,1
"01JAN2007","31DEC2007","Cluster 1",2007,01,0.06731,0.05769,1
"01JAN2008","31DEC2008","Cluster 1",2008,01,0.08081,0.05556,1
"01JAN2009","31DEC2009","Cluster 1",2009,01,0.07727,0.03182,1
"01JAN2010","31DEC2010","Cluster 1",2010,01,0.06863,0.01449,1
"01JAN2011","31DEC2011","Cluster 1",2011,01,0.07944,0.02791,1
"01JAN1998","31DEC1998","Cluster 2",1998,02,0.08759,0.14886,1
"01JAN1999","31DEC1999","Cluster 2",1999,02,0.12645,0.15832,1
"01JAN2000","31DEC2000","Cluster 2",2000,02,0.09792,0.11664,1
"01JAN2001","31DEC2001","Cluster 2",2001,02,0.09433,0.14131,1
"01JAN2002","31DEC2002","Cluster 2",2002,02,0.11026,0.13846,1
"01JAN2003","31DEC2003","Cluster 2",2003,02,0.07891,0.08922,1
"01JAN2004","31DEC2004","Cluster 2",2004,02,0.10559,0.08970,1
"01JAN2005","31DEC2005","Cluster 2",2005,02,0.08848,0.11273,1
"01JAN2006","31DEC2006","Cluster 2",2006,02,0.10315,0.12405,1
"01JAN2007","31DEC2007","Cluster 2",2007,02,0.08887,0.13656,1
"01JAN2008","31DEC2008","Cluster 2",2008,02,0.07434,0.11507,1
"01JAN2009","31DEC2009","Cluster 2",2009,02,0.07520,0.09417,1
"01JAN2010","31DEC2010","Cluster 2",2010,02,0.09243,0.08565,1
"01JAN2011","31DEC2011","Cluster 2",2011,02,0.08617,0.06675,1
"01JAN1998","31DEC1998","Cluster 3",1998,03,0.08187,0.17212,1
"01JAN1999","31DEC1999","Cluster 3",1999,03,0.11541,0.19134,1
"01JAN2000","31DEC2000","Cluster 3",2000,03,0.12937,0.18949,1
"01JAN2001","31DEC2001","Cluster 3",2001,03,0.15092,0.11319,1
"01JAN2002","31DEC2002","Cluster 3",2002,03,0.17868,0.09491,1
"01JAN2003","31DEC2003","Cluster 3",2003,03,0.09689,0.04303,1
"01JAN2004","31DEC2004","Cluster 3",2004,03,0.13307,0.09280,1
"01JAN2005","31DEC2005","Cluster 3",2005,03,0.06306,0.08108,1
"01JAN2006","31DEC2006","Cluster 3",2006,03,0.11382,0.09836,1
"01JAN2007","31DEC2007","Cluster 3",2007,03,0.15323,0.08065,1
"01JAN2008","31DEC2008","Cluster 3",2008,03,0.06383,0.04965,1
"01JAN2009","31DEC2009","Cluster 3",2009,03,0.15672,0.08955,1
"01JAN2010","31DEC2010","Cluster 3",2010,03,0.09459,0.07432,1
"01JAN2011","31DEC2011","Cluster 3",2011,03,0.08642,0.02469,1
"01JAN1998","31DEC1998","Cluster 4",1998,04,0.03252,0.00813,1
"01JAN1999","31DEC1999","Cluster 4",1999,04,0.03125,0.00000,1
"01JAN2000","31DEC2000","Cluster 4",2000,04,0.06410,0.00641,1
"01JAN2001","31DEC2001","Cluster 4",2001,04,0.04500,0.00000,1
"01JAN2002","31DEC2002","Cluster 4",2002,04,0.03465,0.00000,1
