"start_date","end_date","psa2012","timeframe","psa2012_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN2003","31DEC2003","PSA 101",2003,101,18,5.9,1
"01JAN2004","31DEC2004","PSA 101",2004,101,23,7.7,1
"01JAN2005","31DEC2005","PSA 101",2005,101,20,10,1
"01JAN2006","31DEC2006","PSA 101",2006,101,6.9,3.4,1
"01JAN2007","31DEC2007","PSA 101",2007,101,8.1,0.0,1
"01JAN2008","31DEC2008","PSA 101",2008,101,4.5,2.3,1
"01JAN2009","31DEC2009","PSA 101",2009,101,5.7,5.7,1
"01JAN2010","31DEC2010","PSA 101",2010,101,9.3,0.0,1
"01JAN2011","31DEC2011","PSA 101",2011,101,11,1.5,1
"01JAN2012","31DEC2012","PSA 101",2012,101,9.8,1.6,1
"01JAN2013","31DEC2013","PSA 101",2013,101,9.9,1.4,1
"01JAN2014","31DEC2014","PSA 101",2014,101,11,1.8,1
"01JAN2015","31DEC2015","PSA 101",2015,101,13,2.9,1
"01JAN2016","31DEC2016","PSA 101",2016,101,4.5,0.0,1
"01JAN2003","31DEC2003","PSA 102",2003,102,17,18,1
"01JAN2004","31DEC2004","PSA 102",2004,102,16,13,1
"01JAN2005","31DEC2005","PSA 102",2005,102,13,17,1
"01JAN2006","31DEC2006","PSA 102",2006,102,12,19,1
"01JAN2007","31DEC2007","PSA 102",2007,102,12,9.3,1
"01JAN2008","31DEC2008","PSA 102",2008,102,13,14,1
"01JAN2009","31DEC2009","PSA 102",2009,102,16,18,1
"01JAN2010","31DEC2010","PSA 102",2010,102,10,13,1
"01JAN2011","31DEC2011","PSA 102",2011,102,11,15,1
"01JAN2012","31DEC2012","PSA 102",2012,102,10,18,1
"01JAN2013","31DEC2013","PSA 102",2013,102,6.2,12,1
"01JAN2014","31DEC2014","PSA 102",2014,102,16,11,1
"01JAN2015","31DEC2015","PSA 102",2015,102,6.8,2.7,1
"01JAN2016","31DEC2016","PSA 102",2016,102,17,7.8,1
"01JAN2003","31DEC2003","PSA 103",2003,103,12,2.3,1
"01JAN2004","31DEC2004","PSA 103",2004,103,8.6,2.9,1
"01JAN2005","31DEC2005","PSA 103",2005,103,8.1,2.7,1
"01JAN2006","31DEC2006","PSA 103",2006,103,11,5.3,1
"01JAN2007","31DEC2007","PSA 103",2007,103,24,0.0,1
"01JAN2008","31DEC2008","PSA 103",2008,103,7.1,0.0,1
"01JAN2009","31DEC2009","PSA 103",2009,103,12,2.4,1
"01JAN2010","31DEC2010","PSA 103",2010,103,10,4.1,1
"01JAN2011","31DEC2011","PSA 103",2011,103,10,4.0,1
"01JAN2012","31DEC2012","PSA 103",2012,103,0.0,3.5,1
"01JAN2013","31DEC2013","PSA 103",2013,103,6.0,4.0,1
"01JAN2014","31DEC2014","PSA 103",2014,103,16,1.6,1
"01JAN2015","31DEC2015","PSA 103",2015,103,5.1,0.0,1
"01JAN2016","31DEC2016","PSA 103",2016,103,6.0,0.0,1
"01JAN2003","31DEC2003","PSA 104",2003,104,11,15,1
"01JAN2004","31DEC2004","PSA 104",2004,104,15,16,1
"01JAN2005","31DEC2005","PSA 104",2005,104,8.2,7.3,1
"01JAN2006","31DEC2006","PSA 104",2006,104,6.6,10,1
"01JAN2007","31DEC2007","PSA 104",2007,104,2.8,11,1
"01JAN2008","31DEC2008","PSA 104",2008,104,4.3,6.5,1
"01JAN2009","31DEC2009","PSA 104",2009,104,9.3,2.0,1
"01JAN2010","31DEC2010","PSA 104",2010,104,11,2.2,1
"01JAN2011","31DEC2011","PSA 104",2011,104,9.2,2.3,1
"01JAN2012","31DEC2012","PSA 104",2012,104,6.7,2.7,1
"01JAN2013","31DEC2013","PSA 104",2013,104,9.4,1.9,1
"01JAN2014","31DEC2014","PSA 104",2014,104,12,1.1,1
"01JAN2015","31DEC2015","PSA 104",2015,104,4.8,3.0,1
"01JAN2016","31DEC2016","PSA 104",2016,104,6.9,1.7,1
"01JAN2003","31DEC2003","PSA 105",2003,105,6.6,18,1
"01JAN2004","31DEC2004","PSA 105",2004,105,14,20,1
"01JAN2005","31DEC2005","PSA 105",2005,105,15,19,1
"01JAN2006","31DEC2006","PSA 105",2006,105,16,17,1
"01JAN2007","31DEC2007","PSA 105",2007,105,14,20,1
"01JAN2008","31DEC2008","PSA 105",2008,105,10,19,1
"01JAN2009","31DEC2009","PSA 105",2009,105,7.4,20,1
"01JAN2010","31DEC2010","PSA 105",2010,105,13,18,1
"01JAN2011","31DEC2011","PSA 105",2011,105,7.7,21,1
"01JAN2012","31DEC2012","PSA 105",2012,105,9.1,15,1
"01JAN2013","31DEC2013","PSA 105",2013,105,12,9.7,1
"01JAN2014","31DEC2014","PSA 105",2014,105,11,7.9,1
"01JAN2015","31DEC2015","PSA 105",2015,105,15,6.4,1
"01JAN2016","31DEC2016","PSA 105",2016,105,14,8.8,1
"01JAN2003","31DEC2003","PSA 106",2003,106,8.4,11,1
"01JAN2004","31DEC2004","PSA 106",2004,106,13,14,1
"01JAN2005","31DEC2005","PSA 106",2005,106,12,12,1
"01JAN2006","31DEC2006","PSA 106",2006,106,9.5,7.4,1
"01JAN2007","31DEC2007","PSA 106",2007,106,8.5,16,1
"01JAN2008","31DEC2008","PSA 106",2008,106,11,6.6,1
"01JAN2009","31DEC2009","PSA 106",2009,106,5.2,5.2,1
"01JAN2010","31DEC2010","PSA 106",2010,106,13,6.9,1
"01JAN2011","31DEC2011","PSA 106",2011,106,9.9,6.6,1
"01JAN2012","31DEC2012","PSA 106",2012,106,4.6,4.1,1
"01JAN2013","31DEC2013","PSA 106",2013,106,8.8,3.1,1
"01JAN2014","31DEC2014","PSA 106",2014,106,6.1,2.0,1
"01JAN2015","31DEC2015","PSA 106",2015,106,9.2,4.6,1
"01JAN2016","31DEC2016","PSA 106",2016,106,6.6,4.1,1
"01JAN2003","31DEC2003","PSA 107",2003,107,8.6,5.7,1
"01JAN2004","31DEC2004","PSA 107",2004,107,7.0,3.2,1
"01JAN2005","31DEC2005","PSA 107",2005,107,10,4.1,1
"01JAN2006","31DEC2006","PSA 107",2006,107,9.6,3.0,1
"01JAN2007","31DEC2007","PSA 107",2007,107,9.5,1.2,1
"01JAN2008","31DEC2008","PSA 107",2008,107,15,3.3,1
"01JAN2009","31DEC2009","PSA 107",2009,107,6.8,5.9,1
"01JAN2010","31DEC2010","PSA 107",2010,107,6.8,2.6,1
"01JAN2011","31DEC2011","PSA 107",2011,107,8.5,4.5,1
"01JAN2012","31DEC2012","PSA 107",2012,107,9.0,3.0,1
"01JAN2013","31DEC2013","PSA 107",2013,107,9.5,1.7,1
"01JAN2014","31DEC2014","PSA 107",2014,107,6.5,1.6,1
"01JAN2015","31DEC2015","PSA 107",2015,107,11,1.1,1
"01JAN2016","31DEC2016","PSA 107",2016,107,8.9,1.1,1
"01JAN2003","31DEC2003","PSA 108",2003,108,7.0,5.2,1
"01JAN2004","31DEC2004","PSA 108",2004,108,6.9,4.1,1
"01JAN2005","31DEC2005","PSA 108",2005,108,10,1.1,1
"01JAN2006","31DEC2006","PSA 108",2006,108,6.3,4.6,1
"01JAN2007","31DEC2007","PSA 108",2007,108,13,3.6,1
"01JAN2008","31DEC2008","PSA 108",2008,108,9.4,4.7,1
"01JAN2009","31DEC2009","PSA 108",2009,108,7.7,1.6,1
"01JAN2010","31DEC2010","PSA 108",2010,108,7.9,2.2,1
"01JAN2011","31DEC2011","PSA 108",2011,108,7.1,1.6,1
"01JAN2012","31DEC2012","PSA 108",2012,108,6.9,0.4,1
"01JAN2013","31DEC2013","PSA 108",2013,108,2.3,1.7,1
"01JAN2014","31DEC2014","PSA 108",2014,108,7.2,0.4,1
"01JAN2015","31DEC2015","PSA 108",2015,108,8.2,1.6,1
"01JAN2016","31DEC2016","PSA 108",2016,108,3.4,1.4,1
"01JAN2003","31DEC2003","PSA 201",2003,201,8.1,0.0,1
"01JAN2004","31DEC2004","PSA 201",2004,201,7.4,0.5,1
"01JAN2005","31DEC2005","PSA 201",2005,201,9.7,0.5,1
"01JAN2006","31DEC2006","PSA 201",2006,201,5.5,0.0,1
"01JAN2007","31DEC2007","PSA 201",2007,201,9.6,0.0,1
"01JAN2008","31DEC2008","PSA 201",2008,201,6.8,0.6,1
"01JAN2009","31DEC2009","PSA 201",2009,201,6.7,0.0,1
"01JAN2010","31DEC2010","PSA 201",2010,201,4.6,0.7,1
"01JAN2011","31DEC2011","PSA 201",2011,201,5.3,0.0,1
"01JAN2012","31DEC2012","PSA 201",2012,201,4.0,0.0,1
"01JAN2013","31DEC2013","PSA 201",2013,201,7.8,0.0,1
"01JAN2014","31DEC2014","PSA 201",2014,201,5.1,0.0,1
"01JAN2015","31DEC2015","PSA 201",2015,201,7.8,0.8,1
"01JAN2016","31DEC2016","PSA 201",2016,201,6.7,0.0,1
"01JAN2003","31DEC2003","PSA 202",2003,202,5.0,0.6,1
"01JAN2004","31DEC2004","PSA 202",2004,202,2.2,0.0,1
"01JAN2005","31DEC2005","PSA 202",2005,202,6.5,0.0,1
"01JAN2006","31DEC2006","PSA 202",2006,202,7.6,0.0,1
"01JAN2007","31DEC2007","PSA 202",2007,202,1.9,1.3,1
"01JAN2008","31DEC2008","PSA 202",2008,202,10,1.4,1
"01JAN2009","31DEC2009","PSA 202",2009,202,5.2,0.0,1
"01JAN2010","31DEC2010","PSA 202",2010,202,3.9,0.0,1
"01JAN2011","31DEC2011","PSA 202",2011,202,6.4,0.0,1
"01JAN2012","31DEC2012","PSA 202",2012,202,8.7,0.7,1
"01JAN2013","31DEC2013","PSA 202",2013,202,3.7,0.7,1
"01JAN2014","31DEC2014","PSA 202",2014,202,4.5,0.0,1
"01JAN2015","31DEC2015","PSA 202",2015,202,7.1,0.9,1
"01JAN2016","31DEC2016","PSA 202",2016,202,7.5,0.8,1
"01JAN2003","31DEC2003","PSA 203",2003,203,5.4,0.0,1
"01JAN2004","31DEC2004","PSA 203",2004,203,4.1,0.6,1
"01JAN2005","31DEC2005","PSA 203",2005,203,9.8,0.0,1
"01JAN2006","31DEC2006","PSA 203",2006,203,11,0.0,1
"01JAN2007","31DEC2007","PSA 203",2007,203,7.5,0.0,1
"01JAN2008","31DEC2008","PSA 203",2008,203,7.7,0.0,1
"01JAN2009","31DEC2009","PSA 203",2009,203,6.9,0.7,1
"01JAN2010","31DEC2010","PSA 203",2010,203,7.8,0.0,1
"01JAN2011","31DEC2011","PSA 203",2011,203,11,0.0,1
"01JAN2012","31DEC2012","PSA 203",2012,203,7.8,0.0,1
"01JAN2013","31DEC2013","PSA 203",2013,203,3.7,1.1,1
"01JAN2014","31DEC2014","PSA 203",2014,203,2.5,0.0,1
"01JAN2015","31DEC2015","PSA 203",2015,203,7.3,0.0,1
"01JAN2016","31DEC2016","PSA 203",2016,203,7.7,0.5,1
"01JAN2003","31DEC2003","PSA 204",2003,204,5.0,0.8,1
"01JAN2004","31DEC2004","PSA 204",2004,204,5.6,0.8,1
"01JAN2005","31DEC2005","PSA 204",2005,204,6.7,0.4,1
"01JAN2006","31DEC2006","PSA 204",2006,204,8.0,0.9,1
"01JAN2007","31DEC2007","PSA 204",2007,204,9.3,2.3,1
"01JAN2008","31DEC2008","PSA 204",2008,204,7.8,1.1,1
"01JAN2009","31DEC2009","PSA 204",2009,204,3.6,0.8,1
"01JAN2010","31DEC2010","PSA 204",2010,204,5.5,0.0,1
"01JAN2011","31DEC2011","PSA 204",2011,204,6.9,0.0,1
"01JAN2012","31DEC2012","PSA 204",2012,204,6.6,0.0,1
"01JAN2013","31DEC2013","PSA 204",2013,204,2.6,0.4,1
"01JAN2014","31DEC2014","PSA 204",2014,204,5.2,0.0,1
"01JAN2015","31DEC2015","PSA 204",2015,204,10,0.0,1
"01JAN2016","31DEC2016","PSA 204",2016,204,5.7,0.0,1
"01JAN2003","31DEC2003","PSA 205",2003,205,7.0,0.0,1
"01JAN2004","31DEC2004","PSA 205",2004,205,4.6,0.5,1
"01JAN2005","31DEC2005","PSA 205",2005,205,7.8,0.5,1
"01JAN2006","31DEC2006","PSA 205",2006,205,8.0,0.0,1
"01JAN2007","31DEC2007","PSA 205",2007,205,7.1,1.0,1
"01JAN2008","31DEC2008","PSA 205",2008,205,5.5,0.5,1
"01JAN2009","31DEC2009","PSA 205",2009,205,9.6,0.0,1
"01JAN2010","31DEC2010","PSA 205",2010,205,6.0,0.6,1
"01JAN2011","31DEC2011","PSA 205",2011,205,4.7,0.0,1
"01JAN2012","31DEC2012","PSA 205",2012,205,6.9,1.1,1
"01JAN2013","31DEC2013","PSA 205",2013,205,8.0,0.0,1
"01JAN2014","31DEC2014","PSA 205",2014,205,6.0,0.0,1
"01JAN2015","31DEC2015","PSA 205",2015,205,7.8,0.0,1
"01JAN2016","31DEC2016","PSA 205",2016,205,8.6,0.0,1
