"start_date","end_date","geo2010","timeframe","geo2010_nf","Pct_births_low_wt","Pct_births_teen","ucounty","indc"
"01JAN2003","31DEC2003","DC Tract 1",2003,11001000100,4.7,0.0,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 1",2004,11001000100,14,0.0,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 1",2005,11001000100,7.6,0.0,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 1",2006,11001000100,13,0.0,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 1",2007,11001000100,5.1,0.0,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 1",2008,11001000100,3.6,0.0,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 1",2009,11001000100,4.3,0.0,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 1",2010,11001000100,0.0,0.0,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 1",2011,11001000100,6.8,0.0,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 1",2012,11001000100,8.1,0.0,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 1",2013,11001000100,13,0.0,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 1",2014,11001000100,8.1,0.0,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 1",2015,11001000100,2.0,0.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 1",2016,11001000100,3.4,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 2.01",2003,11001000201,".",".","District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 2.01",2004,11001000201,".",".","District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 2.01",2005,11001000201,0.0,0.0,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 2.01",2006,11001000201,".",".","District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 2.01",2007,11001000201,".",".","District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 2.01",2008,11001000201,".",".","District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 2.01",2009,11001000201,0.0,0.0,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 2.01",2010,11001000201,0.0,0.0,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 2.01",2011,11001000201,".",".","District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 2.01",2012,11001000201,0.0,0.0,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 2.01",2013,11001000201,0.0,0.0,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 2.01",2014,11001000201,".",".","District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 2.01",2015,11001000201,".",".","District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 2.01",2016,11001000201,0.0,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 2.02",2003,11001000202,11,0.0,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 2.02",2004,11001000202,9.8,0.0,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 2.02",2005,11001000202,0.0,0.0,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 2.02",2006,11001000202,2.7,0.0,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 2.02",2007,11001000202,0.0,0.0,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 2.02",2008,11001000202,4.3,0.0,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 2.02",2009,11001000202,2.4,0.0,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 2.02",2010,11001000202,0.0,0.0,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 2.02",2011,11001000202,2.5,0.0,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 2.02",2012,11001000202,7.5,0.0,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 2.02",2013,11001000202,10,0.0,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 2.02",2014,11001000202,0.0,0.0,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 2.02",2015,11001000202,7.1,0.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 2.02",2016,11001000202,5.0,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 3",2003,11001000300,1.5,1.5,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 3",2004,11001000300,4.1,0.0,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 3",2005,11001000300,6.5,0.0,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 3",2006,11001000300,7.8,1.6,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 3",2007,11001000300,2.4,1.2,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 3",2008,11001000300,3.2,1.1,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 3",2009,11001000300,4.7,0.0,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 3",2010,11001000300,7.8,0.0,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 3",2011,11001000300,8.2,0.0,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 3",2012,11001000300,7.1,0.0,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 3",2013,11001000300,2.1,1.1,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 3",2014,11001000300,9.4,0.0,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 3",2015,11001000300,13,0.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 3",2016,11001000300,7.0,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 4",2003,11001000400,6.7,0.0,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 4",2004,11001000400,4.3,0.0,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 4",2005,11001000400,0.0,5.6,"District of Columbia",1
