"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","HEALTH_TR10",,,"GEO2010_nf",2,11,5,"Unformatted geography",,0,0,,0,0,0,55,2492,"V9","21MAR18:21:09:08","21MAR18:21:09:08",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","HEALTH_TR10",,,"Geo2010",2,11,3,"Full census tract ID (2010): ssccctttttt","$GEO10A",0,0,,0,0,0,40,2492,"V9","21MAR18:21:09:08","21MAR18:21:09:08",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","HEALTH_TR10",,,"Pct_births_low_wt",1,8,6,"% low weight births (under 5.5 lbs)","PROFNUM",0,0,,0,0,0,16,2492,"V9","21MAR18:21:09:08","21MAR18:21:09:08",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
"WORK","HEALTH_TR10",,,"Pct_births_teen",1,8,7,"% births to teen mothers","PROFNUM",0,0,,0,0,0,24,2492,"V9","21MAR18:21:09:08","21MAR18:21:09:08",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","HEALTH_TR10",,,"end_date",1,8,2,"End Date","DATE",9,0,,0,0,1,8,2492,"V9","21MAR18:21:09:08","21MAR18:21:09:08",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","HEALTH_TR10",,,"indc",1,8,9,"Flag for Census tract in Washington DC",,0,0,,0,0,1,32,2492,"V9","21MAR18:21:09:08","21MAR18:21:09:08",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","HEALTH_TR10",,,"start_date",1,8,1,"Start Date","DATE",9,0,,0,0,1,0,2492,"V9","21MAR18:21:09:08","21MAR18:21:09:08",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","HEALTH_TR10",,,"timeframe",2,4,4,"Year of Data",,0,0,,0,0,0,51,2492,"V9","21MAR18:21:09:08","21MAR18:21:09:08",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","HEALTH_TR10",,,"ucounty",2,11,8,,"$PROFILE_CNTY",0,0,,0,0,0,66,2492,"V9","21MAR18:21:09:08","21MAR18:21:09:08",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."

