"timeframe","anc2012","NumOccupiedHsgUnits","NumOccupiedHsgUnits_m","anc2012_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m","NumMrtgOrigHomePurchPerUnit","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","permits","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","MedianMrtgInc1_4m_adj","indc"
"2014-18","ANC 1A",9988,263,"1A","01JAN2014","31DEC2018",".",5.8,35,2.1,2.6,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 1B",10706,351,"1B","01JAN2014","31DEC2018",".",5.6,38,2.8,3.2,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 1C",10023,312,"1C","01JAN2014","31DEC2018",".",3.2,37,2.0,2.9,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 1D",5073,207,"1D","01JAN2014","31DEC2018",".",2.4,35,2.5,3.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 2A",6379,312,"2A","01JAN2014","31DEC2018",".",7.8,32,3.5,3.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 2B",11624,372,"2B","01JAN2014","31DEC2018",".",4.9,36,2.5,2.8,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 2C",3371,195,"2C","01JAN2014","31DEC2018",".",7.7,26,3.9,3.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 2D",1398,108,"2D","01JAN2014","31DEC2018",".",4.2,52,4.9,5.1,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 2E",4794,250,"2E","01JAN2014","31DEC2018",".",7.0,58,5.4,4.0,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 2F",10205,313,"2F","01JAN2014","31DEC2018",".",5.0,31,2.7,3.1,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 3B",5850,226,"3B","01JAN2014","31DEC2018",".",4.6,43,3.8,3.7,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 3C",10971,317,"3C","01JAN2014","31DEC2018",".",8.1,45,3.3,2.7,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 3D",7126,221,"3D","01JAN2014","31DEC2018",".",6.4,75,5.3,2.9,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 3E",4092,111,"3E","01JAN2014","31DEC2018",".",1.4,72,4.0,3.7,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 3F",6935,250,"3F","01JAN2014","31DEC2018",".",4.8,43,3.7,3.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 3G",6066,150,"3G","01JAN2014","31DEC2018",".",2.6,68,3.1,3.0,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 4A",7360,200,"4A","01JAN2014","31DEC2018",".",3.5,45,1.9,2.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 4B",7911,224,"4B","01JAN2014","31DEC2018",".",4.2,67,3.1,2.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 4C",7841,218,"4C","01JAN2014","31DEC2018",".",4.2,55,2.4,2.6,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 4D",4662,234,"4D","01JAN2014","31DEC2018",".",7.8,61,4.7,3.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 5A",6444,220,"5A","01JAN2014","31DEC2018",".",7.4,48,2.8,3.0,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 5B",3956,161,"5B","01JAN2014","31DEC2018",".",4.8,75,4.8,3.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 5C",6715,178,"5C","01JAN2014","31DEC2018",".",3.1,55,2.2,3.1,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 5D",6979,261,"5D","01JAN2014","31DEC2018",".",7.3,26,2.5,2.8,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 5E",9969,246,"5E","01JAN2014","31DEC2018",".",5.9,46,2.3,2.6,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 6A",7860,220,"6A","01JAN2014","31DEC2018",".",11,54,3.4,2.4,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 6B",9485,231,"6B","01JAN2014","31DEC2018",".",6.3,56,2.8,2.2,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 6C",7206,261,"6C","01JAN2014","31DEC2018",".",9.9,36,3.5,2.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 6D",10924,306,"6D","01JAN2014","31DEC2018",".",5.3,33,2.2,2.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 6E",8854,238,"6E","01JAN2014","31DEC2018",".",4.7,21,2.2,2.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 7B",7126,253,"7B","01JAN2014","31DEC2018",".",8.1,43,3.4,3.7,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 7C",5555,209,"7C","01JAN2014","31DEC2018",".",7.7,45,3.5,3.8,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 7D",6697,196,"7D","01JAN2014","31DEC2018",".",3.7,35,2.0,2.7,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 7E",5767,206,"7E","01JAN2014","31DEC2018",".",9.5,47,3.2,2.9,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 7F",5377,204,"7F","01JAN2014","31DEC2018",".",4.6,20,2.5,3.8,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 8A",6747,216,"8A","01JAN2014","31DEC2018",".",7.5,30,2.5,2.8,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 8B",5559,208,"8B","01JAN2014","31DEC2018",".",7.3,19,2.4,3.0,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 8C",5639,212,"8C","01JAN2014","31DEC2018",".",6.2,21,2.2,2.8,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 8D",6353,215,"8D","01JAN2014","31DEC2018",".",7.2,16,2.4,2.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","ANC 8E",5732,205,"8E","01JAN2014","31DEC2018",".",7.7,24,2.6,3.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 1A",9958,244,"1A","01JAN2010","31DEC2014",".",3.0,33,1.5,2.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 1B",10148,277,"1B","01JAN2010","31DEC2014",".",4.0,38,2.0,3.0,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 1C",9859,289,"1C","01JAN2010","31DEC2014",".",2.6,34,2.2,2.8,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 1D",4911,218,"1D","01JAN2010","31DEC2014",".",3.3,31,3.0,4.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 2A",6983,395,"2A","01JAN2010","31DEC2014",".",8.7,28,4.1,3.6,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 2B",11721,371,"2B","01JAN2010","31DEC2014",".",4.2,35,2.3,2.6,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 2C",3034,153,"2C","01JAN2010","31DEC2014",".",8.4,26,3.9,3.8,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 2D",1436,110,"2D","01JAN2010","31DEC2014",".",22,50,9.1,5.6,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 2E",5041,262,"2E","01JAN2010","31DEC2014",".",7.3,58,4.9,4.7,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 2F",10075,298,"2F","01JAN2010","31DEC2014",".",5.6,30,2.7,2.9,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 3B",5960,230,"3B","01JAN2010","31DEC2014",".",5.4,41,4.1,3.6,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 3C",11030,365,"3C","01JAN2010","31DEC2014",".",6.1,42,3.4,2.6,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 3D",7289,225,"3D","01JAN2010","31DEC2014",".",3.3,72,3.8,2.4,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 3E",4099,144,"3E","01JAN2010","31DEC2014",".",0.9,71,3.6,4.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","ANC 3F",6921,295,"3F","01JAN2010","31DEC2014",".",5.6,42,4.3,3.2,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
