"timeframe","cluster2017","NumOccupiedHsgUnits","NumOccupiedHsgUnits_m","cluster2017_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m","NumMrtgOrigHomePurchPerUnit","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","permits","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","MedianMrtgInc1_4m_adj","indc"
"2014-18","Cluster 01",10878,322,"Cluster 1","01JAN2014","31DEC2018",".",3.2,39,1.9,2.7,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 02",20290,412,"Cluster 2","01JAN2014","31DEC2018",".",4.9,34,1.5,1.9,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 03",5370,252,"Cluster 3","01JAN2014","31DEC2018",".",5.5,47,4.6,4.4,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 04",4623,245,"Cluster 4","01JAN2014","31DEC2018",".",6.8,59,5.5,4.1,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 05",6177,322,"Cluster 5","01JAN2014","31DEC2018",".",8.1,35,3.7,3.8,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 06",12603,374,"Cluster 6","01JAN2014","31DEC2018",".",4.9,34,2.3,2.6,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 07",11435,314,"Cluster 7","01JAN2014","31DEC2018",".",4.3,30,2.3,2.7,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 08",11071,308,"Cluster 8","01JAN2014","31DEC2018",".",6.3,22,2.2,2.1,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 09",7777,274,"Cluster 9","01JAN2014","31DEC2018",".",4.1,39,2.6,3.2,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 10",6134,151,"Cluster 10","01JAN2014","31DEC2018",".",2.6,68,3.0,3.0,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 11",4911,126,"Cluster 11","01JAN2014","31DEC2018",".",2.7,70,4.5,3.4,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 12",5845,239,"Cluster 12","01JAN2014","31DEC2018",".",4.7,40,3.9,3.9,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 13",5063,175,"Cluster 13","01JAN2014","31DEC2018",".",4.6,78,5.1,3.1,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 14",10767,308,"Cluster 14","01JAN2014","31DEC2018",".",6.3,50,3.3,2.9,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 15",8282,276,"Cluster 15","01JAN2014","31DEC2018",".",8.0,45,3.7,2.9,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 16",1487,81,"Cluster 16","01JAN2014","31DEC2018",".",24,92,21,5.0,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 17",8904,239,"Cluster 17","01JAN2014","31DEC2018",".",3.9,47,2.0,2.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 18",14242,334,"Cluster 18","01JAN2014","31DEC2018",".",4.7,57,2.0,2.0,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 19",5450,201,"Cluster 19","01JAN2014","31DEC2018",".",5.4,53,3.2,3.2,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 20",4563,167,"Cluster 20","01JAN2014","31DEC2018",".",2.2,68,2.9,3.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 21",10795,262,"Cluster 21","01JAN2014","31DEC2018",".",7.2,44,2.2,2.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 22",5345,158,"Cluster 22","01JAN2014","31DEC2018",".",3.6,59,2.6,3.1,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Cluster 23",7078,262,"Cluster 23","01JAN2014","31DEC2018",".",7.3,26,2.5,2.7,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
