"timeframe","Cluster_tr2000","NumOccupiedHsgUnits","cluster_tr2000_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
"2012-16","Cluster 1",10883.00,01,"01JAN2011","31DEC2015",".",4.6031,36.3962,2.1742,2.74442,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 2",20528.00,02,"01JAN2011","31DEC2015",".",3.9033,32.2389,1.3293,1.89826,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 3",5976.00,03,"01JAN2011","31DEC2015",".",3.3256,44.5448,2.4746,3.51314,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 4",6586.00,04,"01JAN2011","31DEC2015",".",4.7768,53.6896,3.7571,3.37072,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 5",6199.27,05,"01JAN2011","31DEC2015",".",8.6607,30.6863,3.9756,4.43307,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 6",11045.41,06,"01JAN2011","31DEC2015",".",3.3307,32.9364,1.8826,2.90111,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 7",13976.00,07,"01JAN2011","31DEC2015",".",6.5463,28.4989,2.5911,2.41331,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 8",8404.13,08,"01JAN2011","31DEC2015",".",5.9659,20.5203,2.1370,2.05983,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 9",7120.00,09,"01JAN2011","31DEC2015",".",4.2352,40.2949,2.7077,3.37549,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 10",5020.53,10,"01JAN2011","31DEC2015",".",4.1297,67.6371,3.9792,2.71977,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 11",4961.47,11,"01JAN2011","31DEC2015",".",0.0008,74.5195,1.9028,3.10361,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 12",8791.31,12,"01JAN2011","31DEC2015",".",7.2731,37.0735,4.4025,2.82610,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 13",6559.67,13,"01JAN2011","31DEC2015",".",6.3662,78.4752,5.4902,2.83302,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 14",7615.33,14,"01JAN2011","31DEC2015",".",6.0273,41.4465,3.5547,3.40146,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 15",6523.69,15,"01JAN2011","31DEC2015",".",6.4084,49.3855,3.7807,3.06787,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 16",1550.00,16,"01JAN2011","31DEC2015",".",29.3233,93.9355,25.1821,2.18426,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 17",8390.88,17,"01JAN2011","31DEC2015",".",4.1313,45.1197,2.1225,2.36095,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 18",16059.00,18,"01JAN2011","31DEC2015",".",3.6396,56.3111,1.7037,1.89637,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 19",5201.00,19,"01JAN2011","31DEC2015",".",1.9822,44.8568,1.9361,3.01017,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","Cluster 20",3859.00,20,"01JAN2011","31DEC2015",".",5.1975,76.3669,5.7942,3.75050,".",".",".",".",".",".",".",".",".",".",".",".",1
