"timeframe","Psa2012","NumOccupiedHsgUnits","NumOccupiedHsgUnits_m","psa2012_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
"2012-16","PSA 101",595,81,101,"01JAN2012","31DEC2016",".",8.7,26,11,8.8,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 102",3469,181,102,"01JAN2012","31DEC2016",".",7.1,23,3.7,3.3,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 103",3388,152,103,"01JAN2012","31DEC2016",".",3.9,16,2.5,2.8,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 104",6355,194,104,"01JAN2012","31DEC2016",".",5.9,39,2.7,2.8,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 105",7125,264,105,"01JAN2012","31DEC2016",".",4.2,40,2.7,3.4,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 106",4951,150,106,"01JAN2012","31DEC2016",".",3.7,30,2.3,2.8,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 107",7410,209,107,"01JAN2012","31DEC2016",".",7.4,54,3.3,2.3,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 108",5598,157,108,"01JAN2012","31DEC2016",".",5.0,64,3.2,2.8,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 201",6006,176,201,"01JAN2012","31DEC2016",".",3.5,68,3.5,2.6,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 202",4948,149,202,"01JAN2012","31DEC2016",".",1.3,70,3.4,3.2,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 203",9749,422,203,"01JAN2012","31DEC2016",".",7.2,43,4.4,2.6,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 204",13731,347,204,"01JAN2012","31DEC2016",".",5.9,41,2.5,2.3,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 205",6833,181,205,"01JAN2012","31DEC2016",".",6.2,77,5.2,2.8,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 206",4792,242,206,"01JAN2012","31DEC2016",".",6.4,56,5.1,4.1,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 207",6772,354,207,"01JAN2012","31DEC2016",".",8.2,29,3.6,4.0,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 208",11054,390,208,"01JAN2012","31DEC2016",".",6.4,35,3.1,3.2,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 301",7138,240,301,"01JAN2012","31DEC2016",".",4.7,36,3.4,3.3,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 302",5373,181,302,"01JAN2012","31DEC2016",".",4.8,35,2.6,3.1,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 303",9418,288,303,"01JAN2012","31DEC2016",".",3.7,34,2.2,3.1,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 304",5356,214,304,"01JAN2012","31DEC2016",".",5.2,28,3.3,4.3,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 305",3275,113,305,"01JAN2012","31DEC2016",".",0.7,51,1.5,4.6,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 306",1236,109,306,"01JAN2012","31DEC2016",".",5.6,39,5.8,8.8,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 307",6916,215,307,"01JAN2012","31DEC2016",".",6.0,26,2.8,3.0,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 308",3714,165,308,"01JAN2012","31DEC2016",".",3.7,25,2.8,3.7,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 401",4641,140,401,"01JAN2012","31DEC2016",".",4.1,63,3.1,3.2,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 402",4901,187,402,"01JAN2012","31DEC2016",".",5.0,40,3.0,2.8,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 403",5499,205,403,"01JAN2012","31DEC2016",".",3.6,57,2.7,3.5,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 404",4937,169,404,"01JAN2012","31DEC2016",".",0.5,48,1.4,3.6,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 405",7480,226,405,"01JAN2012","31DEC2016",".",6.0,49,2.5,2.5,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 406",2889,148,406,"01JAN2012","31DEC2016",".",3.4,72,4.8,3.8,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 407",4938,174,407,"01JAN2012","31DEC2016",".",7.5,63,4.8,2.8,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 408",5179,187,408,"01JAN2012","31DEC2016",".",0.0,31,0.7,4.3,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 409",4114,166,409,"01JAN2012","31DEC2016",".",6.2,34,3.3,3.4,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 501",3774,156,501,"01JAN2012","31DEC2016",".",3.8,54,3.0,4.4,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 502",5141,200,502,"01JAN2012","31DEC2016",".",7.6,39,3.2,3.3,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 503",4564,139,503,"01JAN2012","31DEC2016",".",5.8,63,3.9,3.0,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 504",2858,112,504,"01JAN2012","31DEC2016",".",1.7,74,4.2,4.5,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 505",2577,103,505,"01JAN2012","31DEC2016",".",3.1,33,3.2,3.6,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 506",3372,173,506,"01JAN2012","31DEC2016",".",9.3,39,4.5,4.3,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 507",5472,222,507,"01JAN2012","31DEC2016",".",13,29,3.4,2.7,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 601",3400,125,601,"01JAN2012","31DEC2016",".",3.8,28,2.8,2.9,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 602",3976,184,602,"01JAN2012","31DEC2016",".",5.5,39,3.3,4.3,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 603",5018,205,603,"01JAN2012","31DEC2016",".",5.4,19,2.7,3.6,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 604",5512,197,604,"01JAN2012","31DEC2016",".",7.7,37,2.7,2.9,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 605",3855,163,605,"01JAN2012","31DEC2016",".",7.8,51,4.5,3.3,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 606",3049,230,606,"01JAN2012","31DEC2016",".",13,36,6.7,5.9,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 607",2708,145,607,"01JAN2012","31DEC2016",".",11,35,4.6,4.6,"X","X","X","X","X","X","X","X","X","X","X","X",1
"2012-16","PSA 608",3311,168,608,"01JAN2012","31DEC2016",".",9.7,47,4.9,4.7,"X","X","X","X","X","X","X","X","X","X","X","X",1
