"timeframe","Geo2010","NumOccupiedHsgUnits","geo2010_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
"2012-16","DC Tract 1",2454.00,11001000100,"01JAN2011","31DEC2015",".",9.2664,52.119,8.160,7.047,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 2.01",3.00,11001000201,"01JAN2011","31DEC2015",".","I",100.000,".",0.000,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 2.02",1585.00,11001000202,"01JAN2011","31DEC2015",".",5.8615,66.562,8.955,4.960,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 3",2544.00,11001000300,"01JAN2011","31DEC2015",".",0.0000,47.131,1.264,4.210,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 4",645.00,11001000400,"01JAN2011","31DEC2015",".",7.6923,64.651,11.955,8.131,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 5.01",1971.00,11001000501,"01JAN2011","31DEC2015",".",6.7894,17.808,5.807,6.385,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 5.02",1559.00,11001000502,"01JAN2011","31DEC2015",".",7.7289,50.225,7.526,4.158,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 6",2170.00,11001000600,"01JAN2011","31DEC2015",".",2.1164,74.424,3.488,5.782,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 7.01",3370.00,11001000701,"01JAN2011","31DEC2015",".",4.2745,49.496,4.860,5.130,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 7.02",2147.00,11001000702,"01JAN2011","31DEC2015",".",9.5372,25.338,7.216,6.300,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 8.01",2883.00,11001000801,"01JAN2011","31DEC2015",".",0.0000,80.506,3.025,5.223,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 8.02",1342.00,11001000802,"01JAN2011","31DEC2015",".",6.9307,64.978,8.398,7.113,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 9.01",1580.00,11001000901,"01JAN2011","31DEC2015",".",17.1348,81.329,18.609,2.870,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 9.02",878.00,11001000902,"01JAN2011","31DEC2015",".",0.0000,87.585,11.009,4.846,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 10.01",2823.00,11001001001,"01JAN2011","31DEC2015",".",0.0000,77.081,2.628,3.936,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 10.02",1975.00,11001001002,"01JAN2011","31DEC2015",".",3.5013,42.785,5.701,7.167,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 11",2138.00,11001001100,"01JAN2011","31DEC2015",".",0.0000,71.141,2.755,5.071,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 12",2512.00,11001001200,"01JAN2011","31DEC2015",".",3.5312,48.885,5.393,4.995,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 13.01",1920.00,11001001301,"01JAN2011","31DEC2015",".",6.8606,34.948,6.207,4.202,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 13.02",4538.00,11001001302,"01JAN2011","31DEC2015",".",8.9530,31.203,7.070,4.699,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 14.01",1455.00,11001001401,"01JAN2011","31DEC2015",".",4.8673,55.670,6.752,4.019,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 14.02",1537.00,11001001402,"01JAN2011","31DEC2015",".",4.8684,52.960,6.120,4.408,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 15",2029.00,11001001500,"01JAN2011","31DEC2015",".",0.0000,87.334,6.615,4.718,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 16",1550.00,11001001600,"01JAN2011","31DEC2015",".",29.3233,93.935,25.182,2.184,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 17.02",1388.00,11001001702,"01JAN2011","31DEC2015",".",0.0000,62.032,2.277,7.641,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 18.03",1580.00,11001001803,"01JAN2011","31DEC2015",".",4.4043,16.203,4.170,3.525,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 18.04",2105.00,11001001804,"01JAN2011","31DEC2015",".",2.8076,22.708,3.154,5.158,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 19.01",1408.00,11001001901,"01JAN2011","31DEC2015",".",9.8121,69.318,10.371,3.483,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 19.02",816.00,11001001902,"01JAN2011","31DEC2015",".",16.9399,81.373,18.041,5.851,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 20.01",1019.00,11001002001,"01JAN2011","31DEC2015",".",4.6816,50.049,5.011,5.268,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 20.02",1350.00,11001002002,"01JAN2011","31DEC2015",".",7.8505,63.481,8.828,6.441,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 21.01",2091.00,11001002101,"01JAN2011","31DEC2015",".",0.0000,56.719,1.878,6.704,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 21.02",2116.00,11001002102,"01JAN2011","31DEC2015",".",5.4198,57.940,5.457,5.561,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 22.01",1121.00,11001002201,"01JAN2011","31DEC2015",".",0.0000,76.896,4.633,3.739,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 22.02",1286.00,11001002202,"01JAN2011","31DEC2015",".",8.3744,42.146,8.367,6.056,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 23.01",1153.00,11001002301,"01JAN2011","31DEC2015",".",7.5988,73.634,11.610,5.375,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 23.02",779.00,11001002302,"01JAN2011","31DEC2015",".",18.8875,19.512,8.625,3.469,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 24",1378.00,11001002400,"01JAN2011","31DEC2015",".",9.6948,63.498,8.913,6.298,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 25.01",1095.00,11001002501,"01JAN2011","31DEC2015",".",0.0000,45.936,2.027,6.671,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 25.02",2467.00,11001002502,"01JAN2011","31DEC2015",".",0.0000,36.887,1.092,5.994,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 26",983.00,11001002600,"01JAN2011","31DEC2015",".",0.0000,73.550,4.615,5.376,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 27.01",2780.00,11001002701,"01JAN2011","31DEC2015",".",0.0000,21.727,0.781,6.411,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 27.02",2394.00,11001002702,"01JAN2011","31DEC2015",".",0.0000,41.061,1.205,5.404,".",".",".",".",".",".",".",".",".",".",".",".",1
