"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","HOUSING_TR10",,,"Geo2010",2,11,2,"Census tract (2010)","$GEO10A",0,0,,0,0,0,183,30746,"V9","20MAR18:19:55:39","20MAR18:19:55:39",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","HOUSING_TR10",,,"MedianMrtgInc1_4m_adj",1,8,14,"Median borrower income","PROFNUM",0,0,,0,0,0,80,30746,"V9","20MAR18:19:55:39","20MAR18:19:55:39",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",13
"WORK","HOUSING_TR10",,,"NumMrtgOrigHomePurchPerUnit",1,8,15,"Loans per 1,000 housing units","PROFNUM",0,0,,0,0,0,88,30746,"V9","20MAR18:19:55:39","20MAR18:19:55:39",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",12
"WORK","HOUSING_TR10",,,"NumOccupiedHsgUnits",1,8,3,"Occupied housing units","PROFNUM",0,0,,0,0,0,0,30746,"V9","20MAR18:19:55:39","20MAR18:19:55:39",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","HOUSING_TR10",,,"PctAnnChgRMPriceSf_10yr",1,8,23,"% annual change median price past 10 years","PROFNUM",0,0,,0,0,0,152,30746,"V9","20MAR18:19:55:39","20MAR18:19:55:39",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",9
"WORK","HOUSING_TR10",,,"PctAnnChgRMPriceSf_1yr",1,8,21,"% annual change median price past 1 year","PROFNUM",0,0,,0,0,0,136,30746,"V9","20MAR18:19:55:39","20MAR18:19:55:39",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",11
"WORK","HOUSING_TR10",,,"PctAnnChgRMPriceSf_5yr",1,8,22,"% annual change median price past 5 years","PROFNUM",0,0,,0,0,0,144,30746,"V9","20MAR18:19:55:39","20MAR18:19:55:39",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",10
"WORK","HOUSING_TR10",,,"PctOwnerOccupiedHU_m",1,8,11,"Homeownership rate (%) MOE","PROFNUM",0,0,,0,0,0,56,30746,"V9","20MAR18:19:55:39","20MAR18:19:55:39",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",6
"WORK","HOUSING_TR10",,,"PctOwnerOccupiedHsgUnits",1,8,9,"Homeownership rate (%)","PROFNUM",0,0,,0,0,0,40,30746,"V9","20MAR18:19:55:39","20MAR18:19:55:39",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",5
"WORK","HOUSING_TR10",,,"PctSameHouse5YearsAgo",1,8,7,"% same house 5 years ago","PROFNUM",0,0,,0,0,0,24,30746,"V9","20MAR18:19:55:39","20MAR18:19:55:39",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",2
