"timeframe","ward2012","NumOccupiedHsgUnits","NumOccupiedHsgUnits_m","ward2012_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m","NumMrtgOrigHomePurchPerUnit","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","permits","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","MedianMrtgInc1_4m_adj","indc"
"2014-18","Ward 1",35791,577,1,"01JAN2014","31DEC2018",".",4.5,37,1.2,1.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Ward 2",37771,668,2,"01JAN2014","31DEC2018",".",5.9,36,1.4,1.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Ward 3",37891,535,3,"01JAN2014","31DEC2018",".",5.8,54,1.7,1.4,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Ward 4",30924,451,4,"01JAN2014","31DEC2018",".",4.4,59,1.3,1.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Ward 5",34064,484,5,"01JAN2014","31DEC2018",".",6.1,47,1.2,1.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Ward 6",44328,566,6,"01JAN2014","31DEC2018",".",6.9,40,1.2,1.1,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Ward 7",30522,480,7,"01JAN2014","31DEC2018",".",6.5,38,1.3,1.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2014-18","Ward 8",30031,473,8,"01JAN2014","31DEC2018",".",7.2,22,1.1,1.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","Ward 1",34876,516,1,"01JAN2010","31DEC2014",".",3.2,35,1.0,1.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","Ward 2",38291,697,2,"01JAN2010","31DEC2014",".",6.8,35,1.5,1.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","Ward 3",38155,602,3,"01JAN2010","31DEC2014",".",5.2,52,1.8,1.3,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","Ward 4",30277,446,4,"01JAN2010","31DEC2014",".",6.9,59,1.7,1.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","Ward 5",31001,482,5,"01JAN2010","31DEC2014",".",9.1,47,1.6,1.4,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","Ward 6",38682,526,6,"01JAN2010","31DEC2014",".",4.7,43,1.0,1.2,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","Ward 7",27837,550,7,"01JAN2010","31DEC2014",".",8.5,39,1.5,1.5,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
"2010-14","Ward 8",28295,494,8,"01JAN2010","31DEC2014",".",8.0,21,1.2,1.2,"X","X",".","X","X","X","X","X",".","X","X","X","X",1
2010,"Ward 1",34095,".",1,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2010,"Ward 2",39453,".",2,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2010,"Ward 3",38853,".",3,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2010,"Ward 4",29326,".",4,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2010,"Ward 5",30605,".",5,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2010,"Ward 6",37704,".",6,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2010,"Ward 7",28549,".",7,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2010,"Ward 8",28122,".",8,"01JAN2010","31DEC2010",".",".",".",".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2000,"Ward 1",30536,".",1,"01JAN2000","31DEC2000",42,4.1,29,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2000,"Ward 2",34001,".",2,"01JAN2000","31DEC2000",30,3.5,32,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2000,"Ward 3",37886,".",3,"01JAN2000","31DEC2000",44,2.2,50,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2000,"Ward 4",29195,".",4,"01JAN2000","31DEC2000",62,6.7,61,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2000,"Ward 5",28110,".",5,"01JAN2000","31DEC2000",58,8.9,49,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2000,"Ward 6",34034,".",6,"01JAN2000","31DEC2000",50,5.2,40,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2000,"Ward 7",28086,".",7,"01JAN2000","31DEC2000",60,8.9,42,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
2000,"Ward 8",26490,".",8,"01JAN2000","31DEC2000",52,11,22,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
1990,"Ward 1",29716,".",1,"01JAN1990","31DEC1990",48,8.0,28,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
1990,"Ward 2",30593,".",2,"01JAN1990","31DEC1990",34,9.1,30,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
1990,"Ward 3",36955,".",3,"01JAN1990","31DEC1990",45,4.7,47,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
1990,"Ward 4",29829,".",4,"01JAN1990","31DEC1990",66,4.9,60,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
1990,"Ward 5",30513,".",5,"01JAN1990","31DEC1990",63,6.1,46,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
1990,"Ward 6",32714,".",6,"01JAN1990","31DEC1990",51,9.2,39,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
1990,"Ward 7",30062,".",7,"01JAN1990","31DEC1990",65,6.2,41,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
1990,"Ward 8",29253,".",8,"01JAN1990","31DEC1990",51,12,18,".",".","X","X",".","X","X","X","X","X",".","X","X","X","X",1
1995,"Ward 1","X",".",1,"01JAN1995","31DEC1995","X","X","X","X","X",113000,319,".",".",11,111,4.4,44,".",".",".",".",".",1
1996,"Ward 1","X",".",1,"01JAN1996","31DEC1996","X","X","X","X","X",110750,338,".",".",15,147,4.6,46,".",".",".",".",".",1
1997,"Ward 1","X",".",1,"01JAN1997","31DEC1997","X","X","X","X","X",120000,343,62739.87,20,17,172,5.8,58,".",".",".",".",".",1
1998,"Ward 1","X",".",1,"01JAN1998","31DEC1998","X","X","X","X","X",128125,546,59838.12,30,20,201,9.1,92,".",".",".",".",".",1
1999,"Ward 1","X",".",1,"01JAN1999","31DEC1999","X","X","X","X","X",125000,561,60439.15,38,20,203,9.7,98,".",".",".",".",".",1
2000,"Ward 1","X",".",1,"01JAN2000","31DEC2000","X","X","X","X","X",154500,465,72468.82,43,18,178,5.4,54,".",".",".",".",".",1
2001,"Ward 1","X",".",1,"01JAN2001","31DEC2001","X","X","X","X","X",210000,535,79163.15,47,12,125,4.4,44,".",".",".",".",".",1
2002,"Ward 1","X",".",1,"01JAN2002","31DEC2002","X","X","X","X","X",275000,481,82514.63,49,12,124,2.3,24,".",".",".",".",".",1
2003,"Ward 1","X",".",1,"01JAN2003","31DEC2003","X","X","X","X","X",310000,456,86432.44,48,11,112,0.6,6.0,".",".",".",".",".",1
2004,"Ward 1","X",".",1,"01JAN2004","31DEC2004","X","X","X","X","X",375000,506,98696.30,51,8.1,88,0.8,9.0,".",".",".",".",".",1
2005,"Ward 1","X",".",1,"01JAN2005","31DEC2005","X","X","X","X","X",500000,426,106834.13,67,5.7,65,1.0,11,".",".",".",".",".",1
2006,"Ward 1","X",".",1,"01JAN2006","31DEC2006","X","X","X","X","X",543750,277,112376.46,63,8.5,106,1.0,12,".",".",".",".",".",1
2007,"Ward 1","X",".",1,"01JAN2007","31DEC2007","X","X","X","X","X",567500,236,111412.03,51,11,142,3.5,45,".",".",".",".",".",1
2008,"Ward 1","X",".",1,"01JAN2008","31DEC2008","X","X","X","X","X",587000,171,114115.50,29,16,221,5.0,68,".",".",".",".",".",1
