"timeframe","Zip","NumOccupiedHsgUnits","zip_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
"2012-16","ZIP 20001",19213,20001,"01JAN2011","31DEC2015",".",4.2,33,1.3,1.7,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20002",24720,20002,"01JAN2011","31DEC2015",".",8.8,42,1.6,1.4,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20003",12042,20003,"01JAN2011","31DEC2015",".",5.1,47,2.0,1.8,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20004",1021,20004,"01JAN2011","31DEC2015",".",11,34,9.4,6.3,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20005",8272,20005,"01JAN2011","31DEC2015",".",8.0,26,3.6,3.3,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20006",415,20006,"01JAN2011","31DEC2015",".",9.6,3.9,10,3.3,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20007",12257,20007,"01JAN2011","31DEC2015",".",6.2,52,3.0,2.4,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20008",15342,20008,"01JAN2011","31DEC2015",".",7.4,41,3.0,2.1,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20009",27957,20009,"01JAN2011","31DEC2015",".",4.2,34,1.4,1.7,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20010",12106,20010,"01JAN2011","31DEC2015",".",3.4,34,1.5,2.4,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20011",24674,20011,"01JAN2011","31DEC2015",".",4.3,53,1.4,1.4,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20012",5707,20012,"01JAN2011","31DEC2015",".",4.1,61,2.8,2.9,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20015",6550,20015,"01JAN2011","31DEC2015",".",3.2,69,3.2,2.5,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20016",13808,20016,"01JAN2011","31DEC2015",".",3.8,67,2.8,2.1,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20017",6915,20017,"01JAN2011","31DEC2015",".",4.8,61,2.9,2.9,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20018",7782,20018,"01JAN2011","31DEC2015",".",4.4,56,2.6,2.3,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20019",23153,20019,"01JAN2011","31DEC2015",".",6.3,33,1.4,1.6,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20020",21180,20020,"01JAN2011","31DEC2015",".",8.2,27,1.5,1.7,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20024",7053,20024,"01JAN2011","31DEC2015",".",4.1,41,2.7,3.4,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20032",13467,20032,"01JAN2011","31DEC2015",".",6.6,21,1.6,1.8,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20036",3068,20036,"01JAN2011","31DEC2015",".",4.0,32,4.0,5.6,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20037",7066,20037,"01JAN2011","31DEC2015",".",6.9,32,3.5,4.4,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20052",184,20052,"01JAN2011","31DEC2015",".",10,3.0,16,4.5,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20057",3.0,20057,"01JAN2011","31DEC2015",".","i",100,".",0.0,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20059",82,20059,"01JAN2011","31DEC2015",".",5.5,40,22,35,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20064",1297,20064,"01JAN2011","31DEC2015",".",7.9,19,4.9,4.0,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20332",456,20332,"01JAN2011","31DEC2015",".",4.7,0.0,7.1,1.6,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","ZIP 20336",755,20336,"01JAN2011","31DEC2015",".",4.7,0.0,5.6,1.3,".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20001",12068,20001,"01JAN2000","31DEC2000",49,6.3,30,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20002",21163,20002,"01JAN2000","31DEC2000",54,7.7,44,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20003",10267,20003,"01JAN2000","31DEC2000",43,5.4,45,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20004",530,20004,"01JAN2000","31DEC2000",46,7.3,19,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20005",6001,20005,"01JAN2000","31DEC2000",34,4.7,20,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20006",526,20006,"01JAN2000","31DEC2000",4.5,3.2,8.6,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20007",13150,20007,"01JAN2000","31DEC2000",34,2.3,48,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20008",15604,20008,"01JAN2000","31DEC2000",42,2.4,39,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20009",25054,20009,"01JAN2000","31DEC2000",37,3.1,27,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20010",11088,20010,"01JAN2000","31DEC2000",49,4.8,31,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20011",22762,20011,"01JAN2000","31DEC2000",61,6.9,56,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20012",5169,20012,"01JAN2000","31DEC2000",62,6.2,65,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20015",6270,20015,"01JAN2000","31DEC2000",63,2.3,73,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20016",13788,20016,"01JAN2000","31DEC2000",45,2.4,61,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20017",6187,20017,"01JAN2000","31DEC2000",65,16,65,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20018",6875,20018,"01JAN2000","31DEC2000",62,3.7,58,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20019",21245,20019,"01JAN2000","31DEC2000",61,9.1,38,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20020",19237,20020,"01JAN2000","31DEC2000",58,9.2,31,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20024",6893,20024,"01JAN2000","31DEC2000",49,4.4,33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20032",11767,20032,"01JAN2000","31DEC2000",54,13,24,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20036",2738,20036,"01JAN2000","31DEC2000",30,2.5,34,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20037",6789,20037,"01JAN2000","31DEC2000",28,3.0,31,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20052",350,20052,"01JAN2000","31DEC2000",4.5,3.2,8.6,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20057",30,20057,"01JAN2000","31DEC2000",1.6,0.0,67,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20059",138,20059,"01JAN2000","31DEC2000",30,7.1,33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
2000,"ZIP 20064",1288,20064,"01JAN2000","31DEC2000",30,5.5,22,".",".",".",".",".",".",".",".",".",".",".",".",".",".",1
