"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD","weborder"
"WORK","HOUSING_ZIP",,,"MedianMrtgInc1_4m",1,8,15,"Median borrower income",,0,0,,0,0,1,88,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES","."
"WORK","HOUSING_ZIP",,,"MedianMrtgInc1_4m_adj",1,8,25,"Median borrower income","PROFNUM",0,0,,0,0,0,168,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",14
"WORK","HOUSING_ZIP",,,"NumMrtgOrigHomePurchPerUnit",1,8,16,"Loans per 1,000 housing units","PROFNUM",0,0,,0,0,0,96,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",13
"WORK","HOUSING_ZIP",,,"NumOccupiedHsgUnits",1,8,3,"Occupied housing units","PROFNUM",0,0,,0,0,0,0,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",1
"WORK","HOUSING_ZIP",,,"NumOccupiedHsgUnits_m",1,8,4,"Occupied housing units MOE","PROFNUM",0,0,,0,0,0,8,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",4
"WORK","HOUSING_ZIP",,,"PctAnnChgRMPriceSf_10yr",1,8,24,"% annual change median price past 10 years","PROFNUM",0,0,,0,0,0,160,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",10
"WORK","HOUSING_ZIP",,,"PctAnnChgRMPriceSf_1yr",1,8,22,"% annual change median price past 1 year","PROFNUM",0,0,,0,0,0,144,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",12
"WORK","HOUSING_ZIP",,,"PctAnnChgRMPriceSf_5yr",1,8,23,"% annual change median price past 5 years","PROFNUM",0,0,,0,0,0,152,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",11
"WORK","HOUSING_ZIP",,,"PctOwnerOccupiedHU_m",1,8,12,"Homeownership rate (%) MOE","PROFNUM",0,0,,0,0,0,64,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",7
"WORK","HOUSING_ZIP",,,"PctOwnerOccupiedHsgUnits",1,8,10,"Homeownership rate (%)","PROFNUM",0,0,,0,0,0,48,868,"V9","21NOV19:14:49:21","21NOV19:14:49:21",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES",6
