"timeframe","anc2012","anc2012_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2014-18","ANC 1A","1A","01JAN2014","31DEC2018",18,41,24,116071,3.1,7.4,7.3,15574,"X","X","X"
"2014-18","ANC 1B","1B","01JAN2014","31DEC2018",16,41,32,163395,3.9,13,9.0,28746,"X","X","X"
"2014-18","ANC 1C","1C","01JAN2014","31DEC2018",4.7,3.1,3.1,227684,1.4,8.3,3.6,40367,"X","X","X"
"2014-18","ANC 1D","1D","01JAN2014","31DEC2018",13,23,11,166222,5.2,14,14,36426,"X","X","X"
"2014-18","ANC 2A","2A","01JAN2014","31DEC2018",24,0.0,11,212286,3.6,36,8.2,73794,"X","X","X"
"2014-18","ANC 2B","2B","01JAN2014","31DEC2018",9.7,1.7,6.9,213649,2.0,11,6.6,47867,"X","X","X"
"2014-18","ANC 2C","2C","01JAN2014","31DEC2018",18,0.0,37,264646,4.6,28,17,82493,"X","X","X"
"2014-18","ANC 2D","2D","01JAN2014","31DEC2018",4.5,3.7,1.8,363299,2.8,18,4.7,125749,"X","X","X"
"2014-18","ANC 2E","2E","01JAN2014","31DEC2018",12,3.7,4.0,350622,4.0,6.5,4.0,67862,"X","X","X"
"2014-18","ANC 2F","2F","01JAN2014","31DEC2018",11,10,24,186090,2.3,9.3,9.6,44986,"X","X","X"
"2014-18","ANC 3B","3B","01JAN2014","31DEC2018",14,5.4,4.0,241811,4.2,8.0,4.7,51196,"X","X","X"
"2014-18","ANC 3C","3C","01JAN2014","31DEC2018",8.7,3.7,4.6,299531,2.0,5.1,3.6,41148,"X","X","X"
"2014-18","ANC 3D","3D","01JAN2014","31DEC2018",9.6,3.9,3.3,363550,2.2,3.7,3.0,48166,"X","X","X"
"2014-18","ANC 3E","3E","01JAN2014","31DEC2018",4.8,0.0,2.4,287660,1.7,2.9,3.6,38913,"X","X","X"
"2014-18","ANC 3F","3F","01JAN2014","31DEC2018",6.0,0.4,6.6,263787,1.9,4.3,5.6,50975,"X","X","X"
