"timeframe","county","county_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2012-16","District of Columbia, DC",11001,"01JAN2011","31DEC2015",17.9309,25.8075,14.4156,139260.46,0.51593,0.96432,0.84894,3797.22,".",".","."
"2012-16","Calvert County, MD",24009,"01JAN2011","31DEC2015",6.0298,6.2991,6.5806,120797.51,1.05728,1.34256,1.59519,5273.44,".",".","."
"2012-16","Charles County, MD",24017,"01JAN2011","31DEC2015",7.6528,10.9849,8.0853,116235.32,0.87771,1.34650,1.46072,3543.93,".",".","."
"2012-16","Frederick County, MD",24021,"01JAN2011","31DEC2015",7.1206,9.6547,6.6114,116052.23,0.52272,0.90899,0.90624,2665.33,".",".","."
"2012-16","Montgomery County, MD",24031,"01JAN2011","31DEC2015",6.8627,8.7150,6.5916,156615.53,0.30956,0.51387,0.39895,1927.40,".",".","."
"2012-16","Prince George's County, MD",24033,"01JAN2011","31DEC2015",9.6568,13.7050,7.3080,102722.80,0.34022,0.59460,0.48889,1564.49,".",".","."
"2012-16","Arlington County, VA",51013,"01JAN2011","31DEC2015",8.7463,10.2339,8.5020,178544.63,0.81273,1.41901,1.35868,6463.28,".",".","."
"2012-16","Clarke County, VA",51043,"01JAN2011","31DEC2015",11.2849,19.4546,5.9096,108069.89,3.21292,5.97317,3.49286,11685.07,".",".","."
"2012-16","Culpeper County, VA",51047,"01JAN2011","31DEC2015",9.1547,9.9475,6.0914,91920.96,1.73722,2.32807,1.87954,7331.83,".",".","."
"2012-16","Fairfax County, VA",51059,"01JAN2011","31DEC2015",5.9928,7.5292,5.2506,163361.58,0.29630,0.45777,0.42894,2124.22,".",".","."
"2012-16","Fauquier County, VA",51061,"01JAN2011","31DEC2015",5.9773,7.3154,6.1610,131650.52,1.02177,1.55385,1.37268,7149.94,".",".","."
"2012-16","Loudoun County, VA",51107,"01JAN2011","31DEC2015",3.9674,3.9629,4.9130,160151.18,0.37641,0.47520,0.88049,3150.97,".",".","."
"2012-16","Prince William County, VA",51153,"01JAN2011","31DEC2015",7.0445,10.3113,4.8842,123499.26,0.52430,0.74168,0.79671,1826.60,".",".","."
"2012-16","Rappahannock County, VA",51157,"01JAN2011","31DEC2015",9.2039,12.3077,4.4380,94405.32,3.01390,5.75432,2.71529,12135.26,".",".","."
