"timeframe","geo2010","geo2010_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client","ucounty"
"2013-17","DC Tract 1",11001000100,"01JAN2012","31DEC2016",4.8,3.4,2.2,410288,3.4,7.8,4.6,136579,"X","X","X","District of Columbia"
"2013-17","DC Tract 2.01",11001000201,"01JAN2012","31DEC2016",100,"i","i",".",0.0,".",".",".","X","X","X","District of Columbia"
"2013-17","DC Tract 2.02",11001000202,"01JAN2012","31DEC2016",16,0.0,3.9,310753,8.2,12,5.0,90063,"X","X","X","District of Columbia"
"2013-17","DC Tract 3",11001000300,"01JAN2012","31DEC2016",19,3.4,3.4,261546,6.8,7.4,7.8,55531,"X","X","X","District of Columbia"
"2013-17","DC Tract 4",11001000400,"01JAN2012","31DEC2016",11,10.0,0.0,520786,4.3,14,7.8,157025,"X","X","X","District of Columbia"
"2013-17","DC Tract 5.01",11001000501,"01JAN2012","31DEC2016",7.1,11,0.0,254426,3.8,12,4.8,76960,"X","X","X","District of Columbia"
"2013-17","DC Tract 5.02",11001000502,"01JAN2012","31DEC2016",2.8,0.0,3.3,303558,1.8,9.8,4.8,61487,"X","X","X","District of Columbia"
"2013-17","DC Tract 6",11001000600,"01JAN2012","31DEC2016",5.6,4.8,1.1,390958,2.7,7.4,3.1,86698,"X","X","X","District of Columbia"
"2013-17","DC Tract 7.01",11001000701,"01JAN2012","31DEC2016",12,8.0,8.4,219684,5.3,16,6.0,76740,"X","X","X","District of Columbia"
"2013-17","DC Tract 7.02",11001000702,"01JAN2012","31DEC2016",9.2,0.0,0.0,124852,5.8,17,6.3,55245,"X","X","X","District of Columbia"
"2013-17","DC Tract 8.01",11001000801,"01JAN2012","31DEC2016",10,3.8,1.2,337916,4.4,6.2,3.0,80756,"X","X","X","District of Columbia"
"2013-17","DC Tract 8.02",11001000802,"01JAN2012","31DEC2016",13,5.0,0.0,290348,5.3,7.0,5.5,93286,"X","X","X","District of Columbia"
"2013-17","DC Tract 9.01",11001000901,"01JAN2012","31DEC2016",7.0,4.0,0.0,418477,4.6,5.4,3.0,67789,"X","X","X","District of Columbia"
"2013-17","DC Tract 9.02",11001000902,"01JAN2012","31DEC2016",2.2,0.7,3.2,427833,1.1,5.4,4.6,147777,"X","X","X","District of Columbia"
"2013-17","DC Tract 10.01",11001001001,"01JAN2012","31DEC2016",5.0,0.0,3.4,254603,2.3,2.9,4.0,34839,"X","X","X","District of Columbia"
"2013-17","DC Tract 10.02",11001001002,"01JAN2012","31DEC2016",27,0.0,7.5,200710,8.1,11,14,81280,"X","X","X","District of Columbia"
"2013-17","DC Tract 11",11001001100,"01JAN2012","31DEC2016",5.0,0.0,5.6,302231,3.0,4.4,5.4,62769,"X","X","X","District of Columbia"
"2013-17","DC Tract 12",11001001200,"01JAN2012","31DEC2016",4.2,0.0,4.0,255545,2.1,6.3,6.5,65732,"X","X","X","District of Columbia"
"2013-17","DC Tract 13.01",11001001301,"01JAN2012","31DEC2016",4.4,4.7,0.0,301130,2.7,7.6,3.8,101380,"X","X","X","District of Columbia"
"2013-17","DC Tract 13.02",11001001302,"01JAN2012","31DEC2016",10,4.7,7.5,241422,3.7,13,7.2,113343,"X","X","X","District of Columbia"
"2013-17","DC Tract 14.01",11001001401,"01JAN2012","31DEC2016",6.1,2.5,5.8,352194,2.7,5.7,6.6,70609,"X","X","X","District of Columbia"
"2013-17","DC Tract 14.02",11001001402,"01JAN2012","31DEC2016",5.7,0.0,9.2,270487,3.3,5.6,7.1,51060,"X","X","X","District of Columbia"
"2013-17","DC Tract 15",11001001500,"01JAN2012","31DEC2016",3.9,3.8,1.8,275386,2.7,4.5,3.7,38925,"X","X","X","District of Columbia"
"2013-17","DC Tract 16",11001001600,"01JAN2012","31DEC2016",3.9,0.0,5.7,229149,2.0,3.8,4.4,36262,"X","X","X","District of Columbia"
"2013-17","DC Tract 17.02",11001001702,"01JAN2012","31DEC2016",5.2,0.0,2.6,165407,2.7,8.9,5.8,57485,"X","X","X","District of Columbia"
"2013-17","DC Tract 18.03",11001001803,"01JAN2012","31DEC2016",20,21,17,84046,7.9,9.8,8.6,29234,"X","X","X","District of Columbia"
"2013-17","DC Tract 18.04",11001001804,"01JAN2012","31DEC2016",24,32,34,77554,8.4,11,19,21248,"X","X","X","District of Columbia"
"2013-17","DC Tract 19.01",11001001901,"01JAN2012","31DEC2016",11,21,16,123786,7.0,11,9.4,31487,"X","X","X","District of Columbia"
"2013-17","DC Tract 19.02",11001001902,"01JAN2012","31DEC2016",9.0,24,7.3,119781,6.8,17,5.7,24531,"X","X","X","District of Columbia"
"2013-17","DC Tract 20.01",11001002001,"01JAN2012","31DEC2016",12,8.8,14,141247,4.1,6.6,6.7,29741,"X","X","X","District of Columbia"
"2013-17","DC Tract 20.02",11001002002,"01JAN2012","31DEC2016",12,23,4.7,152396,6.7,13,6.5,51042,"X","X","X","District of Columbia"
"2013-17","DC Tract 21.01",11001002101,"01JAN2012","31DEC2016",10,6.1,11,86992,5.0,11,7.7,25675,"X","X","X","District of Columbia"
"2013-17","DC Tract 21.02",11001002102,"01JAN2012","31DEC2016",13,11,16,102780,4.0,8.4,7.7,23174,"X","X","X","District of Columbia"
"2013-17","DC Tract 22.01",11001002201,"01JAN2012","31DEC2016",7.1,0.0,16,138186,3.9,11,14,43313,"X","X","X","District of Columbia"
"2013-17","DC Tract 22.02",11001002202,"01JAN2012","31DEC2016",15,13,20,97452,6.8,12,13,27348,"X","X","X","District of Columbia"
"2013-17","DC Tract 23.01",11001002301,"01JAN2012","31DEC2016",8.6,10,6.4,163174,4.2,8.0,6.6,45578,"X","X","X","District of Columbia"
"2013-17","DC Tract 23.02",11001002302,"01JAN2012","31DEC2016",23,9.2,22,119389,9.8,38,12,58102,"X","X","X","District of Columbia"
"2013-17","DC Tract 24",11001002400,"01JAN2012","31DEC2016",7.5,1.9,9.9,128300,2.5,8.1,9.0,30441,"X","X","X","District of Columbia"
"2013-17","DC Tract 25.01",11001002501,"01JAN2012","31DEC2016",15,8.9,51,144032,5.4,11,19,42273,"X","X","X","District of Columbia"
"2013-17","DC Tract 25.02",11001002502,"01JAN2012","31DEC2016",14,17,22,124599,5.6,13,13,41800,"X","X","X","District of Columbia"
"2013-17","DC Tract 26",11001002600,"01JAN2012","31DEC2016",4.1,5.5,3.9,253023,2.2,9.4,5.0,48447,"X","X","X","District of Columbia"
"2013-17","DC Tract 27.01",11001002701,"01JAN2012","31DEC2016",16,28,21,135491,8.7,18,17,42186,"X","X","X","District of Columbia"
"2013-17","DC Tract 27.02",11001002702,"01JAN2012","31DEC2016",11,7.3,0.0,157762,4.4,11,9.1,44941,"X","X","X","District of Columbia"
"2013-17","DC Tract 28.01",11001002801,"01JAN2012","31DEC2016",21,48,25,73905,7.7,14,19,29886,"X","X","X","District of Columbia"
"2013-17","DC Tract 28.02",11001002802,"01JAN2012","31DEC2016",20,40,38,79764,7.8,18,16,26756,"X","X","X","District of Columbia"
"2013-17","DC Tract 29",11001002900,"01JAN2012","31DEC2016",8.4,19,3.7,143701,3.5,11,11,44065,"X","X","X","District of Columbia"
"2013-17","DC Tract 30",11001003000,"01JAN2012","31DEC2016",17,34,16,98350,5.8,21,13,33416,"X","X","X","District of Columbia"
"2013-17","DC Tract 31",11001003100,"01JAN2012","31DEC2016",9.7,20,17,141614,4.3,15,14,43645,"X","X","X","District of Columbia"
"2013-17","DC Tract 32",11001003200,"01JAN2012","31DEC2016",13,17,12,114615,7.6,14,9.6,31150,"X","X","X","District of Columbia"
"2013-17","DC Tract 33.01",11001003301,"01JAN2012","31DEC2016",6.6,0.0,0.9,172661,4.0,9.6,5.3,45112,"X","X","X","District of Columbia"
"2013-17","DC Tract 33.02",11001003302,"01JAN2012","31DEC2016",13,23,37,153992,5.5,38,21,52213,"X","X","X","District of Columbia"
"2013-17","DC Tract 34",11001003400,"01JAN2012","31DEC2016",17,20,26,106137,5.2,20,17,45295,"X","X","X","District of Columbia"
"2013-17","DC Tract 35",11001003500,"01JAN2012","31DEC2016",20,42,41,103961,9.1,24,17,33244,"X","X","X","District of Columbia"
"2013-17","DC Tract 36",11001003600,"01JAN2012","31DEC2016",15,19,36,155947,6.3,21,31,69450,"X","X","X","District of Columbia"
"2013-17","DC Tract 37",11001003700,"01JAN2012","31DEC2016",21,44,25,85790,7.8,15,14,32213,"X","X","X","District of Columbia"
"2013-17","DC Tract 38",11001003800,"01JAN2012","31DEC2016",10,8.9,4.0,224782,4.8,17,8.9,84380,"X","X","X","District of Columbia"
"2013-17","DC Tract 39",11001003900,"01JAN2012","31DEC2016",8.3,0.0,9.5,203236,4.8,22,12,62793,"X","X","X","District of Columbia"
"2013-17","DC Tract 40.01",11001004001,"01JAN2012","31DEC2016",3.5,0.0,0.0,277328,1.5,13,5.0,89364,"X","X","X","District of Columbia"
"2013-17","DC Tract 40.02",11001004002,"01JAN2012","31DEC2016",3.7,0.0,7.9,195185,1.4,20,8.9,66715,"X","X","X","District of Columbia"
"2013-17","DC Tract 41",11001004100,"01JAN2012","31DEC2016",5.1,2.6,1.7,339912,2.8,15,4.8,110230,"X","X","X","District of Columbia"
"2013-17","DC Tract 42.01",11001004201,"01JAN2012","31DEC2016",3.1,0.0,16,222029,1.8,22,21,107500,"X","X","X","District of Columbia"
"2013-17","DC Tract 42.02",11001004202,"01JAN2012","31DEC2016",5.0,0.0,1.0,210009,2.1,43,11,87156,"X","X","X","District of Columbia"
"2013-17","DC Tract 43",11001004300,"01JAN2012","31DEC2016",8.9,25,22,205637,4.6,16,19,74177,"X","X","X","District of Columbia"
"2013-17","DC Tract 44",11001004400,"01JAN2012","31DEC2016",7.9,6.1,39,267663,2.9,18,20,86189,"X","X","X","District of Columbia"
"2013-17","DC Tract 46",11001004600,"01JAN2012","31DEC2016",17,59,14,150750,7.5,30,11,65627,"X","X","X","District of Columbia"
"2013-17","DC Tract 47.01",11001004701,"01JAN2012","31DEC2016",25,20,8.4,58976,8.2,14,9.5,28268,"X","X","X","District of Columbia"
"2013-17","DC Tract 47.02",11001004702,"01JAN2012","31DEC2016",13,28,24,148611,5.0,20,36,46032,"X","X","X","District of Columbia"
"2013-17","DC Tract 48.01",11001004801,"01JAN2012","31DEC2016",6.4,0.0,29,143210,2.4,13,13,53243,"X","X","X","District of Columbia"
"2013-17","DC Tract 48.02",11001004802,"01JAN2012","31DEC2016",19,46,39,111297,8.4,19,19,43304,"X","X","X","District of Columbia"
"2013-17","DC Tract 49.01",11001004901,"01JAN2012","31DEC2016",15,35,17,136427,6.2,18,13,45841,"X","X","X","District of Columbia"
"2013-17","DC Tract 49.02",11001004902,"01JAN2012","31DEC2016",18,30,31,146323,5.6,21,28,60126,"X","X","X","District of Columbia"
"2013-17","DC Tract 50.01",11001005001,"01JAN2012","31DEC2016",8.6,0.0,19,172938,4.1,21,29,52926,"X","X","X","District of Columbia"
"2013-17","DC Tract 50.02",11001005002,"01JAN2012","31DEC2016",12,0.0,46,161449,2.6,9.1,19,62793,"X","X","X","District of Columbia"
"2013-17","DC Tract 52.01",11001005201,"01JAN2012","31DEC2016",7.1,0.0,17,226325,3.2,39,18,104493,"X","X","X","District of Columbia"
"2013-17","DC Tract 53.01",11001005301,"01JAN2012","31DEC2016",10,0.0,0.0,153405,3.6,17,6.2,56043,"X","X","X","District of Columbia"
"2013-17","DC Tract 55",11001005500,"01JAN2012","31DEC2016",21,21,5.7,222400,5.8,35,8.9,87551,"X","X","X","District of Columbia"
"2013-17","DC Tract 56",11001005600,"01JAN2012","31DEC2016",23,0.0,21,222100,5.3,31,13,98951,"X","X","X","District of Columbia"
"2013-17","DC Tract 58",11001005800,"01JAN2012","31DEC2016",17,15,24,271703,7.1,32,20,88171,"X","X","X","District of Columbia"
"2013-17","DC Tract 59",11001005900,"01JAN2012","31DEC2016",22,0.0,61,248498,5.2,181,25,163292,"X","X","X","District of Columbia"
"2013-17","DC Tract 64",11001006400,"01JAN2012","31DEC2016",49,76,36,50266,10.0,14,17,19796,"X","X","X","District of Columbia"
"2013-17","DC Tract 65",11001006500,"01JAN2012","31DEC2016",13,8.9,3.3,261024,5.9,12,10,63149,"X","X","X","District of Columbia"
"2013-17","DC Tract 66",11001006600,"01JAN2012","31DEC2016",3.6,0.0,12,246347,3.2,13,9.8,71515,"X","X","X","District of Columbia"
"2013-17","DC Tract 67",11001006700,"01JAN2012","31DEC2016",3.9,0.0,6.9,233915,1.8,7.1,8.1,47203,"X","X","X","District of Columbia"
"2013-17","DC Tract 68.01",11001006801,"01JAN2012","31DEC2016",11,0.0,8.6,134102,3.0,15,11,37445,"X","X","X","District of Columbia"
"2013-17","DC Tract 68.02",11001006802,"01JAN2012","31DEC2016",7.5,5.8,9.4,192357,5.0,11,12,40792,"X","X","X","District of Columbia"
"2013-17","DC Tract 68.04",11001006804,"01JAN2012","31DEC2016",47,0.0,47,136180,48,77,124,160919,"X","X","X","District of Columbia"
"2013-17","DC Tract 69",11001006900,"01JAN2012","31DEC2016",3.7,0.0,8.6,226317,2.2,9.6,13,73265,"X","X","X","District of Columbia"
"2013-17","DC Tract 70",11001007000,"01JAN2012","31DEC2016",4.2,0.0,11,245453,2.4,12,11,68065,"X","X","X","District of Columbia"
"2013-17","DC Tract 71",11001007100,"01JAN2012","31DEC2016",41,53,25,127062,15,16,15,44802,"X","X","X","District of Columbia"
"2013-17","DC Tract 72",11001007200,"01JAN2012","31DEC2016",10,8.1,42,152517,4.0,17,16,39082,"X","X","X","District of Columbia"
"2013-17","DC Tract 73.01",11001007301,"01JAN2012","31DEC2016",4.4,5.3,0.0,105618,5.5,4.6,83,20078,"X","X","X","District of Columbia"
"2013-17","DC Tract 73.04",11001007304,"01JAN2012","31DEC2016",34,49,8.9,52171,12,14,13,12610,"X","X","X","District of Columbia"
"2013-17","DC Tract 74.01",11001007401,"01JAN2012","31DEC2016",65,69,47,22852,8.6,7.9,24,6385,"X","X","X","District of Columbia"
"2013-17","DC Tract 74.03",11001007403,"01JAN2012","31DEC2016",40,50,39,41057,13,13,27,11597,"X","X","X","District of Columbia"
