"LIBNAME","MEMNAME","MEMLABEL","TYPEMEM","NAME","TYPE","LENGTH","VARNUM","LABEL","FORMAT","FORMATL","FORMATD","INFORMAT","INFORML","INFORMD","JUST","NPOS","NOBS","ENGINE","CRDATE","MODATE","DELOBS","IDXUSAGE","MEMTYPE","IDXCOUNT","PROTECT","FLAGS","COMPRESS","REUSE","SORTED","SORTEDBY","CHARSET","COLLATE","NODUPKEY","NODUPREC","ENCRYPT","POINTOBS","GENMAX","GENNUM","GENNEXT","TRANSCOD"
"WORK","INCOME_TR10",,,"AvgFamilyIncAdj",1,8,12,"Avg. family income",,0,0,,0,0,1,64,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"AvgFamilyIncAdj_m",1,8,13,"AvgFamilyIncAdj MOE",,0,0,,0,0,1,72,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"Fs_client",1,8,16,"Persons receiving food stamps",,0,0,,0,0,1,96,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"GEO2010_nf",2,11,3,"Unformatted geography",,0,0,,0,0,0,138,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"Geo2010",2,11,2,"Census tract (2010)","$GEO10A",0,0,,0,0,0,127,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"PctChgAvgFamilyIncAdj",1,8,14,"% change in avg. family income",,0,0,,0,0,1,80,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"PctPoorChildren",1,8,7,"% children in poverty",,0,0,,0,0,1,24,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"PctPoorChildren_m",1,8,10,"% children in poverty MOE",,0,0,,0,0,1,48,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"PctPoorElderly",1,8,8,"% seniors in poverty",,0,0,,0,0,1,32,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"PctPoorElderly_m",1,8,11,"% seniors in poverty MOE",,0,0,,0,0,1,56,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"PctPoorPersons",1,8,6,"Poverty rate (%)",,0,0,,0,0,1,16,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"PctPoorPersons_m",1,8,9,"Poverty rate (%) MOE",,0,0,,0,0,1,40,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"Tanf_client",1,8,15,"Persons receiving TANF",,0,0,,0,0,1,88,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"end_date",1,8,5,"End Date","DATE",9,0,,0,0,1,8,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"indc",1,8,17,"Flag for Census tract in Washington DC",,0,0,,0,0,1,104,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"start_date",1,8,4,"Start Date","DATE",9,0,,0,0,1,0,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"
"WORK","INCOME_TR10",,,"timeframe",2,15,1,"Year of Data",,0,0,,0,0,0,112,9659,"V9","05JAN18:15:40:48","05JAN18:15:40:48",0,"NONE","DATA",0,"---","---","CHAR","NO",".",".",,,"NO","NO","NO","YES",0,".",".","YES"

