"timeframe","ward2012","ward2012_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2013-17","Ward 1",1,"01JAN2012","31DEC2016",13,26,18,152934,1.5,4.7,3.7,12945,"X","X","X"
"2013-17","Ward 2",2,"01JAN2012","31DEC2016",14,6.1,13,243857,1.3,5.6,3.5,27186,"X","X","X"
"2013-17","Ward 3",3,"01JAN2012","31DEC2016",8.7,2.8,3.7,299068,1.0,1.7,1.4,20210,"X","X","X"
"2013-17","Ward 4",4,"01JAN2012","31DEC2016",11,12,13,149108,1.2,2.3,2.2,8497,"X","X","X"
"2013-17","Ward 5",5,"01JAN2012","31DEC2016",17,19,18,106097,1.4,3.0,2.3,6680,"X","X","X"
"2013-17","Ward 6",6,"01JAN2012","31DEC2016",13,17,14,168690,1.2,3.3,2.5,9740,"X","X","X"
"2013-17","Ward 7",7,"01JAN2012","31DEC2016",27,40,18,67292,2.1,3.5,2.9,4777,"X","X","X"
"2013-17","Ward 8",8,"01JAN2012","31DEC2016",36,47,25,56469,2.2,2.5,3.6,4804,"X","X","X"
2000,"Ward 1",1,"01JAN2000","31DEC2000",22,35,26,85326,".",".",".",".","X","X","X"
2000,"Ward 2",2,"01JAN2000","31DEC2000",18,24,19,215814,".",".",".",".","X","X","X"
2000,"Ward 3",3,"01JAN2000","31DEC2000",7.4,2.9,4.4,274906,".",".",".",".","X","X","X"
2000,"Ward 4",4,"01JAN2000","31DEC2000",12,16,11,119911,".",".",".",".","X","X","X"
2000,"Ward 5",5,"01JAN2000","31DEC2000",20,28,16,80155,".",".",".",".","X","X","X"
2000,"Ward 6",6,"01JAN2000","31DEC2000",21,35,25,94842,".",".",".",".","X","X","X"
2000,"Ward 7",7,"01JAN2000","31DEC2000",25,37,18,66188,".",".",".",".","X","X","X"
2000,"Ward 8",8,"01JAN2000","31DEC2000",35,46,23,52575,".",".",".",".","X","X","X"
1990,"Ward 1",1,"01JAN1990","31DEC1990",21,31,28,70474,".",".",".",".","X","X","X"
1990,"Ward 2",2,"01JAN1990","31DEC1990",17,18,18,182886,".",".",".",".","X","X","X"
1990,"Ward 3",3,"01JAN1990","31DEC1990",6.5,2.4,4.5,243041,".",".",".",".","X","X","X"
1990,"Ward 4",4,"01JAN1990","31DEC1990",8.2,8.9,12,113003,".",".",".",".","X","X","X"
1990,"Ward 5",5,"01JAN1990","31DEC1990",15,19,18,81723,".",".",".",".","X","X","X"
1990,"Ward 6",6,"01JAN1990","31DEC1990",19,29,27,93771,".",".",".",".","X","X","X"
1990,"Ward 7",7,"01JAN1990","31DEC1990",20,31,18,69033,".",".",".",".","X","X","X"
1990,"Ward 8",8,"01JAN1990","31DEC1990",27,38,25,55229,".",".",".",".","X","X","X"
"2012-16","Ward 1",1,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",75,"X","X"
"2012-16","Ward 2",2,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",11,"X","X"
"2012-16","Ward 3",3,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",6.5,"X","X"
"2012-16","Ward 4",4,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",22,"X","X"
"2012-16","Ward 5",5,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",30,"X","X"
"2012-16","Ward 6",6,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",74,"X","X"
"2012-16","Ward 7",7,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",-0.5,"X","X"
"2012-16","Ward 8",8,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",5.2,"X","X"
2000,"Ward 1",1,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",21,"X","X"
2000,"Ward 2",2,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",18,"X","X"
2000,"Ward 3",3,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",13,"X","X"
2000,"Ward 4",4,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",6.1,"X","X"
2000,"Ward 5",5,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-1.9,"X","X"
2000,"Ward 6",6,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",1.1,"X","X"
2000,"Ward 7",7,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-4.1,"X","X"
2000,"Ward 8",8,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-4.8,"X","X"
2000,"Ward 1",1,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",4245,8118
2001,"Ward 1",1,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",4187,7719
2002,"Ward 1",1,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",4092,7502
2003,"Ward 1",1,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",3886,7614
2004,"Ward 1",1,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",3858,7620
2005,"Ward 1",1,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",3676,7737
2006,"Ward 1",1,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",3115,7352
2007,"Ward 1",1,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",2944,7102
2008,"Ward 1",1,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",2846,6985
2009,"Ward 1",1,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",3002,8164
2010,"Ward 1",1,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",3174,9805
2011,"Ward 1",1,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",3092,11130
2012,"Ward 1",1,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",2965,11438
2013,"Ward 1",1,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",2852,11653
2014,"Ward 1",1,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",2565,10760
2015,"Ward 1",1,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",2330,10686
2000,"Ward 2",2,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",568,2070
2001,"Ward 2",2,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",580,1950
2002,"Ward 2",2,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",624,2066
2003,"Ward 2",2,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",634,2254
2004,"Ward 2",2,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",647,2341
2005,"Ward 2",2,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",596,2449
2006,"Ward 2",2,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",530,2449
2007,"Ward 2",2,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",489,2253
2008,"Ward 2",2,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",421,2151
2009,"Ward 2",2,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",436,2180
2010,"Ward 2",2,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",480,2469
2011,"Ward 2",2,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",463,2753
2012,"Ward 2",2,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",448,2882
