"timeframe","zip","zip_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2013-17","ZIP 20001",20001,"01JAN2012","31DEC2016",16,25,24,138495,1.8,6.0,4.6,14741,"X","X","X"
"2013-17","ZIP 20002",20002,"01JAN2012","31DEC2016",15,20,15,137745,1.5,3.8,3.1,9732,"X","X","X"
"2013-17","ZIP 20003",20003,"01JAN2012","31DEC2016",12,14,14,198676,2.4,6.0,4.2,17589,"X","X","X"
"2013-17","ZIP 20004",20004,"01JAN2012","31DEC2016",17,15,24,271703,9.3,51,28,117185,"X","X","X"
"2013-17","ZIP 20005",20005,"01JAN2012","31DEC2016",11,0.0,35,185199,2.2,9.3,12,49898,"X","X","X"
"2013-17","ZIP 20006",20006,"01JAN2012","31DEC2016",43,0.0,1.6,121822,15,14313,64,238608,"X","X","X"
"2013-17","ZIP 20007",20007,"01JAN2012","31DEC2016",12,3.7,2.6,309365,2.5,3.7,2.4,42913,"X","X","X"
"2013-17","ZIP 20008",20008,"01JAN2012","31DEC2016",6.7,4.2,3.3,292601,1.4,3.9,2.5,39269,"X","X","X"
"2013-17","ZIP 20009",20009,"01JAN2012","31DEC2016",10,22,15,184502,1.5,6.7,4.6,20047,"X","X","X"
"2013-17","ZIP 20010",20010,"01JAN2012","31DEC2016",14,26,16,122582,2.7,6.8,5.6,15572,"X","X","X"
"2013-17","ZIP 20011",20011,"01JAN2012","31DEC2016",13,13,16,121374,1.4,2.7,2.7,8510,"X","X","X"
"2013-17","ZIP 20012",20012,"01JAN2012","31DEC2016",10,11,9.0,154200,2.8,5.3,4.4,20239,"X","X","X"
"2013-17","ZIP 20015",20015,"01JAN2012","31DEC2016",5.0,2.2,5.1,295707,1.5,2.7,2.9,28466,"X","X","X"
"2013-17","ZIP 20016",20016,"01JAN2012","31DEC2016",9.2,1.9,3.6,313542,1.8,2.3,2.1,30129,"X","X","X"
"2013-17","ZIP 20017",20017,"01JAN2012","31DEC2016",12,8.4,14,121564,2.2,4.8,4.2,14892,"X","X","X"
