"timeframe","Anc2012","TotPop","TotPop_m","anc2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
"2012-16","ANC 1A",24925,1080,"1A","01JAN2012","31DEC2016",17,8.4,27,35,30,28,4.9,52,1.8,1.1,2.7,2.6,1.7,3.0,1.2,6.6,"X","X","X",1
"2012-16","ANC 1B",28242,1108,"1B","01JAN2012","31DEC2016",10,6.1,17,41,39,12,4.9,47,1.5,1.0,2.0,2.7,2.0,2.0,1.2,9.5,"X","X","X",1
"2012-16","ANC 1C",17857,749,"1C","01JAN2012","31DEC2016",7.1,8.2,20,9.4,70,12,5.7,9.4,1.3,1.3,2.6,1.8,3.0,1.9,1.4,8.8,"X","X","X",1
"2012-16","ANC 1D",12232,910,"1D","01JAN2012","31DEC2016",17,7.8,27,13,51,30,2.2,27,3.1,1.8,4.0,3.2,3.5,7.2,1.0,14,"X","X","X",1
"2012-16","ANC 2A",17052,872,"2A","01JAN2012","31DEC2016",2.2,9.3,23,8.3,66,9.7,11,18,1.1,1.8,3.0,2.0,3.2,1.8,1.7,38,"X","X","X",1
"2012-16","ANC 2B",18435,867,"2B","01JAN2012","31DEC2016",5.2,8.2,19,6.5,73,9.5,7.3,24,1.4,1.4,2.8,1.5,2.4,1.9,1.5,20,"X","X","X",1
"2012-16","ANC 2C",5262,430,"2C","01JAN2012","31DEC2016",3.9,8.0,21,12,59,8.2,17,0.1,1.7,2.0,3.9,5.1,3.3,2.5,3.4,17,"X","X","X",1
"2012-16","ANC 2D",2749,256,"2D","01JAN2012","31DEC2016",12,20,23,3.8,78,8.7,6.7,2.8,3.2,3.1,6.3,3.6,6.4,5.4,2.8,7.0,"X","X","X",1
"2012-16","ANC 2E",15356,862,"2E","01JAN2012","31DEC2016",9.9,10,18,5.4,76,8.3,7.5,14,1.9,1.4,2.8,2.5,2.2,1.9,1.6,11,"X","X","X",1
"2012-16","ANC 2F",17604,908,"2F","01JAN2012","31DEC2016",6.9,5.6,23,15,54,19,8.0,23,1.9,1.3,3.2,2.5,2.2,4.5,1.7,13,"X","X","X",1
"2012-16","ANC 3B",10737,716,"3B","01JAN2012","31DEC2016",10,15,22,7.1,75,6.8,6.6,21,2.2,2.3,3.9,3.5,3.1,2.3,2.3,9.6,"X","X","X",1
"2012-16","ANC 3C",20339,804,"3C","01JAN2012","31DEC2016",12,17,19,5.4,72,13,6.4,15,1.8,1.8,2.7,1.9,2.8,2.8,1.6,7.4,"X","X","X",1
"2012-16","ANC 3D",21465,863,"3D","01JAN2012","31DEC2016",17,15,21,6.6,72,12,6.4,7.6,1.5,1.4,2.1,2.0,2.1,2.1,1.3,3.7,"X","X","X",1
"2012-16","ANC 3E",10793,558,"3E","01JAN2012","31DEC2016",23,17,18,4.5,74,10,5.6,11,2.8,2.4,3.6,1.8,3.4,2.7,1.6,6.4,"X","X","X",1
"2012-16","ANC 3F",12906,719,"3F","01JAN2012","31DEC2016",13,16,19,9.0,73,9.0,6.3,15,2.5,2.3,3.2,3.2,3.7,2.8,1.7,6.6,"X","X","X",1
"2012-16","ANC 3G",15182,629,"3G","01JAN2012","31DEC2016",25,20,13,9.9,74,7.6,4.4,9.2,2.3,2.0,2.7,2.7,2.1,2.5,1.2,4.2,"X","X","X",1
"2012-16","ANC 4A",19945,899,"4A","01JAN2012","31DEC2016",22,14,31,56,17,22,1.4,24,2.0,1.3,2.8,2.5,1.4,3.8,0.7,5.9,"X","X","X",1
"2012-16","ANC 4B",19795,866,"4B","01JAN2012","31DEC2016",18,17,17,65,14,17,2.1,36,1.9,1.3,3.2,2.2,1.5,3.1,1.0,7.5,"X","X","X",1
"2012-16","ANC 4C",21944,1096,"4C","01JAN2012","31DEC2016",18,11,22,48,20,26,2.4,31,1.9,1.3,2.7,3.3,1.6,3.3,0.7,7.4,"X","X","X",1
"2012-16","ANC 4D",13944,865,"4D","01JAN2012","31DEC2016",20,12,26,64,9.1,23,2.3,44,2.9,1.6,4.6,3.6,2.0,3.8,1.2,10.0,"X","X","X",1
