"timeframe","psa2012","TotPop","TotPop_m","psa2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
"2013-17","PSA 101",983,152,101,"01JAN2012","31DEC2016",5.5,11,27,10,62,8.7,16,0.5,5.1,6.9,11,10,12,6.4,9.3,38,"X","X","X",1
"2013-17","PSA 102",6538,454,102,"01JAN2012","31DEC2016",10,8.8,17,28,46,8.3,14,55,4.3,2.3,3.3,4.7,3.0,4.5,2.7,25,"X","X","X",1
"2013-17","PSA 103",6852,485,103,"01JAN2012","31DEC2016",14,8.7,13,41,37,8.6,8.9,77,4.9,2.4,3.2,4.6,3.3,4.9,2.2,17,"X","X","X",1
"2013-17","PSA 104",15149,787,104,"01JAN2012","31DEC2016",9.7,7.0,6.3,23,65,4.5,5.0,20,1.5,1.1,1.3,3.0,1.3,1.5,1.3,11,"X","X","X",1
"2013-17","PSA 105",12586,614,105,"01JAN2012","31DEC2016",11,17,13,45,42,5.8,4.0,47,2.1,2.3,3.0,3.9,2.7,1.8,2.0,12,"X","X","X",1
"2013-17","PSA 106",11306,629,106,"01JAN2012","31DEC2016",14,7.4,5.6,31,57,6.9,2.6,45,2.8,1.4,1.5,4.4,2.6,1.9,0.9,12,"X","X","X",1
"2013-17","PSA 107",16996,631,107,"01JAN2012","31DEC2016",15,12,7.4,12,74,7.2,3.1,7.1,1.5,1.3,1.3,1.5,1.8,1.6,0.9,4.2,"X","X","X",1
"2013-17","PSA 108",15873,630,108,"01JAN2012","31DEC2016",14,8.1,5.7,38,51,5.2,2.1,16,1.6,1.2,1.3,2.6,2.1,1.4,0.7,6.3,"X","X","X",1
"2013-17","PSA 201",15072,491,201,"01JAN2012","31DEC2016",25,21,15,8.1,74,10,4.2,11,2.3,2.1,2.7,1.6,2.7,3.1,1.2,4.6,"X","X","X",1
"2013-17","PSA 202",12416,616,202,"01JAN2012","31DEC2016",23,16,18,5.0,75,9.5,5.9,9.0,2.8,2.1,3.3,2.2,3.0,3.3,1.5,5.4,"X","X","X",1
"2013-17","PSA 203",18957,954,203,"01JAN2012","31DEC2016",13,17,20,8.3,69,12,7.5,13,2.3,1.9,3.4,2.8,3.4,2.9,2.4,6.6,"X","X","X",1
"2013-17","PSA 204",26028,916,204,"01JAN2012","31DEC2016",11,16,20,5.6,73,11,7.0,18,1.4,1.5,2.3,1.7,2.2,2.3,1.5,6.2,"X","X","X",1
"2013-17","PSA 205",20304,733,205,"01JAN2012","31DEC2016",18,17,21,5.8,72,13,6.2,7.8,1.5,1.5,2.3,1.7,2.3,2.2,1.3,3.7,"X","X","X",1
"2013-17","PSA 206",15268,956,206,"01JAN2012","31DEC2016",9.6,12,20,5.3,75,9.7,7.5,16,1.7,1.6,2.7,2.5,2.5,2.2,1.8,12,"X","X","X",1
"2013-17","PSA 207",16900,1005,207,"01JAN2012","31DEC2016",2.6,9.4,26,8.2,65,11,11,17,1.2,1.6,3.4,2.8,4.3,2.2,1.9,32,"X","X","X",1
"2013-17","PSA 208",17652,785,208,"01JAN2012","31DEC2016",4.9,11,24,5.3,71,11,9.1,14,1.5,1.6,3.4,1.5,3.2,2.5,1.9,19,"X","X","X",1
"2013-17","PSA 301",12188,603,301,"01JAN2012","31DEC2016",6.2,7.2,18,12,68,9.7,6.0,23,1.6,1.7,3.0,2.2,3.5,2.6,1.7,12,"X","X","X",1
"2013-17","PSA 302",13560,783,302,"01JAN2012","31DEC2016",15,11,29,33,30,30,5.0,52,2.4,1.7,4.3,3.2,2.7,4.2,1.4,9.9,"X","X","X",1
