"timeframe","Geo2010","TotPop","geo2010_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","ucounty","indc"
"2012-16","DC Tract 1",5005,11001000100,"01JAN2011","31DEC2015",16,16,20,1.1,84,9.4,4.0,15,4.6,3.3,6.5,1.3,3.8,4.1,1.9,19,".",".",".","District of Columbia",1
"2012-16","DC Tract 2.01",3733,11001000201,"01JAN2011","31DEC2015",1.2,0.3,15,7.7,61,11,15,"i",1.7,1.2,4.0,2.7,7.4,3.1,4.1,".",".",".",".","District of Columbia",1
"2012-16","DC Tract 2.02",4417,11001000202,"01JAN2011","31DEC2015",8.7,13,20,7.7,77,6.5,5.5,15,2.3,2.1,3.8,6.7,14,3.1,1.8,14,".",".",".","District of Columbia",1
"2012-16","DC Tract 3",6139,11001000300,"01JAN2011","31DEC2015",13,8.3,17,6.7,79,4.9,7.2,9.7,3.0,2.1,4.6,5.9,11,3.0,3.7,9.5,".",".",".","District of Columbia",1
"2012-16","DC Tract 4",1607,11001000400,"01JAN2011","31DEC2015",19,22,25,4.2,64,17,9.3,6.9,4.7,4.5,7.7,2.8,7.2,8.3,5.5,13,".",".",".","District of Columbia",1
"2012-16","DC Tract 5.01",3481,11001000501,"01JAN2011","31DEC2015",11,11,16,2.7,74,15,4.2,38,4.3,3.4,5.5,1.4,6.6,8.2,2.0,27,".",".",".","District of Columbia",1
"2012-16","DC Tract 5.02",3045,11001000502,"01JAN2011","31DEC2015",13,17,15,2.5,77,13,5.2,4.1,2.9,3.2,3.5,1.7,6.0,4.1,2.7,8.4,".",".",".","District of Columbia",1
"2012-16","DC Tract 6",4848,11001000600,"01JAN2011","31DEC2015",16,20,16,5.6,71,17,4.8,18,4.4,3.6,4.4,2.6,4.9,6.9,2.8,14,".",".",".","District of Columbia",1
"2012-16","DC Tract 7.01",5325,11001000701,"01JAN2011","31DEC2015",8.8,28,23,6.6,79,3.5,4.6,11,3.6,4.6,7.0,4.5,6.2,2.5,3.3,14,".",".",".","District of Columbia",1
"2012-16","DC Tract 7.02",3356,11001000702,"01JAN2011","31DEC2015",7.6,9.5,25,8.4,69,10,7.3,47,3.1,3.5,6.5,4.4,7.1,4.8,3.0,18,".",".",".","District of Columbia",1
"2012-16","DC Tract 8.01",6740,11001000801,"01JAN2011","31DEC2015",17,19,23,6.9,75,9.0,4.7,4.7,3.0,3.1,3.5,4.4,2.0,3.3,1.9,6.0,".",".",".","District of Columbia",1
"2012-16","DC Tract 8.02",3213,11001000802,"01JAN2011","31DEC2015",17,14,19,6.4,69,13,9.2,16,3.5,3.3,5.0,3.7,7.1,5.5,4.5,13,".",".",".","District of Columbia",1
"2012-16","DC Tract 9.01",7698,11001000901,"01JAN2011","31DEC2015",15,14,22,7.9,69,13,7.1,5.1,2.0,2.0,3.3,3.5,3.7,2.9,2.1,5.4,".",".",".","District of Columbia",1
"2012-16","DC Tract 9.02",2467,11001000902,"01JAN2011","31DEC2015",28,15,20,3.3,73,15,3.5,11,3.4,2.8,7.1,2.3,4.5,7.4,1.9,8.5,".",".",".","District of Columbia",1
"2012-16","DC Tract 10.01",7923,11001001001,"01JAN2011","31DEC2015",25,17,20,2.9,74,11,5.5,9.5,3.1,2.9,4.5,1.5,3.7,2.9,2.0,6.8,".",".",".","District of Columbia",1
"2012-16","DC Tract 10.02",3761,11001001002,"01JAN2011","31DEC2015",12,6.2,16,5.2,71,13,8.7,0.0,4.8,2.4,6.9,2.6,6.2,9.8,5.2,6.6,".",".",".","District of Columbia",1
"2012-16","DC Tract 11",5016,11001001100,"01JAN2011","31DEC2015",20,21,12,9.0,74,7.6,5.9,16,4.6,3.8,3.5,4.0,5.7,4.5,1.5,12,".",".",".","District of Columbia",1
"2012-16","DC Tract 12",4950,11001001200,"01JAN2011","31DEC2015",17,12,21,6.2,75,8.9,4.8,22,4.3,2.6,4.9,4.2,6.5,4.2,1.7,9.4,".",".",".","District of Columbia",1
"2012-16","DC Tract 13.01",3831,11001001301,"01JAN2011","31DEC2015",14,18,14,13,75,6.2,5.4,0.0,5.1,3.5,4.3,5.2,4.7,4.3,2.3,6.3,".",".",".","District of Columbia",1
