"timeframe","ward2012","TotPop","TotPop_m","ward2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
"2012-16","Ward 1",83256,1945,1,"01JAN2012","31DEC2016",12,7.5,22,29,45,19,4.7,39,0.9,0.6,1.3,1.4,1.2,1.6,0.6,4.8,"X","X","X",1
"2012-16","Ward 2",76459,1825,2,"01JAN2012","31DEC2016",6.0,8.7,21,8.8,67,11,8.9,17,0.7,0.7,1.4,1.0,1.2,1.3,0.8,7.5,"X","X","X",1
"2012-16","Ward 3",82930,1689,3,"01JAN2012","31DEC2016",16,17,19,6.7,73,10,6.3,13,0.9,0.8,1.2,1.0,1.3,1.1,0.7,2.7,"X","X","X",1
"2012-16","Ward 4",84120,1946,4,"01JAN2012","31DEC2016",20,14,23,53,22,20,2.1,29,1.0,0.7,1.5,1.4,0.8,1.6,0.4,3.4,"X","X","X",1
"2012-16","Ward 5",85504,1995,5,"01JAN2012","31DEC2016",18,14,12,67,19,9.2,2.1,48,1.0,0.7,1.0,1.5,1.0,1.3,0.4,3.6,"X","X","X",1
"2012-16","Ward 6",87793,1698,6,"01JAN2012","31DEC2016",13,10,8.8,33,53,6.4,4.4,34,0.8,0.6,0.8,1.4,0.9,0.8,0.5,4.0,"X","X","X",1
"2012-16","Ward 7",75829,2048,7,"01JAN2012","31DEC2016",24,13,3.8,93,1.8,3.5,0.3,74,1.3,0.7,0.8,0.8,0.3,1.0,0.1,2.7,"X","X","X",1
"2012-16","Ward 8",83119,2166,8,"01JAN2012","31DEC2016",30,8.0,3.1,90,4.9,2.6,0.5,72,1.2,0.5,0.5,1.2,0.5,0.7,0.3,2.3,"X","X","X",1
2010,"Ward 1",74462,".",1,"01JAN2010","31DEC2010",12,7.1,".",33,40,21,5.0,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Ward 2",76883,".",2,"01JAN2010","31DEC2010",4.8,8.2,".",9.8,70,9.5,10,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Ward 3",78887,".",3,"01JAN2010","31DEC2010",13,14,".",5.6,78,7.5,8.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Ward 4",75773,".",4,"01JAN2010","31DEC2010",20,15,".",59,20,19,2.0,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Ward 5",74308,".",5,"01JAN2010","31DEC2010",17,15,".",77,15,6.3,1.7,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Ward 6",76000,".",6,"01JAN2010","31DEC2010",14,10,".",43,47,4.8,5.1,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Ward 7",71748,".",7,"01JAN2010","31DEC2010",24,13,".",95,1.5,2.7,0.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Ward 8",73662,".",8,"01JAN2010","31DEC2010",30,8.1,".",94,3.2,1.8,0.5,".",".",".",".",".",".",".",".",".","X","X","X",1
2000,"Ward 1",71711,".",1,"01JAN2000","31DEC2000",18,7.6,29,47,24,25,3.6,47,".",".",".",".",".",".",".",".","X","X","X",1
