"start_date","end_date","Cluster_tr2000","timeframe","CLUSTER_TR2000_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2000","31DEC2000","Cluster 1",2000,01,52.072,8.9723,1
"01JAN2001","31DEC2001","Cluster 1",2001,01,59.338,11.7686,1
"01JAN2002","31DEC2002","Cluster 1",2002,01,57.579,14.5596,1
"01JAN2003","31DEC2003","Cluster 1",2003,01,61.972,12.5700,1
"01JAN2004","31DEC2004","Cluster 1",2004,01,42.391,13.0518,1
"01JAN2005","31DEC2005","Cluster 1",2005,01,43.390,12.1076,1
"01JAN2006","31DEC2006","Cluster 1",2006,01,49.371,10.6185,1
"01JAN2007","31DEC2007","Cluster 1",2007,01,47.575,12.0304,1
"01JAN2008","31DEC2008","Cluster 1",2008,01,41.139,10.9266,1
"01JAN2009","31DEC2009","Cluster 1",2009,01,39.299,9.6610,1
"01JAN2010","31DEC2010","Cluster 1",2010,01,36.154,8.9432,1
"01JAN2011","31DEC2011","Cluster 1",2011,01,41.280,9.2704,1
"01JAN2012","31DEC2012","Cluster 1",2012,01,44.989,9.3249,1
"01JAN2013","31DEC2013","Cluster 1",2013,01,44.443,7.9616,1
"01JAN2014","31DEC2014","Cluster 1",2014,01,48.479,4.6352,1
"01JAN2015","31DEC2015","Cluster 1",2015,01,41.989,6.2711,1
"01JAN2016","31DEC2016","Cluster 1",2016,01,41.335,4.7988,1
"01JAN2000","31DEC2000","Cluster 2",2000,02,42.904,16.2039,1
"01JAN2001","31DEC2001","Cluster 2",2001,02,45.347,14.6459,1
"01JAN2002","31DEC2002","Cluster 2",2002,02,49.319,18.1454,1
"01JAN2003","31DEC2003","Cluster 2",2003,02,46.679,21.0396,1
"01JAN2004","31DEC2004","Cluster 2",2004,02,41.175,16.2488,1
"01JAN2005","31DEC2005","Cluster 2",2005,02,35.366,16.8440,1
"01JAN2006","31DEC2006","Cluster 2",2006,02,44.126,17.0563,1
"01JAN2007","31DEC2007","Cluster 2",2007,02,43.307,16.6744,1
"01JAN2008","31DEC2008","Cluster 2",2008,02,43.739,16.7379,1
"01JAN2009","31DEC2009","Cluster 2",2009,02,44.338,14.7724,1
"01JAN2010","31DEC2010","Cluster 2",2010,02,41.876,13.0018,1
"01JAN2011","31DEC2011","Cluster 2",2011,02,46.709,13.3184,1
"01JAN2012","31DEC2012","Cluster 2",2012,02,49.749,11.5454,1
"01JAN2013","31DEC2013","Cluster 2",2013,02,58.086,12.2420,1
"01JAN2014","31DEC2014","Cluster 2",2014,02,61.315,9.0337,1
"01JAN2015","31DEC2015","Cluster 2",2015,02,58.529,9.8991,1
"01JAN2016","31DEC2016","Cluster 2",2016,02,54.413,8.1683,1
"01JAN2000","31DEC2000","Cluster 3",2000,03,112.954,28.3373,1
"01JAN2001","31DEC2001","Cluster 3",2001,03,102.584,28.7429,1
"01JAN2002","31DEC2002","Cluster 3",2002,03,104.014,25.0546,1
"01JAN2003","31DEC2003","Cluster 3",2003,03,111.525,24.3902,1
"01JAN2004","31DEC2004","Cluster 3",2004,03,95.925,21.6517,1
"01JAN2005","31DEC2005","Cluster 3",2005,03,90.754,23.6750,1
"01JAN2006","31DEC2006","Cluster 3",2006,03,93.079,25.8013,1
"01JAN2007","31DEC2007","Cluster 3",2007,03,84.170,23.0969,1
"01JAN2008","31DEC2008","Cluster 3",2008,03,88.993,21.7595,1
"01JAN2009","31DEC2009","Cluster 3",2009,03,87.643,19.0492,1
"01JAN2010","31DEC2010","Cluster 3",2010,03,68.260,16.8392,1
"01JAN2011","31DEC2011","Cluster 3",2011,03,75.242,22.0141,1
"01JAN2012","31DEC2012","Cluster 3",2012,03,99.064,19.7141,1
"01JAN2013","31DEC2013","Cluster 3",2013,03,91.014,19.2213,1
"01JAN2014","31DEC2014","Cluster 3",2014,03,102.842,13.4713,1
"01JAN2015","31DEC2015","Cluster 3",2015,03,97.996,12.7321,1
"01JAN2016","31DEC2016","Cluster 3",2016,03,117.956,12.7321,1
"01JAN2000","31DEC2000","Cluster 4",2000,04,54.159,6.5632,1
"01JAN2001","31DEC2001","Cluster 4",2001,04,55.094,6.2391,1
"01JAN2002","31DEC2002","Cluster 4",2002,04,44.169,6.0254,1
"01JAN2003","31DEC2003","Cluster 4",2003,04,44.293,5.6081,1
"01JAN2004","31DEC2004","Cluster 4",2004,04,44.828,5.4555,1
"01JAN2005","31DEC2005","Cluster 4",2005,04,46.217,4.7442,1
"01JAN2006","31DEC2006","Cluster 4",2006,04,41.264,5.4109,1
"01JAN2007","31DEC2007","Cluster 4",2007,04,45.320,5.9658,1
"01JAN2008","31DEC2008","Cluster 4",2008,04,47.517,3.9266,1
"01JAN2009","31DEC2009","Cluster 4",2009,04,45.240,3.7946,1
"01JAN2010","31DEC2010","Cluster 4",2010,04,41.292,4.9844,1
"01JAN2011","31DEC2011","Cluster 4",2011,04,43.980,3.8604,1
"01JAN2012","31DEC2012","Cluster 4",2012,04,46.374,2.7365,1
"01JAN2013","31DEC2013","Cluster 4",2013,04,47.498,2.6388,1
"01JAN2014","31DEC2014","Cluster 4",2014,04,53.509,2.8342,1
"01JAN2015","31DEC2015","Cluster 4",2015,04,53.362,2.3944,1
"01JAN2016","31DEC2016","Cluster 4",2016,04,48.036,2.7854,1
"01JAN2000","31DEC2000","Cluster 5",2000,05,54.082,3.7533,1
"01JAN2001","31DEC2001","Cluster 5",2001,05,39.122,4.6026,1
"01JAN2002","31DEC2002","Cluster 5",2002,05,39.334,4.2823,1
"01JAN2003","31DEC2003","Cluster 5",2003,05,36.847,4.1367,1
"01JAN2004","31DEC2004","Cluster 5",2004,05,31.560,3.1116,1
"01JAN2005","31DEC2005","Cluster 5",2005,05,28.547,2.5104,1
"01JAN2006","31DEC2006","Cluster 5",2006,05,25.721,1.6684,1
"01JAN2007","31DEC2007","Cluster 5",2007,05,25.625,2.0231,1
"01JAN2008","31DEC2008","Cluster 5",2008,05,27.565,3.1428,1
"01JAN2009","31DEC2009","Cluster 5",2009,05,24.052,3.5632,1
"01JAN2010","31DEC2010","Cluster 5",2010,05,21.844,3.0322,1
"01JAN2011","31DEC2011","Cluster 5",2011,05,26.361,2.9703,1
"01JAN2012","31DEC2012","Cluster 5",2012,05,23.886,2.7847,1
"01JAN2013","31DEC2013","Cluster 5",2013,05,23.205,1.5470,1
"01JAN2014","31DEC2014","Cluster 5",2014,05,29.270,1.9802,1
"01JAN2015","31DEC2015","Cluster 5",2015,05,32.550,2.3515,1
"01JAN2016","31DEC2016","Cluster 5",2016,05,26.918,3.0322,1
"01JAN2000","31DEC2000","Cluster 6",2000,06,171.884,17.4247,1
"01JAN2001","31DEC2001","Cluster 6",2001,06,145.795,16.3828,1
"01JAN2002","31DEC2002","Cluster 6",2002,06,140.346,17.5800,1
"01JAN2003","31DEC2003","Cluster 6",2003,06,121.847,16.8368,1
"01JAN2004","31DEC2004","Cluster 6",2004,06,99.210,16.1545,1
"01JAN2005","31DEC2005","Cluster 6",2005,06,100.911,12.4971,1
"01JAN2006","31DEC2006","Cluster 6",2006,06,88.912,14.1001,1
"01JAN2007","31DEC2007","Cluster 6",2007,06,92.664,13.7193,1
"01JAN2008","31DEC2008","Cluster 6",2008,06,103.538,14.6752,1
"01JAN2009","31DEC2009","Cluster 6",2009,06,103.825,11.4590,1
"01JAN2010","31DEC2010","Cluster 6",2010,06,89.214,12.9923,1
"01JAN2011","31DEC2011","Cluster 6",2011,06,96.662,14.7823,1
"01JAN2012","31DEC2012","Cluster 6",2012,06,107.287,11.8951,1
"01JAN2013","31DEC2013","Cluster 6",2013,06,93.429,9.2389,1
"01JAN2014","31DEC2014","Cluster 6",2014,06,100.993,7.5644,1
"01JAN2015","31DEC2015","Cluster 6",2015,06,105.324,7.9686,1
"01JAN2016","31DEC2016","Cluster 6",2016,06,109.020,7.9686,1
"01JAN2000","31DEC2000","Cluster 7",2000,07,54.254,15.9118,1
"01JAN2001","31DEC2001","Cluster 7",2001,07,54.186,20.0302,1
"01JAN2002","31DEC2002","Cluster 7",2002,07,65.437,15.5093,1
"01JAN2003","31DEC2003","Cluster 7",2003,07,57.592,14.9261,1
"01JAN2004","31DEC2004","Cluster 7",2004,07,57.707,13.2264,1
"01JAN2005","31DEC2005","Cluster 7",2005,07,49.017,14.1644,1
"01JAN2006","31DEC2006","Cluster 7",2006,07,56.209,14.5483,1
"01JAN2007","31DEC2007","Cluster 7",2007,07,52.467,14.6176,1
"01JAN2008","31DEC2008","Cluster 7",2008,07,53.502,11.4217,1
"01JAN2009","31DEC2009","Cluster 7",2009,07,49.466,11.4446,1
"01JAN2010","31DEC2010","Cluster 7",2010,07,39.757,11.8016,1
"01JAN2011","31DEC2011","Cluster 7",2011,07,47.918,11.0483,1
"01JAN2012","31DEC2012","Cluster 7",2012,07,58.380,8.9558,1
"01JAN2013","31DEC2013","Cluster 7",2013,07,55.200,9.2906,1
"01JAN2014","31DEC2014","Cluster 7",2014,07,65.746,7.4911,1
"01JAN2015","31DEC2015","Cluster 7",2015,07,62.482,7.5330,1
"01JAN2016","31DEC2016","Cluster 7",2016,07,73.865,6.8215,1
"01JAN2000","31DEC2000","Cluster 8",2000,08,311.534,53.6648,1
"01JAN2001","31DEC2001","Cluster 8",2001,08,270.431,50.0879,1
"01JAN2002","31DEC2002","Cluster 8",2002,08,217.523,41.3585,1
