"start_date","end_date","Geo2010","timeframe","GEO2010_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","ucounty","indc"
"01JAN2000","31DEC2000","DC Tract 1",2000,11001000100,89,12,"District of Columbia",1
"01JAN2001","31DEC2001","DC Tract 1",2001,11001000100,86,11,"District of Columbia",1
"01JAN2002","31DEC2002","DC Tract 1",2002,11001000100,71,11,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 1",2003,11001000100,83,11,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 1",2004,11001000100,78,8.6,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 1",2005,11001000100,87,8.2,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 1",2006,11001000100,64,10,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 1",2007,11001000100,69,8.7,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 1",2008,11001000100,73,6.0,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 1",2009,11001000100,79,6.8,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 1",2010,11001000100,65,8.6,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 1",2011,11001000100,77,6.5,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 1",2012,11001000100,71,4.5,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 1",2013,11001000100,79,4.5,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 1",2014,11001000100,79,3.7,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 1",2015,11001000100,76,3.7,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 1",2016,11001000100,70,4.9,"District of Columbia",1
"01JAN2000","31DEC2000","DC Tract 2.01",2000,11001000201,22,1.3,"District of Columbia",1
"01JAN2001","31DEC2001","DC Tract 2.01",2001,11001000201,20,1.1,"District of Columbia",1
"01JAN2002","31DEC2002","DC Tract 2.01",2002,11001000201,15,0.9,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 2.01",2003,11001000201,10,0.7,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 2.01",2004,11001000201,18,1.7,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 2.01",2005,11001000201,17,1.2,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 2.01",2006,11001000201,13,2.4,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 2.01",2007,11001000201,11,1.0,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 2.01",2008,11001000201,8.4,0.0,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 2.01",2009,11001000201,8.3,0.3,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 2.01",2010,11001000201,12,0.8,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 2.01",2011,11001000201,17,0.8,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 2.01",2012,11001000201,12,0.3,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 2.01",2013,11001000201,9.4,0.3,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 2.01",2014,11001000201,8.7,0.5,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 2.01",2015,11001000201,7.9,0.5,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 2.01",2016,11001000201,1.3,0.3,"District of Columbia",1
"01JAN2000","31DEC2000","DC Tract 2.02",2000,11001000202,101,13,"District of Columbia",1
"01JAN2001","31DEC2001","DC Tract 2.02",2001,11001000202,100,12,"District of Columbia",1
"01JAN2002","31DEC2002","DC Tract 2.02",2002,11001000202,84,12,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 2.02",2003,11001000202,71,9.7,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 2.02",2004,11001000202,75,11,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 2.02",2005,11001000202,71,8.0,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 2.02",2006,11001000202,74,8.1,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 2.02",2007,11001000202,79,13,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 2.02",2008,11001000202,80,7.6,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 2.02",2009,11001000202,70,5.9,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 2.02",2010,11001000202,62,8.5,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 2.02",2011,11001000202,67,5.9,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 2.02",2012,11001000202,83,4.6,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 2.02",2013,11001000202,81,4.6,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 2.02",2014,11001000202,97,5.7,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 2.02",2015,11001000202,101,4.2,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 2.02",2016,11001000202,94,4.2,"District of Columbia",1
"01JAN2000","31DEC2000","DC Tract 3",2000,11001000300,19,1.7,"District of Columbia",1
"01JAN2001","31DEC2001","DC Tract 3",2001,11001000300,25,2.2,"District of Columbia",1
"01JAN2002","31DEC2002","DC Tract 3",2002,11001000300,15,1.5,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 3",2003,11001000300,18,2.0,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 3",2004,11001000300,14,1.7,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 3",2005,11001000300,15,2.0,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 3",2006,11001000300,16,1.5,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 3",2007,11001000300,23,1.8,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 3",2008,11001000300,26,1.8,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 3",2009,11001000300,21,1.9,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 3",2010,11001000300,24,1.8,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 3",2011,11001000300,15,1.9,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 3",2012,11001000300,17,1.3,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 3",2013,11001000300,18,1.0,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 3",2014,11001000300,24,1.1,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 3",2015,11001000300,23,1.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 3",2016,11001000300,20,1.4,"District of Columbia",1
"01JAN2000","31DEC2000","DC Tract 4",2000,11001000400,64,4.0,"District of Columbia",1
"01JAN2001","31DEC2001","DC Tract 4",2001,11001000400,56,6.0,"District of Columbia",1
"01JAN2002","31DEC2002","DC Tract 4",2002,11001000400,32,2.7,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 4",2003,11001000400,37,3.4,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 4",2004,11001000400,36,3.4,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 4",2005,11001000400,44,4.1,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 4",2006,11001000400,48,0.7,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 4",2007,11001000400,54,7.5,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 4",2008,11001000400,49,4.8,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 4",2009,11001000400,65,2.7,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 4",2010,11001000400,59,5.5,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 4",2011,11001000400,68,4.8,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 4",2012,11001000400,38,1.4,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 4",2013,11001000400,25,0.0,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 4",2014,11001000400,43,0.7,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 4",2015,11001000400,40,4.1,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 4",2016,11001000400,36,1.4,"District of Columbia",1
"01JAN2000","31DEC2000","DC Tract 5.01",2000,11001000501,45,2.9,"District of Columbia",1
"01JAN2001","31DEC2001","DC Tract 5.01",2001,11001000501,39,8.1,"District of Columbia",1
"01JAN2002","31DEC2002","DC Tract 5.01",2002,11001000501,40,4.1,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 5.01",2003,11001000501,39,3.0,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 5.01",2004,11001000501,28,3.0,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 5.01",2005,11001000501,27,4.2,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 5.01",2006,11001000501,17,2.6,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 5.01",2007,11001000501,19,3.4,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 5.01",2008,11001000501,23,2.5,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 5.01",2009,11001000501,21,3.3,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 5.01",2010,11001000501,15,2.4,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 5.01",2011,11001000501,28,3.9,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 5.01",2012,11001000501,24,3.3,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 5.01",2013,11001000501,19,2.7,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 5.01",2014,11001000501,19,1.8,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 5.01",2015,11001000501,17,1.2,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 5.01",2016,11001000501,29,1.5,"District of Columbia",1
"01JAN2000","31DEC2000","DC Tract 5.02",2000,11001000502,55,3.6,"District of Columbia",1
"01JAN2001","31DEC2001","DC Tract 5.02",2001,11001000502,36,4.6,"District of Columbia",1
"01JAN2002","31DEC2002","DC Tract 5.02",2002,11001000502,35,3.2,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 5.02",2003,11001000502,40,1.6,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 5.02",2004,11001000502,32,4.2,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 5.02",2005,11001000502,24,2.9,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 5.02",2006,11001000502,29,4.5,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 5.02",2007,11001000502,21,1.6,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 5.02",2008,11001000502,28,2.8,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 5.02",2009,11001000502,34,1.6,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 5.02",2010,11001000502,21,2.5,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 5.02",2011,11001000502,18,1.3,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 5.02",2012,11001000502,27,2.5,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 5.02",2013,11001000502,20,1.6,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 5.02",2014,11001000502,19,3.1,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 5.02",2015,11001000502,26,0.9,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 5.02",2016,11001000502,23,0.9,"District of Columbia",1
"01JAN2000","31DEC2000","DC Tract 6",2000,11001000600,32,2.6,"District of Columbia",1
"01JAN2001","31DEC2001","DC Tract 6",2001,11001000600,33,3.0,"District of Columbia",1
"01JAN2002","31DEC2002","DC Tract 6",2002,11001000600,29,2.7,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 6",2003,11001000600,36,2.7,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 6",2004,11001000600,26,1.3,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 6",2005,11001000600,22,1.5,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 6",2006,11001000600,21,1.5,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 6",2007,11001000600,26,1.3,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 6",2008,11001000600,32,1.7,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 6",2009,11001000600,34,2.4,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 6",2010,11001000600,33,1.8,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 6",2011,11001000600,31,3.1,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 6",2012,11001000600,33,2.0,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 6",2013,11001000600,24,1.8,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 6",2014,11001000600,25,1.3,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 6",2015,11001000600,34,0.4,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 6",2016,11001000600,26,1.8,"District of Columbia",1
"01JAN2000","31DEC2000","DC Tract 7.01",2000,11001000701,21,1.6,"District of Columbia",1
"01JAN2001","31DEC2001","DC Tract 7.01",2001,11001000701,21,0.5,"District of Columbia",1
"01JAN2002","31DEC2002","DC Tract 7.01",2002,11001000701,16,2.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 7.01",2003,11001000701,15,0.4,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 7.01",2004,11001000701,17,0.7,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 7.01",2005,11001000701,19,0.7,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 7.01",2006,11001000701,16,0.4,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 7.01",2007,11001000701,10,0.4,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 7.01",2008,11001000701,11,0.2,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 7.01",2009,11001000701,9.6,0.7,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 7.01",2010,11001000701,13,0.2,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 7.01",2011,11001000701,9.3,0.2,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 7.01",2012,11001000701,17,0.6,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 7.01",2013,11001000701,17,0.2,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 7.01",2014,11001000701,14,0.2,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 7.01",2015,11001000701,10.0,0.4,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 7.01",2016,11001000701,8.7,0.9,"District of Columbia",1
"01JAN2000","31DEC2000","DC Tract 7.02",2000,11001000702,9.8,1.8,"District of Columbia",1
"01JAN2001","31DEC2001","DC Tract 7.02",2001,11001000702,13,1.8,"District of Columbia",1
"01JAN2002","31DEC2002","DC Tract 7.02",2002,11001000702,10,0.9,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 7.02",2003,11001000702,11,0.9,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 7.02",2004,11001000702,12,0.6,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 7.02",2005,11001000702,11,0.0,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 7.02",2006,11001000702,11,0.3,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 7.02",2007,11001000702,3.9,0.0,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 7.02",2008,11001000702,7.8,0.6,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 7.02",2009,11001000702,10,1.2,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 7.02",2010,11001000702,13,0.3,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 7.02",2011,11001000702,7.4,0.9,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 7.02",2012,11001000702,9.2,0.3,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 7.02",2013,11001000702,5.4,0.3,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 7.02",2014,11001000702,9.5,0.9,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 7.02",2015,11001000702,15,0.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 7.02",2016,11001000702,10,0.3,"District of Columbia",1
"01JAN2000","31DEC2000","DC Tract 8.01",2000,11001000801,15,0.7,"District of Columbia",1
"01JAN2001","31DEC2001","DC Tract 8.01",2001,11001000801,15,1.0,"District of Columbia",1
