"start_date","end_date","Ward2012","timeframe","WARD2012_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2000","31DEC2000","Ward 1",2000,1,55,16,1
"01JAN2001","31DEC2001","Ward 1",2001,1,57,16,1
"01JAN2002","31DEC2002","Ward 1",2002,1,60,19,1
"01JAN2003","31DEC2003","Ward 1",2003,1,60,20,1
"01JAN2004","31DEC2004","Ward 1",2004,1,50,17,1
"01JAN2005","31DEC2005","Ward 1",2005,1,46,17,1
"01JAN2006","31DEC2006","Ward 1",2006,1,53,17,1
"01JAN2007","31DEC2007","Ward 1",2007,1,50,17,1
"01JAN2008","31DEC2008","Ward 1",2008,1,51,17,1
"01JAN2009","31DEC2009","Ward 1",2009,1,50,15,1
"01JAN2010","31DEC2010","Ward 1",2010,1,45,13,1
"01JAN2011","31DEC2011","Ward 1",2011,1,50,14,1
"01JAN2012","31DEC2012","Ward 1",2012,1,56,12,1
"01JAN2013","31DEC2013","Ward 1",2013,1,61,13,1
"01JAN2014","31DEC2014","Ward 1",2014,1,64,8.9,1
"01JAN2015","31DEC2015","Ward 1",2015,1,60,9.7,1
"01JAN2016","31DEC2016","Ward 1",2016,1,61,8.3,1
"01JAN2000","31DEC2000","Ward 2",2000,2,125,16,1
"01JAN2001","31DEC2001","Ward 2",2001,2,108,16,1
"01JAN2002","31DEC2002","Ward 2",2002,2,99,13,1
"01JAN2003","31DEC2003","Ward 2",2003,2,86,13,1
"01JAN2004","31DEC2004","Ward 2",2004,2,73,11,1
"01JAN2005","31DEC2005","Ward 2",2005,2,70,9.6,1
"01JAN2006","31DEC2006","Ward 2",2006,2,69,10,1
"01JAN2007","31DEC2007","Ward 2",2007,2,70,10,1
"01JAN2008","31DEC2008","Ward 2",2008,2,73,10.0,1
"01JAN2009","31DEC2009","Ward 2",2009,2,71,9.0,1
"01JAN2010","31DEC2010","Ward 2",2010,2,60,9.0,1
"01JAN2011","31DEC2011","Ward 2",2011,2,67,9.4,1
"01JAN2012","31DEC2012","Ward 2",2012,2,76,8.3,1
"01JAN2013","31DEC2013","Ward 2",2013,2,70,6.6,1
