"start_date","end_date","Zip","timeframe","ZIP_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2000","31DEC2000","ZIP 20001",2000,20001,89,26,1
"01JAN2001","31DEC2001","ZIP 20001",2001,20001,89,28,1
"01JAN2002","31DEC2002","ZIP 20001",2002,20001,83,26,1
"01JAN2003","31DEC2003","ZIP 20001",2003,20001,81,26,1
"01JAN2004","31DEC2004","ZIP 20001",2004,20001,71,20,1
"01JAN2005","31DEC2005","ZIP 20001",2005,20001,63,20,1
"01JAN2006","31DEC2006","ZIP 20001",2006,20001,67,21,1
"01JAN2007","31DEC2007","ZIP 20001",2007,20001,69,21,1
"01JAN2008","31DEC2008","ZIP 20001",2008,20001,69,18,1
"01JAN2009","31DEC2009","ZIP 20001",2009,20001,62,18,1
"01JAN2010","31DEC2010","ZIP 20001",2010,20001,51,17,1
"01JAN2011","31DEC2011","ZIP 20001",2011,20001,60,17,1
"01JAN2012","31DEC2012","ZIP 20001",2012,20001,77,16,1
"01JAN2013","31DEC2013","ZIP 20001",2013,20001,74,15,1
"01JAN2014","31DEC2014","ZIP 20001",2014,20001,89,13,1
"01JAN2015","31DEC2015","ZIP 20001",2015,20001,84,14,1
"01JAN2016","31DEC2016","ZIP 20001",2016,20001,102,14,1
"01JAN2000","31DEC2000","ZIP 20002",2000,20002,60,25,1
"01JAN2001","31DEC2001","ZIP 20002",2001,20002,72,25,1
"01JAN2002","31DEC2002","ZIP 20002",2002,20002,66,23,1
"01JAN2003","31DEC2003","ZIP 20002",2003,20002,73,26,1
"01JAN2004","31DEC2004","ZIP 20002",2004,20002,80,22,1
"01JAN2005","31DEC2005","ZIP 20002",2005,20002,66,22,1
"01JAN2006","31DEC2006","ZIP 20002",2006,20002,63,21,1
"01JAN2007","31DEC2007","ZIP 20002",2007,20002,67,21,1
"01JAN2008","31DEC2008","ZIP 20002",2008,20002,60,20,1
"01JAN2009","31DEC2009","ZIP 20002",2009,20002,57,18,1
"01JAN2010","31DEC2010","ZIP 20002",2010,20002,51,16,1
"01JAN2011","31DEC2011","ZIP 20002",2011,20002,57,16,1
"01JAN2012","31DEC2012","ZIP 20002",2012,20002,67,17,1
"01JAN2013","31DEC2013","ZIP 20002",2013,20002,68,14,1
"01JAN2014","31DEC2014","ZIP 20002",2014,20002,73,15,1
"01JAN2015","31DEC2015","ZIP 20002",2015,20002,66,16,1
"01JAN2016","31DEC2016","ZIP 20002",2016,20002,62,16,1
"01JAN2000","31DEC2000","ZIP 20003",2000,20003,70,17,1
"01JAN2001","31DEC2001","ZIP 20003",2001,20003,87,18,1
"01JAN2002","31DEC2002","ZIP 20003",2002,20003,68,19,1
"01JAN2003","31DEC2003","ZIP 20003",2003,20003,56,17,1
"01JAN2004","31DEC2004","ZIP 20003",2004,20003,51,12,1
"01JAN2005","31DEC2005","ZIP 20003",2005,20003,46,12,1
"01JAN2006","31DEC2006","ZIP 20003",2006,20003,42,10,1
"01JAN2007","31DEC2007","ZIP 20003",2007,20003,46,11,1
"01JAN2008","31DEC2008","ZIP 20003",2008,20003,49,11,1
"01JAN2009","31DEC2009","ZIP 20003",2009,20003,49,11,1
"01JAN2010","31DEC2010","ZIP 20003",2010,20003,40,8.4,1
"01JAN2011","31DEC2011","ZIP 20003",2011,20003,42,6.5,1
"01JAN2012","31DEC2012","ZIP 20003",2012,20003,50,8.0,1
"01JAN2013","31DEC2013","ZIP 20003",2013,20003,57,7.0,1
"01JAN2014","31DEC2014","ZIP 20003",2014,20003,60,6.5,1
"01JAN2015","31DEC2015","ZIP 20003",2015,20003,60,8.4,1
"01JAN2016","31DEC2016","ZIP 20003",2016,20003,57,8.0,1
"01JAN2000","31DEC2000","ZIP 20004",2000,20004,786,94,1
"01JAN2001","31DEC2001","ZIP 20004",2001,20004,646,68,1
"01JAN2002","31DEC2002","ZIP 20004",2002,20004,420,38,1
"01JAN2003","31DEC2003","ZIP 20004",2003,20004,319,30,1
"01JAN2004","31DEC2004","ZIP 20004",2004,20004,199,29,1
"01JAN2005","31DEC2005","ZIP 20004",2005,20004,239,24,1
"01JAN2006","31DEC2006","ZIP 20004",2006,20004,201,22,1
"01JAN2007","31DEC2007","ZIP 20004",2007,20004,196,24,1
"01JAN2008","31DEC2008","ZIP 20004",2008,20004,183,20,1
"01JAN2009","31DEC2009","ZIP 20004",2009,20004,169,19,1
"01JAN2010","31DEC2010","ZIP 20004",2010,20004,176,22,1
"01JAN2011","31DEC2011","ZIP 20004",2011,20004,224,27,1
"01JAN2012","31DEC2012","ZIP 20004",2012,20004,204,17,1
"01JAN2013","31DEC2013","ZIP 20004",2013,20004,160,12,1
"01JAN2014","31DEC2014","ZIP 20004",2014,20004,189,12,1
"01JAN2015","31DEC2015","ZIP 20004",2015,20004,168,13,1
"01JAN2016","31DEC2016","ZIP 20004",2016,20004,196,9.9,1
"01JAN2000","31DEC2000","ZIP 20005",2000,20005,145,23,1
"01JAN2001","31DEC2001","ZIP 20005",2001,20005,125,22,1
"01JAN2002","31DEC2002","ZIP 20005",2002,20005,130,16,1
"01JAN2003","31DEC2003","ZIP 20005",2003,20005,100,17,1
"01JAN2004","31DEC2004","ZIP 20005",2004,20005,88,14,1
"01JAN2005","31DEC2005","ZIP 20005",2005,20005,72,14,1
"01JAN2006","31DEC2006","ZIP 20005",2006,20005,77,14,1
"01JAN2007","31DEC2007","ZIP 20005",2007,20005,78,11,1
"01JAN2008","31DEC2008","ZIP 20005",2008,20005,84,13,1
"01JAN2009","31DEC2009","ZIP 20005",2009,20005,80,8.7,1
"01JAN2010","31DEC2010","ZIP 20005",2010,20005,57,9.3,1
"01JAN2011","31DEC2011","ZIP 20005",2011,20005,62,9.3,1
"01JAN2012","31DEC2012","ZIP 20005",2012,20005,80,10,1
"01JAN2013","31DEC2013","ZIP 20005",2013,20005,70,7.9,1
"01JAN2014","31DEC2014","ZIP 20005",2014,20005,88,6.9,1
"01JAN2015","31DEC2015","ZIP 20005",2015,20005,77,7.3,1
"01JAN2016","31DEC2016","ZIP 20005",2016,20005,90,7.8,1
